Tahun_Ajaran,Tahun_Penduduk,Kecamatan,Jumlah_Penduduk,Jumlah_Guru_SD,Jumlah_Siswa_SD,Jumlah_Rombel_SD,Rasio_Siswa_Guru,Jumlah_Penduduk_Zscore,Jumlah_Guru_SD_Zscore,Jumlah_Siswa_SD_Zscore,Jumlah_Rombel_SD_Zscore,Rasio_Siswa_Guru_Zscore
2019-2020,2019,Alang-Alang Lebar,98.537,339,7894,277,23.28613569321534,0.06729193690915129,-0.4176053465971057,0.01681190971979573,-0.2881452923899431,0.6761338649304831
2019-2020,2019,Bukit Kecil,50.301,277,5441,213,19.642599277978338,-1.3281912396814899,-0.777646508457451,-0.5430018623524951,-0.769123068799072,0.08372607784639746
2019-2020,2019,Gandus,65.782,269,6024,215,22.394052044609666,-0.8803208719727307,-0.8241034325684633,-0.4099519523980941,-0.7540925132862867,0.5310887110096025
2019-2020,2019,Ilir Barat I,141.544,693,13777,525,19.88023088023088,1.3114984419185571,1.6381135453151885,1.3594064556232963,1.5756435911954316,0.12236293928765103
2019-2020,2019,Ilir Barat II,73.269,184,4359,156,23.690217391304348,-0.6637195256103843,-1.317708251247969,-0.7899315408613491,-1.1974939009134524,0.7418340850696354
2019-2020,2019,Ilir Timur I,79.268,342,6771,255,19.79824561403509,-0.49016650346163126,-0.4001840000554761,-0.2394746235199852,-0.45348140303058115,0.10903283781880416
2019-2020,2019,Ilir Timur II,95.963,344,7262,264,21.11046511627907,-0.0071747207022660525,-0.388569769027723,-0.12742058271790824,-0.38584390322304735,0.32238847994770853
2019-2020,2019,Ilir Timur III,85.971,323,5855,226,18.126934984520123,-0.296246532222576,-0.5105191948191303,-0.44852045116703715,-0.6714244579659677,-0.16270794331365734
2019-2020,2019,Jakabaring,93.271,403,894,329,2.2183622828784118,-0.08505515671234143,-0.04594995370900732,-1.5806998736092037,0.10264915094247423,-2.749305489157818
2019-2020,2019,Kalidoni,112.932,590,13282,479,22.51186440677966,0.4837439712200865,1.0399806473859052,1.2464395509450314,1.2299408144013702,0.5502439911578693
2019-2020,2019,Kemuning,93.997,605,12785,437,21.132231404958677,-0.06405174046296742,1.1270873800940533,1.1330162143286724,0.9142991486328793,0.3259274918965931
2019-2020,2019,Kertapati,92.084,457,9541,356,20.877461706783368,-0.11939545297681375,0.2676342840403257,0.39268361074020464,0.3055616503650755,0.28450412297376654
2019-2020,2019,Plaju,90.734,457,9935,377,21.739606126914662,-0.15845139228350125,0.2676342840403257,0.4826007025447226,0.46338248324932096,0.42468141499724965
2019-2020,2019,Sako,93.326,386,9391,300,24.32901554404145,-0.08346398881466179,-0.14467091744490845,0.3584512153831546,-0.11529390399291232,0.845697188639515
2019-2020,2019,Seberang Ulu I,94.122,312,7005,245,22.451923076923077,-0.06043544978642232,-0.5743974654717722,-0.1860720867629872,-0.5286341805945075,0.5404980447672368
