Data Guru Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Ilir Barat I;1,917;398;1,519;124;4;120;43;3;40;0;0;0;6;0;6;5;1;4;0;0;0;673;117;556;357;90;267;460;119;341;229;60;169;20;4;16
2;Kec. Sukarami;1,882;397;1,485;126;0;126;55;0;55;0;0;0;15;0;15;12;3;9;0;0;0;671;96;575;432;96;336;267;89;178;243;97;146;61;16;45
3;Kec. Kemuning;1,666;419;1,247;93;0;93;11;0;11;0;0;0;8;0;8;1;0;1;0;0;0;625;124;501;293;82;211;320;95;225;279;110;169;36;8;28
4;Kec. Kalidoni;1,315;257;1,058;85;2;83;45;2;43;0;0;0;2;0;2;22;5;17;0;0;0;615;100;515;315;86;229;144;32;112;87;30;57;0;0;0
5;Kec. Ilir Timur II;1,255;313;942;51;0;51;20;1;19;0;0;0;2;0;2;0;0;0;0;0;0;336;60;276;183;47;136;433;151;282;210;48;162;20;6;14
6;Kec. Ilir Timur I;1,139;312;827;58;2;56;7;0;7;0;0;0;0;0;0;4;1;3;0;0;0;339;60;279;241;64;177;151;53;98;339;132;207;0;0;0
7;Kec. Sako;1,092;192;900;111;2;109;23;0;23;0;0;0;3;0;3;17;3;14;0;0;0;410;66;344;297;61;236;125;37;88;54;16;38;52;7;45
8;Kec. Plaju;1,055;235;820;39;1;38;23;0;23;0;0;0;5;1;4;11;4;7;0;0;0;474;85;389;247;65;182;147;41;106;109;38;71;0;0;0
9;Kec. Kertapati;957;195;762;24;0;24;33;0;33;1;0;1;12;0;12;2;1;1;0;0;0;457;87;370;232;50;182;119;30;89;77;27;50;0;0;0
10;Kec. Alang-Alang Lebar;931;183;748;70;1;69;40;3;37;1;0;1;0;0;0;7;2;5;23;4;19;330;55;275;295;70;225;116;38;78;30;8;22;19;2;17
11;Kec. Seberang Ulu I;928;220;708;24;0;24;34;3;31;0;0;0;0;0;0;6;0;6;0;0;0;305;38;267;117;29;88;236;84;152;206;66;140;0;0;0
12;Kec. Seberang Ulu II;811;168;643;58;0;58;32;2;30;0;0;0;3;0;3;5;2;3;0;0;0;295;57;238;189;39;150;126;37;89;98;31;67;5;0;5
13;Kec. Jakabaring;769;137;632;52;0;52;20;0;20;0;0;0;2;0;2;0;0;0;0;0;0;402;65;337;293;72;221;0;0;0;0;0;0;0;0;0
14;Kec. Ilir Timur III;746;166;580;68;0;68;25;3;22;0;0;0;0;0;0;12;1;11;0;0;0;325;68;257;289;78;211;27;16;11;0;0;0;0;0;0
15;Kec. Gandus;646;123;523;30;0;30;37;1;36;0;0;0;2;1;1;6;2;4;0;0;0;289;53;236;170;39;131;112;27;85;0;0;0;0;0;0
16;Kec. Ilir Barat II;519;85;434;36;0;36;9;0;9;0;0;0;2;0;2;45;6;39;0;0;0;171;26;145;128;24;104;68;17;51;60;12;48;0;0;0
17;Kec. Bukit Kecil;502;105;397;36;0;36;8;0;8;0;0;0;0;0;0;11;1;10;0;0;0;268;56;212;153;38;115;26;10;16;0;0;0;0;0;0
18;Kec. Sematang Borang;296;60;236;34;0;34;16;0;16;0;0;0;13;0;13;7;3;4;0;0;0;127;28;99;72;19;53;0;0;0;27;10;17;0;0;0
Total;Total;18,426;3,965;14,461;1,119;12;1,107;481;18;463;2;0;2;75;2;73;173;35;138;23;4;19;7,112;1,241;5,871;4,303;1,049;3,254;2,877;876;2,001;2,048;685;1,363;213;43;170
