Data Rombel Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;
No;Wilayah;Total;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB
1;Kec. Sukarami;1,527;175;47;3;7;33;0;654;250;139;142;77
2;Kec. Ilir Barat I;1,331;134;43;0;7;32;0;553;202;237;108;15
3;Kec. Kalidoni;1,119;101;36;1;2;64;0;548;208;87;72;0
4;Kec. Kemuning;1,053;81;13;0;8;18;0;416;147;163;161;46
5;Kec. Sako;839;128;26;0;8;16;0;353;157;65;41;45
6;Kec. Ilir Timur II;830;41;15;0;4;0;0;280;96;251;123;20
7;Kec. Plaju;771;53;23;0;5;7;0;391;148;69;75;0
8;Kec. Kertapati;737;27;39;1;14;3;0;378;144;75;56;0
9;Kec. Alang-Alang Lebar;730;88;42;1;1;14;20;301;166;60;8;29
10;Kec. Ilir Timur I;696;48;10;0;0;4;0;239;131;111;153;0
11;Kec. Seberang Ulu I;633;25;43;0;0;20;0;232;75;130;108;0
12;Kec. Seberang Ulu II;587;54;24;0;2;8;0;230;111;76;72;10
13;Kec. Jakabaring;577;55;25;0;1;1;0;337;158;0;0;0
14;Kec. Ilir Timur III;553;66;24;0;6;41;0;232;184;0;0;0
15;Kec. Gandus;503;39;43;0;2;0;0;244;115;60;0;0
16;Kec. Bukit Kecil;377;32;10;0;0;30;0;196;90;17;2;0
17;Kec. Ilir Barat II;376;33;15;0;5;28;0;159;74;36;26;0
18;Kec. Sematang Borang;284;40;17;0;13;19;0;123;59;0;13;0
Total;Total;13,523;1,22;495;6;85;338;20;5,866;2,515;1,576;1,16;242
