Data Peserta Didik Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Kec. Sukarami;38,274;19,898;18,376;1,399;702;697;739;366;373;0;0;0;127;66;61;226;167;59;0;0;0;18,406;9,54;8,866;8,382;4,245;4,137;4,24;1,809;2,431;4,333;2,746;1,587;422;257;165
2;Kec. Ilir Barat I;32,972;16,484;16,488;1,265;661;604;596;320;276;0;0;0;84;47;37;269;162;107;0;0;0;13,753;7,208;6,545;5,949;3,02;2,929;7,593;3,664;3,929;3,413;1,366;2,047;50;36;14
3;Kec. Kemuning;28,122;14,72;13,402;875;456;419;177;98;79;0;0;0;119;65;54;123;93;30;0;0;0;12,06;6,156;5,904;4,977;2,432;2,545;4,97;2,132;2,838;4,567;3,149;1,418;254;139;115
4;Kec. Kalidoni;26,369;13,856;12,513;982;516;466;546;268;278;0;0;0;22;8;14;658;448;210;0;0;0;13,238;6,917;6,321;6,185;3,17;3,015;2,659;1,165;1,494;2,079;1,364;715;0;0;0
5;Kec. Ilir Timur II;21,969;10,818;11,151;571;284;287;221;126;95;0;0;0;20;8;12;0;0;0;0;0;0;7,074;3,572;3,502;3,084;1,555;1,529;7,1;3,288;3,812;3,798;1,927;1,871;101;58;43
6;Kec. Kertapati;20,024;10,18;9,844;372;185;187;558;287;271;17;8;9;188;95;93;66;53;13;0;0;0;9,358;4,922;4,436;4,754;2,335;2,419;2,437;1,102;1,335;2,274;1,193;1,081;0;0;0
7;Kec. Sako;19,901;9,82;10,081;1,402;722;680;323;164;159;0;0;0;105;58;47;173;111;62;0;0;0;9,674;4,952;4,722;5,098;2,475;2,623;2,129;821;1,308;774;381;393;223;136;87
8;Kec. Plaju;19,276;9,945;9,331;709;364;345;410;213;197;0;0;0;46;28;18;74;47;27;0;0;0;9,909;5,166;4,743;4,192;2,107;2,085;1,911;815;1,096;2,025;1,205;820;0;0;0
9;Kec. Ilir Timur I;17,802;9,544;8,258;579;290;289;71;37;34;0;0;0;0;0;0;7;4;3;0;0;0;6,284;3,251;3,033;4,025;2,024;2,001;2,338;1,126;1,212;4,498;2,812;1,686;0;0;0
10;Kec. Alang-Alang Lebar;16,809;8,628;8,181;896;457;439;644;361;283;26;15;11;13;4;9;105;73;32;371;297;74;7,898;4,056;3,842;4,729;2,353;2,376;1,827;896;931;176;20;156;124;96;28
11;Kec. Seberang Ulu I;16,379;8,161;8,218;294;136;158;613;311;302;0;0;0;0;0;0;131;91;40;0;0;0;6,511;3,422;3,089;2,125;1,053;1,072;3,695;1,718;1,977;3,01;1,43;1,58;0;0;0
12;Kec. Seberang Ulu II;15,632;8,232;7,4;624;326;298;534;259;275;0;0;0;41;19;22;80;56;24;0;0;0;5,692;3,005;2,687;3,98;1,978;2,002;2,595;1,159;1,436;2,072;1,419;653;14;11;3
13;Kec. Jakabaring;14,607;7,428;7,179;493;248;245;383;192;191;0;0;0;15;5;10;0;0;0;0;0;0;8,661;4,502;4,159;5,055;2,481;2,574;0;0;0;0;0;0;0;0;0
14;Kec. Ilir Timur III;13,136;6,706;6,43;790;415;375;300;144;156;0;0;0;0;0;0;372;229;143;0;0;0;5,623;2,911;2,712;5,221;2,598;2,623;830;409;421;0;0;0;0;0;0
15;Kec. Gandus;12,9;6,429;6,471;453;239;214;797;397;400;0;0;0;34;22;12;203;110;93;0;0;0;5,96;3,004;2,956;3,462;1,727;1,735;1,991;930;1,061;0;0;0;0;0;0
16;Kec. Ilir Barat II;9,81;5,202;4,608;355;184;171;226;91;135;0;0;0;45;21;24;315;231;84;0;0;0;4,073;2,15;1,923;2,424;1,231;1,193;1,148;607;541;1,224;687;537;0;0;0
17;Kec. Bukit Kecil;8,632;4,449;4,183;348;171;177;109;55;54;0;0;0;0;0;0;327;211;116;0;0;0;5,043;2,628;2,415;2,596;1,284;1,312;209;100;109;0;0;0;0;0;0
18;Kec. Sematang Borang;6,36;3,382;2,978;525;275;250;228;119;109;0;0;0;153;82;71;195;165;30;0;0;0;3,346;1,743;1,603;1,497;780;717;0;0;0;416;218;198;0;0;0
Total;Total;338,974;173,882;165,092;12,932;6,631;6,301;7,475;3,808;3,667;43;23;20;1,012;528;484;3,324;2,251;1,073;371;297;74;152,563;79,105;73,458;77,735;38,848;38,887;47,672;21,741;25,931;34,659;19,917;14,742;1,188;733;455
