Data Sekolah Kota Palembang - Dapodikdasmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;TK;;;KB;;;TPA;;;SPS;;;PKBM;;;SKB;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Kec. Sukarami;177;34;143;73;0;73;24;0;24;2;0;2;3;0;3;5;0;5;0;0;0;30;22;8;18;7;11;11;3;8;10;1;9;1;1;0
2;Kec. Ilir Barat I;155;42;113;42;1;41;20;0;20;0;0;0;4;0;4;5;0;5;0;0;0;42;29;13;19;6;13;16;4;12;6;2;4;1;0;1
3;Kec. Kalidoni;144;34;110;39;0;39;22;0;22;1;0;1;1;0;1;7;0;7;0;0;0;42;28;14;20;5;15;7;1;6;5;0;5;0;0;0
4;Kec. Sako;123;17;106;54;0;54;15;0;15;0;0;0;4;0;4;3;0;3;0;0;0;22;11;11;11;4;7;5;2;3;5;0;5;4;0;4
5;Kec. Alang-Alang Lebar;98;16;82;34;1;33;19;0;19;1;0;1;1;0;1;2;0;2;1;1;0;21;9;12;13;4;9;3;1;2;1;0;1;2;0;2
6;Kec. Ilir Timur II;98;18;80;18;0;18;10;0;10;0;0;0;3;0;3;0;0;0;0;0;0;23;13;10;12;2;10;20;2;18;10;1;9;2;0;2
7;Kec. Kemuning;93;19;74;21;1;20;8;0;8;0;0;0;4;0;4;3;0;3;0;0;0;23;11;12;12;3;9;9;2;7;10;2;8;3;0;3
8;Kec. Plaju;87;19;68;14;0;14;11;0;11;0;0;0;2;0;2;1;0;1;0;0;0;27;15;12;16;3;13;9;1;8;7;0;7;0;0;0
9;Kec. Kertapati;86;32;54;9;1;8;18;0;18;1;0;1;5;0;5;1;0;1;0;0;0;34;27;7;12;3;9;4;1;3;2;0;2;0;0;0
10;Kec. Seberang Ulu II;86;17;69;23;1;22;14;0;14;0;0;0;3;0;3;2;0;2;0;0;0;19;13;6;11;2;9;7;1;6;6;0;6;1;0;1
11;Kec. Gandus;75;21;54;19;0;19;19;0;19;0;0;0;3;0;3;2;0;2;0;0;0;18;14;4;8;5;3;5;2;3;1;0;1;0;0;0
12;Kec. Ilir Timur I;75;12;63;22;0;22;7;0;7;0;0;0;0;0;0;2;0;2;0;0;0;19;7;12;11;2;9;7;1;6;7;2;5;0;0;0
13;Kec. Jakabaring;69;17;52;21;1;20;11;0;11;0;0;0;1;0;1;2;0;2;0;0;0;21;11;10;13;5;8;0;0;0;0;0;0;0;0;0
14;Kec. Ilir Timur III;68;9;59;17;0;17;12;0;12;0;0;0;1;0;1;5;0;5;0;0;0;17;7;10;16;2;14;0;0;0;0;0;0;0;0;0
15;Kec. Seberang Ulu I;66;20;46;8;0;8;15;0;15;0;0;0;0;0;0;3;0;3;0;0;0;15;13;2;7;3;4;10;3;7;8;1;7;0;0;0
16;Kec. Ilir Barat II;48;11;37;10;0;10;10;0;10;0;0;0;3;0;3;3;0;3;0;0;0;10;9;1;6;2;4;4;0;4;2;0;2;0;0;0
17;Kec. Sematang Borang;47;7;40;16;1;15;8;0;8;0;0;0;6;0;6;4;0;4;0;0;0;8;4;4;4;2;2;0;0;0;1;0;1;0;0;0
18;Kec. Bukit Kecil;43;8;35;9;0;9;9;0;9;0;0;0;0;0;0;2;0;2;0;0;0;12;6;6;8;2;6;2;0;2;1;0;1;0;0;0
Total;Total;1,638;353;1,285;449;7;442;252;0;252;5;0;5;44;0;44;52;0;52;1;1;0;403;249;154;217;62;155;119;24;95;82;9;73;14;1;13
