Kecamatan,Nomor,Jumlah Penduduk 2018 (jiwa),Jumlah Penduduk 2019 (jiwa),Jumlah Penduduk 2020 (jiwa),Jumlah Penduduk 2021 (jiwa),Jumlah Penduduk 2022 (jiwa),Jumlah Penduduk 2023 (jiwa),Jumlah Penduduk 2024 (jiwa)
Alang-Alang Lebar,1,97.455,98.537,105.201,106.641,110.085,113.578,116.594
Bukit Kecil,2,49.657,50.301,38.585,38.566,38.704,38.226,38.195
Gandus,3,64.994,65.782,73.953,75.394,78.722,81.146,83.882
Ilir Barat I,4,139.933,141.544,140.945,141.855,144.355,151.894,154.738
Ilir Barat II,5,72.387,73.269,67.614,67.647,68.026,69.665,69.871
Ilir Timur I,6,87.384,79.268,66.168,66.135,66.372,66.26,66.124
Ilir Timur II,7,94.81,95.963,85.46,85.417,85.724,84.949,85.005
Ilir Timur III,8,84.938,85.971,73.01,72.973,73.236,74.431,74.562
Jakabaring,9,92.172,93.271,90.415,90.882,92.246,93.83,94.583
Kalidoni,10,111.691,112.932,122.474,124.248,128.463,130.828,133.017
Kemuning,11,92.846,93.997,80.685,80.644,80.934,81.977,82.167
Kertapati,12,90.978,92.084,91.661,92.344,94.157,98.434,99.576
Plaju,13,89.643,90.734,93.171,94.143,96.561,98.426,99.559
Sako,14,92.301,93.326,110.079,112.553,118.213,115.585,117.573
Seberang Ulu I,15,90.913,94.122,91.166,91.637,93.013,94.662,96.058
Seberang Ulu II,16,94.872,107.101,100.232,100.48,101.445,105.784,106.752
Sematang Borang,17,36.033,36.445,54.362,56.874,62.538,67.447,70.870
Sukarami,18,156.509,158.246,183.667,187.64,196.752,205.37,212.241
