Data Peserta Didik Kec. Alang-Alang Lebar - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK NEGERI PEMBINA 06 PALEMBANG;70001381;TK;Negeri;03 Mar 2026 10:35:28;35;43;3;5;2;4;0;0
2;TK AISYIYAH 18;10644171;TK;Swasta;01 Mar 2026 17:36:21;25;67;3;4;1;3;0;1
3;TK AISYIYAH 29;70030928;TK;Swasta;28 Jan 2026 08:50:10;19;27;2;2;2;2;0;0
4;TK AL-KAUTSAR;10644281;TK;Swasta;02 Mar 2026 12:14:55;12;35;2;1;1;2;0;0
5;TK BHAKTI ASUHAN 03 PALEMBANG;10647188;TK;Swasta;05 Mar 2026 12:04:08;7;26;2;2;1;2;0;0
6;TK BINA POTENSI;10644291;TK;Swasta;-;9;13;1;0;1;1;0;0
7;TK CAHAYA INTAN;10644292;TK;Swasta;05 Mar 2026 12:25:54;23;52;2;2;2;3;0;0
8;TK FATHONA;69959051;TK;Swasta;03 Mar 2026 07:58:28;9;33;3;3;1;3;0;0
9;TK FATHUL ILMI;69958805;TK;Swasta;05 Mar 2026 09:23:43;13;24;2;3;1;3;0;0
10;TK FATIMAH 05 PALEMBANG;10644294;TK;Swasta;25 Feb 2026 22:36:46;11;60;4;4;2;5;0;0
11;TK GOLDEN AGE;69979965;TK;Swasta;02 Mar 2026 22:06:14;12;54;2;2;2;3;0;1
12;TK HARAPAN BANGSA 4;10644297;TK;Swasta;05 Mar 2026 20:50:17;18;34;2;2;1;2;0;0
13;TK HARAPAN KITA;10644298;TK;Swasta;06 Mar 2026 08:13:47;9;32;2;2;1;3;0;0
14;TK HELAU KIDS PALEMBANG;10647156;TK;Swasta;03 Mar 2026 04:48:25;45;77;4;4;1;4;0;0
15;TK IGNATIUS GLOBAL SCHOOL;69959424;TK;Swasta;03 Mar 2026 11:03:00;5;29;2;3;1;4;0;1
16;TK INDO GLOBAL MANDIRI;69969002;TK;Swasta;27 Jan 2026 14:23:01;30;106;6;8;2;6;0;0
17;TK ISLAM BAKTI I;10644301;TK;Swasta;06 Mar 2026 03:13:25;7;44;2;3;1;2;0;0
18;TK ISLAM NOOR SALAM;10644302;TK;Swasta;04 Mar 2026 19:35:21;6;16;1;1;2;2;0;0
19;TK KARYA DHARMA BHAKTI 2;10644305;TK;Swasta;22 Jan 2026 12:35:15;11;50;2;1;1;2;0;1
20;TK KHALIFAH 23 PALEMBANG;69876015;TK;Swasta;12 Mar 2026 07:36:24;18;45;3;3;1;3;0;0
21;TK MANDIRI PALEMBANG;69876012;TK;Swasta;04 Mar 2026 04:11:37;2;17;1;2;1;2;0;0
22;TK NADIRA 2;69964550;TK;Swasta;03 Mar 2026 10:43:58;23;176;9;9;1;6;0;0
23;TK PERTIWI 5;10644518;TK;Swasta;05 Mar 2026 15:24:22;32;31;3;3;1;3;0;0
24;TK PERTIWI PASMA;10644514;TK;Swasta;05 Mar 2026 21:52:39;9;19;2;2;1;2;0;1
