Data Guru Kec. Bukit Kecil - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK AISYIYAH 06 PALEMBANG;10644236;TK;Swasta;04 Mar 2026 09:24:19;20;88;5;7;1;5;0;0
2;TK AISYIYAH 16 PALEMBANG;10644232;TK;Swasta;06 Feb 2026 21:13:51;7;17;1;2;1;1;0;0
3;TK AISYIYAH 24;69992115;TK;Swasta;04 Mar 2026 20:22:05;4;21;1;2;1;3;0;0
4;TK AISYIYAH PALEMBANG;69858025;TK;Swasta;-;0;0;0;0;0;0;0;0
5;TK ATHREE;69961458;TK;Swasta;24 Feb 2026 09:01:07;4;26;1;0;1;2;0;1
6;TK CATUR DHARMA PERDANA PALEMBANG;10644240;TK;Swasta;-;2;19;2;3;2;2;0;0
7;TK DARUSSALAM PALEMBANG;10644242;TK;Swasta;03 Mar 2026 09:31:30;9;68;5;9;1;7;0;1
8;TK ISLAM TERPADU HARAPAN MULIA;10644246;TK;Swasta;23 Feb 2026 07:43:44;9;67;5;6;3;5;0;1
9;TK IT ROYAL ISLAMIC SCHOOL PALEMBANG;70009700;TK;Swasta;06 Mar 2026 09:45:03;29;35;3;5;3;3;0;0
10;TK XAVERIUS 04 PALEMBANG;10644259;TK;Swasta;03 Mar 2026 19:14:50;7;48;3;3;2;3;0;0
11;KB AL - FARUQ PALEMBANG;70009702;KB;Swasta;10 Feb 2026 22:01:49;7;29;2;2;3;2;0;0
12;KB Anak MUSI;69858061;KB;Swasta;07 Mar 2026 09:22:19;4;27;2;2;1;2;0;0
13;KB ATHREE;69876061;KB;Swasta;-;0;0;0;0;0;0;0;0
14;KB Cahaya;69773134;KB;Swasta;04 Mar 2026 12:54:06;18;33;1;1;0;2;0;0
15;KB Madinatul Ilmi;69773133;KB;Swasta;23 Jan 2026 16:09:56;15;46;2;3;1;2;0;0
16;KB TERATAI;69858091;KB;Swasta;-;8;29;2;1;1;2;0;0
17;PAUD KASIH BUNDA 3;69991695;KB;Swasta;-;0;0;0;0;0;0;0;0
18;SD NEGERI 136 PALEMBANG;10609406;SD;Negeri;11 Mar 2026 10:54:59;28;667;24;34;4;14;1;1
19;SD NEGERI 137 PALEMBANG;10604246;SD;Negeri;03 Mar 2026 09:57:37;22;157;8;17;2;12;0;1
20;SD NEGERI 138 PALEMBANG;10603516;SD;Negeri;13 Mar 2026 09:24:54;35;544;21;28;7;25;2;1
21;SD NEGERI 139 PALEMBANG;10603517;SD;Negeri;13 Mar 2026 11:56:18;33;399;16;19;5;14;0;0
22;SD NEGERI 140 PALEMBANG;10603518;SD;Negeri;12 Mar 2026 09:15:18;22;246;12;14;5;16;0;1
23;SD NEGERI 141 PALEMBANG;10603529;SD;Negeri;11 Mar 2026 08:08:10;48;642;22;29;2;13;0;1
24;SD ISLAM MAHAD DARUSSALAM;69960802;SD;Swasta;01 Mar 2026 00:24:43;48;149;7;9;5;12;0;1
25;SD IT HARAPAN MULIA PALEMBANG;10609441;SD;Swasta;07 Mar 2026 16:58:04;37;688;25;42;3;29;2;1
26;SD IT ROYAL ISLAMIC SCHOOL;70011098;SD;Swasta;13 Mar 2026 07:25:37;45;102;7;12;5;8;1;1
27;SD KARTIKA II 3 PALEMBANG;10603905;SD;Swasta;09 Mar 2026 14:39:39;33;305;12;16;4;15;1;1
28;SD MUHAMMADIYAH 01 PALEMBANG;10609916;SD;Swasta;03 Mar 2026 07:57:21;40;654;21;25;7;17;1;1
29;SD XAVERIUS 04 PALEMBANG;10609466;SD;Swasta;03 Mar 2026 08:54:39;21;436;18;22;6;18;2;1
30;SMP NEGERI 01 PALEMBANG;10603773;SMP;Negeri;07 Mar 2026 05:15:24;54;1,005;29;42;14;27;4;1
31;SMP NEGERI 02 PALEMBANG;10603695;SMP;Negeri;05 Mar 2026 08:07:19;64;954;28;41;7;28;1;2
32;SMP FAUZIAH PALEMBANG;10648884;SMP;Swasta;03 Mar 2026 08:27:46;16;91;3;4;1;3;0;1
33;SMP IT HARAPAN MULIA PALEMBANG;69825144;SMP;Swasta;13 Mar 2026 08:24:52;58;270;9;19;4;9;3;1
34;SMP MUHAMMADIYAH 01 PALEMBANG;10609539;SMP;Swasta;07 Mar 2026 12:51:52;42;270;9;23;5;12;3;1
35;SMP PGRI 09 PALEMBANG;10609571;SMP;Swasta;07 Mar 2026 10:44:52;55;63;3;6;4;6;2;1
36;SMP TARBIYAH PALEMBANG;10609590;SMP;Swasta;06 Mar 2026 13:31:06;29;35;3;4;5;3;1;1
37;SMA IT HARAPAN MULIA;70015790;SMA;Swasta;13 Mar 2026 11:31:14;30;57;4;8;2;2;2;1
38;SMA MUHAMMADIYAH 02 PALEMBANG;10609659;SMA;Swasta;12 Mar 2026 13:39:49;18;203;8;22;4;13;5;1
39;PKBM ATHREE;P9959781;PKBM;Swasta;28 Feb 2026 10:35:54;23;280;13;4;3;6;0;1
40;PKBM CAHAYA;P2966334;PKBM;Swasta;09 Mar 2026 10:59:47;45;92;8;7;1;1;0;1
Total;Total;Total;Total;Total;Total;989;8,862;345;493;126;344;31;26
