Data Guru Kec. Gandus - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK AISYIYAH 15;69975264;TK;Swasta;-;2;4;1;1;2;1;0;0
2;TK ARDILIANA AMALIAH PALEMBANG;10644227;TK;Swasta;06 Mar 2026 10:03:00;6;28;1;1;1;2;0;0
3;TK DZAKIYYAH;70011187;TK;Swasta;25 Jan 2026 15:42:53;7;76;3;3;1;3;0;0
4;TK HANIYAH ZAHRA;69930411;TK;Swasta;05 Mar 2026 11:14:15;11;28;1;0;1;2;0;0
5;TK IT DETAFANA;69929592;TK;Swasta;10 Mar 2026 19:48:04;8;81;3;3;1;4;0;0
6;TK IT SETIA HATI PALEMBANG;69986757;TK;Swasta;02 Mar 2026 14:49:22;11;24;2;3;1;2;0;0
7;TK KARTIKA II-43 PALEMBANG;69896919;TK;Swasta;27 Jan 2026 08:43:56;6;16;2;2;3;3;0;0
8;TK MUTIARA ISLAMI;69959255;TK;Swasta;07 Mar 2026 11:07:49;4;51;3;4;1;3;0;0
9;TK NURUL ILMI;69982037;TK;Swasta;06 Mar 2026 05:22:24;6;70;4;3;1;3;0;0
10;TK SINAR HARAPAN PALEMBANG;10644229;TK;Swasta;23 Jan 2026 18:58:56;6;26;1;1;1;3;0;0
11;TK TERATAI PUTIH PALEMBANG;10644230;TK;Swasta;08 Mar 2026 12:56:53;8;50;2;2;2;2;0;1
12;TK TIARA;69913144;TK;Swasta;07 Mar 2026 17:45:39;32;43;3;3;1;4;0;0
13;TK TUNAS TELADAN PALEMBANG;69876025;TK;Swasta;03 Mar 2026 16:33:56;33;69;5;5;2;5;0;0
14;KB AL-FIRDAUS;69773052;KB;Swasta;22 Jan 2026 22:09:39;9;49;3;4;3;3;0;0
15;KB ANANDA;70009410;KB;Swasta;17 Feb 2026 23:46:55;8;23;2;1;4;3;0;0
16;KB BAITUL SAADIAH;69773053;KB;Swasta;-;15;64;3;3;3;3;0;0
17;KB BINTANG SRIWIJAYA;69773054;KB;Swasta;-;0;0;0;0;0;0;0;0
18;KB CAHAYA MUSLIMAT NU 4;69959877;KB;Swasta;-;2;15;2;2;2;2;0;0
19;KB CANDRA;69858041;KB;Swasta;22 Jan 2026 21:50:55;13;94;4;3;2;4;0;0
20;KB CERDAS CERIA;69773051;KB;Swasta;12 Feb 2026 16:51:14;6;25;1;1;1;1;0;0
21;KB FATHONAH;69773046;KB;Swasta;-;10;34;2;1;1;1;0;0
22;KB NABILA;69960165;KB;Swasta;-;11;38;2;2;0;3;0;0
23;KB SAHABAT;69975277;KB;Swasta;04 Mar 2026 05:58:31;13;37;2;1;3;2;0;0
24;KB SMILE KIDS;69773050;KB;Swasta;02 Mar 2026 17:33:00;7;111;4;3;1;4;0;0
25;KB SUBAIDAH;70004037;KB;Swasta;-;8;13;2;1;3;2;0;0
26;KB TAHFIDZ KIAI MAROGAN;69972694;KB;Swasta;-;0;0;0;0;0;0;0;0
27;KB ZAHRA;69773047;KB;Swasta;28 Jan 2026 20:00:58;11;45;2;1;2;2;0;1
28;KB. BUNGA BANGSA;69858044;KB;Swasta;-;0;0;0;0;0;0;0;0
29;PAUD AL - MASTUROH;69959260;KB;Swasta;26 Jan 2026 19:23:57;20;73;2;2;2;2;0;0
30;PAUD ANAK BANGSA;69773056;KB;Swasta;31 Jan 2026 22:07:07;7;73;4;3;1;3;0;1
31;PAUD DANISHA;69958806;KB;Swasta;25 Jan 2026 15:29:13;6;48;2;1;4;2;0;1
32;PAUD MUTIARA HATI;69876037;KB;Swasta;09 Feb 2026 22:25:21;14;77;3;2;1;3;0;0
33;PAUD NURUL IMAN;69858043;KB;Swasta;04 Feb 2026 19:49:41;6;43;2;2;3;2;0;0
34;PAUD PERMATA INSANI;69929735;KB;Swasta;-;0;0;0;0;0;0;0;0
35;PAUD TAMAN ASRI;69931560;KB;Swasta;-;2;29;2;2;0;6;0;0
36;PAUD TAAM KOMALA;69876060;SPS;Swasta;-;3;7;1;0;2;2;1;0
37;SPS MAHKOTA DEWA;69858086;SPS;Swasta;19 Feb 2026 13:25:57;8;25;2;1;1;2;0;0
38;SD NEGERI 142 PALEMBANG;10603528;SD;Negeri;03 Mar 2026 08:57:35;52;305;13;16;3;7;0;1
39;SD NEGERI 143 PALEMBANG;10603527;SD;Negeri;06 Mar 2026 10:56:17;58;755;24;28;7;22;0;1
40;SD NEGERI 144 PALEMBANG;10604243;SD;Negeri;10 Mar 2026 13:24:17;21;754;25;26;4;14;0;1
41;SD NEGERI 145 PALEMBANG;10603526;SD;Negeri;10 Mar 2026 12:10:19;15;142;6;11;2;6;0;0
42;SD NEGERI 146 PALEMBANG;10603525;SD;Negeri;05 Mar 2026 12:09:46;26;372;13;18;6;13;0;1
43;SD NEGERI 147 PALEMBANG;10603524;SD;Negeri;07 Mar 2026 11:59:55;27;350;12;18;2;5;0;0
44;SD NEGERI 148 PALEMBANG;10603523;SD;Negeri;10 Mar 2026 08:37:53;94;549;19;22;4;8;0;1
