Data Guru Kec. Ilir Barat I - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK NEGERI PEMBINA 01 PALEMBANG;10644529;TK;Negeri;02 Mar 2026 22:55:31;23;207;13;13;2;16;0;1
2;TK GLOBAL TALENT ISLAMIC SCHOOL & STUDIO;69947432;TK;Swasta;28 Jan 2026 10:18:07;14;8;2;2;1;2;0;1
3;TK AISYIYAH 14 PALEMBANG;10644534;TK;Swasta;01 Mar 2026 21:57:11;8;99;5;5;1;5;0;0
4;TK AISYIYAH 17;10644549;TK;Swasta;02 Mar 2026 16:44:15;9;47;3;2;2;3;0;0
5;TK AL-FALAH PALEMBANG;10644539;TK;Swasta;07 Mar 2026 21:08:39;4;28;2;2;2;3;0;1
6;TK AMANAH MULIA;69967160;TK;Swasta;06 Feb 2026 14:48:16;6;15;2;1;1;2;0;1
7;TK AMELIA PALEMBANG;10644542;TK;Swasta;02 Mar 2026 17:53:11;12;88;5;4;1;5;0;0
8;TK AN- NAFI PALEMBANG;69876022;TK;Swasta;-;8;5;2;2;2;3;0;0
9;TK ANANDA PALEMBANG;10644546;TK;Swasta;21 Jan 2026 13:18:05;12;37;3;4;2;3;0;0
10;TK ARKAAN;69858024;TK;Swasta;01 Mar 2026 09:40:10;6;16;2;1;1;1;0;0
11;TK BAITULLAH PALEMBANG;69877601;TK;Swasta;-;4;12;2;2;1;1;0;0
12;TK BIRRUL WALIDAIN;70030206;TK;Swasta;04 Mar 2026 06:35:30;23;68;4;4;4;4;0;0
13;TK BUBBLE KIDZ;69933474;TK;Swasta;06 Mar 2026 10:01:40;8;20;2;3;1;2;0;0
14;TK CIPTA KREATIF BANGSA PALEMBANG;69773014;TK;Swasta;10 Mar 2026 08:36:39;10;85;8;13;2;13;0;1
15;TK FATIMAH 7;69965504;TK;Swasta;10 Mar 2026 14:01:19;18;22;3;3;1;3;0;1
16;TK HARAPAN BANGSA 03 PALEMBANG;10644538;TK;Swasta;02 Mar 2026 22:02:15;36;36;2;2;1;1;0;0
17;TK ISLAM AZ-ZAHRAH;10644540;TK;Swasta;03 Mar 2026 07:20:13;16;112;7;7;3;7;0;1
18;TK ISLAM TERPADU AL-HIDAYAH;70001729;TK;Swasta;27 Jan 2026 09:09:03;27;15;1;1;2;1;0;0
19;TK ISLAM TERPADU BINA ILMI;69773016;TK;Swasta;03 Mar 2026 10:08:06;9;99;6;8;1;6;0;0
20;TK ISLAM TERPADU HARAPAN BUNDA PALEMBANG;10647161;TK;Swasta;09 Mar 2026 10:47:32;7;42;4;5;2;4;0;0
21;TK IT AT-TAUHID;70030209;TK;Swasta;25 Jan 2026 19:46:18;18;27;2;3;3;2;0;0
22;TK IT IZZUDIN PALEMBANG;10647162;TK;Swasta;03 Mar 2026 06:47:42;36;120;7;10;2;5;0;1
23;TK IT MUHSIN AL - FATAH;70030964;TK;Swasta;12 Feb 2026 10:05:46;11;24;1;1;2;1;0;0
24;TK IT USWATUNN HASANAH;70030207;TK;Swasta;05 Mar 2026 09:53:08;11;33;2;3;2;2;0;0
25;TK KARTIKA II-15 PALEMBANG;10644535;TK;Swasta;03 Mar 2026 20:36:58;13;20;2;1;1;2;0;0
26;TK KEIYNAN;69990769;TK;Swasta;04 Mar 2026 21:23:47;41;69;4;4;3;4;0;0
27;TK KEMALA BHAYANGKARI 5 PALEMBANG;10644531;TK;Swasta;07 Mar 2026 06:51:12;5;30;2;3;1;3;0;1
28;TK KHALIFAH 7;69858020;TK;Swasta;26 Jan 2026 21:17:13;14;66;4;4;2;4;0;1
