Data Guru Kec. Ilir Barat II - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK DAHLIA PALEMBANG;10647237;TK;Swasta;04 Mar 2026 23:59:40;41;36;2;2;2;3;0;1
2;TK DHARMA WANITA PDAM;10644556;TK;Swasta;31 Jan 2026 21:41:05;27;30;2;5;1;2;0;1
3;TK KARTIKA II-1 PALEMBANG;10644558;TK;Swasta;03 Mar 2026 11:52:11;44;35;2;6;1;5;0;0
4;TK KARTIKA II-3 PALEMBANG;10644559;TK;Swasta;03 Feb 2026 11:21:51;42;15;1;2;1;2;0;0
5;TK METHODIST 05 PALEMBANG;69773005;TK;Swasta;03 Mar 2026 08:31:09;9;85;5;3;1;6;0;0
6;TK PALM KID PALEMBANG;10645304;TK;Swasta;28 Jan 2026 15:18:20;18;27;3;9;2;5;0;1
7;TK PERTIWI 3;10644339;TK;Swasta;01 Mar 2026 21:32:04;18;45;3;5;1;4;0;1
8;TK SYAILENDRA PALEMBANG;69858019;TK;Swasta;03 Mar 2026 09:25:20;12;95;6;6;1;6;0;1
9;TK YAYASAN ISLAM TELADAN PALEMBANG;10644554;TK;Swasta;04 Mar 2026 09:37:53;25;23;1;2;2;1;0;1
10;TK YWKA PALEMBANG;69773017;TK;Swasta;04 Mar 2026 11:57:10;3;46;3;4;1;4;0;0
11;KB Anugrah;69773042;KB;Swasta;-;0;0;0;0;0;1;0;1
12;KB Cahaya Muslimat Nu 6;69773036;KB;Swasta;-;3;37;1;0;1;1;0;1
13;KB Dahlia;69773044;KB;Swasta;05 Mar 2026 00:27:54;4;15;1;1;1;2;0;1
14;KB Mutiara Arlis;69773041;KB;Swasta;27 Jan 2026 22:38:28;10;31;3;3;1;3;0;0
15;KB NURUL JAMIK;69858038;KB;Swasta;-;23;15;1;1;1;1;0;0
16;KB Shandy;69773037;KB;Swasta;16 Jan 2026 16:16:14;17;39;1;0;1;1;0;0
17;KB Syailendra;69773045;KB;Swasta;23 Jan 2026 11:25:34;8;15;2;1;2;2;0;1
18;KB. CHATYA MANIS;69858037;KB;Swasta;03 Mar 2026 00:45:44;8;35;3;3;2;3;0;0
19;PAUD ZAYYAN;69930804;KB;Swasta;06 Feb 2026 11:21:30;6;18;1;1;3;4;0;0
20;TPA Zahriah;69773240;TPA;Swasta;-;0;0;0;0;0;2;1;0
21;SPS Al Akbar;69773248;SPS;Swasta;27 Jan 2026 00:00:01;0;0;0;0;0;1;0;1
22;SPS Mawar Merah;69773249;SPS;Swasta;22 Jan 2026 19:16:30;35;22;2;2;2;2;0;0
23;SD NEGERI 030 PALEMBANG;10603469;SD;Negeri;10 Mar 2026 07:52:58;56;642;20;24;4;13;0;1
24;SD NEGERI 031 PALEMBANG;10603468;SD;Negeri;05 Mar 2026 10:25:31;50;291;12;13;1;12;0;1
25;SD NEGERI 032 PALEMBANG;10603467;SD;Negeri;06 Mar 2026 20:07:44;140;297;12;11;5;5;0;1
26;SD NEGERI 033 PALEMBANG;10603466;SD;Negeri;13 Mar 2026 08:20:15;140;916;29;30;2;17;1;1
27;SD NEGERI 034 PALEMBANG;10603465;SD;Negeri;05 Mar 2026 13:50:23;66;393;13;17;3;11;0;1
28;SD NEGERI 035 PALEMBANG;10603464;SD;Negeri;04 Mar 2026 11:32:50;89;960;33;43;7;16;1;1
29;SD NEGERI 036 PALEMBANG;10603475;SD;Negeri;10 Mar 2026 08:22:41;46;112;6;7;1;9;0;1
30;SD NEGERI 037 PALEMBANG;10603559;SD;Negeri;06 Mar 2026 12:30:54;61;170;7;9;3;6;0;1
31;SD NEGERI 038 PALEMBANG;10603542;SD;Negeri;10 Mar 2026 09:17:55;79;359;13;17;4;13;0;1
32;SD ADVENT I PALEMBANG;10609439;SD;Swasta;02 Mar 2026 09:01:51;36;67;6;1;1;6;2;1
33;SMP NEGERI 13 PALEMBANG;10603757;SMP;Negeri;07 Mar 2026 14:21:51;190;955;30;48;12;15;2;1
34;SMP NEGERI 43 PALEMBANG;10603769;SMP;Negeri;02 Mar 2026 23:41:05;115;673;21;39;9;21;2;1
35;SMP ADVENT PALEMBANG;10609484;SMP;Swasta;15 Feb 2026 15:37:30;10;35;3;4;1;3;2;2
36;SMP ISLAM AZ-ZAHRAH 01 PALEMBANG;10609491;SMP;Swasta;03 Mar 2026 09:10:43;71;329;11;23;6;11;2;1
37;SMP TELADAN PALEMBANG;10609591;SMP;Swasta;20 Feb 2026 13:31:40;62;82;3;8;2;4;0;1
38;SMP TRI DHARMA PALEMBANG;10609593;SMP;Swasta;03 Mar 2026 11:16:11;128;436;14;18;4;14;3;1
39;SMA AZ-ZAHRAH PALEMBANG;10609645;SMA;Swasta;10 Mar 2026 08:58:25;161;368;11;20;7;11;7;1
40;SMA SJAKHYAKIRTI PALEMBANG;10609691;SMA;Swasta;12 Mar 2026 16:39:00;283;486;16;22;5;19;4;1
41;SMA TELADAN PALEMBANG;10609695;SMA;Swasta;22 Jan 2026 12:23:03;57;47;3;6;0;3;1;1
42;SMA TRI DHARMA PALEMBANG;10609697;SMA;Swasta;09 Mar 2026 08:53:01;137;362;12;18;1;16;8;1
43;SMK SETIA DARMA 2 PALEMBANG;69964521;SMK;Swasta;08 Mar 2026 13:41:42;60;76;5;11;4;5;2;1
44;SMK SJAKHYAKIRTI PALEMBANG;69859654;SMK;Swasta;05 Mar 2026 08:29:19;83;202;6;5;1;6;1;1
45;SMK TRI DHARMA PALEMBANG;10609735;SMK;Swasta;06 Mar 2026 14:26:44;179;934;33;24;3;38;3;1
46;PKBM AL - AKBAR;P9948243;PKBM;Swasta;12 Mar 2026 10:18:47;23;179;5;2;0;3;0;1
47;PKBM AL-MARFUAH;P2966338;PKBM;Swasta;30 Jan 2026 14:29:11;17;57;5;3;1;7;1;1
48;PKBM HOMESCHOOLING PRIMAGAMA;P9948061;PKBM;Swasta;09 Mar 2026 10:05:22;24;91;12;29;1;6;0;1
Total;Total;Total;Total;Total;Total;2,716;10,183;384;508;115;351;43;38
