Data Peserta Didik Kec. Ilir Timur I - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK AISYIYAH 01;10644580;TK;Swasta;06 Mar 2026 09:03:37;15;16;1;1;1;1;0;0
2;TK AISYIYAH 9;10644581;TK;Swasta;27 Jan 2026 18:24:46;17;46;3;3;1;4;0;0
3;TK BHAKTI ASUHAN;10644571;TK;Swasta;05 Mar 2026 09:13:00;15;25;3;3;1;3;0;1
4;TK GUANG MING 2;70008753;TK;Swasta;14 Jan 2026 11:52:10;12;22;2;2;2;2;0;0
5;TK HOSANNA;10644590;TK;Swasta;30 Jan 2026 11:54:38;6;13;1;1;1;4;0;0
6;TK IPEKA PALEMBANG;10647158;TK;Swasta;-;14;53;3;3;1;3;0;1
7;TK KARYA MURNI;10644574;TK;Swasta;-;0;0;0;0;0;0;0;0
8;TK MANGGALA SCHOOL;69893618;TK;Swasta;27 Jan 2026 10:59:30;9;62;4;4;2;4;0;0
9;TK METHODIST 2;69935218;TK;Swasta;04 Mar 2026 11:09:34;17;55;3;3;2;3;0;1
10;TK PANCA BAKTI;10644520;TK;Swasta;25 Jan 2026 08:14:57;8;36;2;3;1;2;0;0
11;TK PENGUIN HANDAYANI;69973584;TK;Swasta;03 Mar 2026 12:12:22;20;35;2;2;1;2;0;1
12;TK PUTRA I;10644586;TK;Swasta;03 Mar 2026 21:16:17;13;67;4;4;1;4;0;1
13;TK ROSI;10644584;TK;Swasta;-;13;43;2;4;1;2;0;0
14;TK SEGARAN;69876020;TK;Swasta;11 Mar 2026 10:10:27;13;24;1;1;1;1;0;0
15;TK SION;10644573;TK;Swasta;04 Mar 2026 13:29:35;5;40;2;2;2;6;0;1
16;TK ST AGATHA PALEMBANG;10644589;TK;Swasta;11 Mar 2026 12:08:45;23;50;3;3;5;5;0;1
17;TK TAMAN SISWA;10644513;TK;Swasta;10 Feb 2026 08:13:27;27;20;1;0;1;1;0;0
18;TK TELKOM 1 PALEMBANG;10644591;TK;Swasta;29 Jan 2026 07:34:27;24;31;2;2;1;3;0;1
19;TK TELKOM 2 PALEMBANG;10644583;TK;Swasta;-;13;20;1;1;1;3;0;1
20;TK WIDYA MUSI;10647181;TK;Swasta;06 Feb 2026 11:01:27;3;20;2;2;1;3;0;1
21;TK XAVERIUS 1 PALEMBANG;10644578;TK;Swasta;12 Mar 2026 13:33:37;8;34;2;2;2;2;0;1
22;TK XAVERIUS 5;10644579;TK;Swasta;09 Mar 2026 10:53:11;12;22;2;3;1;2;0;0
23;KB ANGGREK DELIMA;69876056;KB;Swasta;10 Feb 2026 09:07:37;6;17;1;2;2;3;0;0
24;KB DARUSSALAM;69962484;KB;Swasta;-;10;17;1;1;2;2;0;0
25;KB EKA BHAKTI;69773149;KB;Swasta;27 Jan 2026 22:08:36;20;31;2;1;1;3;0;0
26;KB IPEKA;69971156;KB;Swasta;-;3;3;1;1;1;2;0;1
27;KB IZZATUNISHA SYIFFA;70012962;KB;Swasta;-;14;24;2;4;2;2;0;0
28;KB MAITREYAWIRA;69773144;KB;Swasta;-;0;0;0;0;0;0;0;0
29;PAUD BUNDA FAUZIAH;70003290;KB;Swasta;-;5;17;1;1;1;1;0;0
30;SD NEGERI 039 PALEMBANG;10603540;SD;Negeri;13 Mar 2026 10:18:39;42;658;24;34;6;24;0;1
31;SD NEGERI 040 PALEMBANG;10603800;SD;Negeri;06 Mar 2026 10:18:17;43;520;20;32;7;27;0;1
32;SD NEGERI 041 PALEMBANG;10603538;SD;Negeri;26 Feb 2026 19:12:40;36;656;24;34;2;24;2;1
33;SD NEGERI 042 PALEMBANG;10603811;SD;Negeri;12 Mar 2026 11:09:59;61;367;14;16;2;9;0;1
34;SD NEGERI 043 PALEMBANG;10603537;SD;Negeri;09 Mar 2026 09:28:43;40;240;11;16;3;6;0;0
35;SD NEGERI 044 PALEMBANG;10603536;SD;Negeri;12 Mar 2026 07:23:30;25;461;18;22;3;18;1;1
36;SD NEGERI 045 PALEMBANG;10603535;SD;Negeri;10 Mar 2026 09:51:53;33;190;7;9;3;11;1;1
37;SD Guang Ming;70025512;SD;Swasta;06 Mar 2026 13:27:58;17;56;4;6;2;4;0;1
38;SD HOSANNA PALEMBANG;10603924;SD;Swasta;06 Mar 2026 09:53:23;11;74;6;8;4;6;2;1
39;SD IPEKA PALEMBANG;10603907;SD;Swasta;06 Mar 2026 16:11:30;8;360;13;20;3;16;2;1
40;SD MANGGALA;69960992;SD;Swasta;03 Mar 2026 08:00:39;16;217;10;14;3;10;1;1
41;SD METHODIST 02 PALEMBANG;10603901;SD;Swasta;03 Mar 2026 10:37:01;26;346;14;20;6;14;3;1
42;SD MUHAMMADIYAH 05 PALEMBANG;10603922;SD;Swasta;03 Mar 2026 07:21:38;16;143;8;12;2;9;1;1
43;SD ST AGATHA PALEMBANG;10603898;SD;Swasta;02 Mar 2026 10:57:48;17;144;7;10;2;11;3;1
44;SD SUMSEL JAYA PALEMBANG;10604009;SD;Swasta;-;31;46;6;5;3;6;1;1
45;SD TAMAN SISWA PALEMBANG;10603992;SD;Swasta;04 Mar 2026 14:31:24;22;103;6;6;3;6;1;2
46;SD XAVERIUS 01 PALEMBANG;10603988;SD;Swasta;11 Mar 2026 07:49:42;26;713;26;35;15;26;1;1
47;SD XAVERIUS 02 PALEMBANG;10603994;SD;Swasta;04 Mar 2026 06:57:24;11;503;18;26;12;24;2;1
48;SD XAVERIUS 05 PALEMBANG;10603985;SD;Swasta;06 Mar 2026 10:35:44;15;134;6;7;4;10;2;1
49;SMP NEGERI 03 PALEMBANG;10603775;SMP;Negeri;10 Mar 2026 11:37:12;69;1,002;30;42;16;40;2;1
50;SMP NEGERI 06 PALEMBANG;10603781;SMP;Negeri;05 Mar 2026 07:25:50;51;1,016;32;36;10;32;2;1
51;SMP BINA KARYA PALEMBANG;10609500;SMP;Swasta;-;14;22;3;3;1;5;2;1
52;SMP METHODIST 02 PALEMBANG;10609537;SMP;Swasta;06 Mar 2026 08:03:40;48;241;8;13;7;10;6;1
53;SMP MUHAMMADIYAH 02 PALEMBANG;10609541;SMP;Swasta;05 Mar 2026 11:43:59;31;35;3;6;5;4;2;1
54;SMP QURANIAH 01 PALEMBANG;10609576;SMP;Swasta;26 Feb 2026 09:52:01;20;132;5;7;3;6;1;1
55;SMP SUMSEL JAYA PALEMBANG;10609587;SMP;Swasta;05 Mar 2026 22:47:58;28;49;3;8;5;7;2;1
56;SMP TAMAN SISWA;10609588;SMP;Swasta;04 Mar 2026 20:19:15;92;46;3;12;3;6;2;1
57;SMP XAVERIUS 01 PALEMBANG;10609599;SMP;Swasta;04 Mar 2026 07:49:18;18;640;22;41;10;32;5;1
58;SMP XAVERIUS 06 PALEMBANG;10609604;SMP;Swasta;26 Feb 2026 10:49:06;8;202;9;15;9;24;3;1
59;SMP XAVERIUS MARIA PALEMBANG;10609606;SMP;Swasta;09 Mar 2026 13:06:18;33;434;15;21;10;17;4;1
60;SMA NEGERI 15 PALEMBANG;10603846;SMA;Negeri;06 Mar 2026 15:26:04;80;873;25;55;12;26;3;1
61;SMA BINA KARYA PALEMBANG;10609630;SMA;Swasta;-;0;0;0;0;0;0;0;0
62;SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG;69856916;SMA;Swasta;12 Mar 2026 10:33:29;81;1,35;39;59;20;41;6;2
63;SMA METHODIST 02 PALEMBANG;10609656;SMA;Swasta;02 Mar 2026 07:09:12;33;350;12;20;8;12;5;1
64;SMA QUR ANIYAH PALEMBANG;10609684;SMA;Swasta;12 Mar 2026 15:02:59;49;153;6;10;2;6;1;1
65;SMA SUMSEL JAYA PALEMBANG;10609690;SMA;Swasta;22 Jan 2026 08:03:34;24;105;5;11;3;6;3;1
66;SMA TAMAN SISWA PALEMBANG;10609693;SMA;Swasta;06 Mar 2026 08:56:11;63;82;3;11;2;9;4;2
67;SMA XAVERIUS 03 PALEMBANG;10609706;SMA;Swasta;06 Mar 2026 14:54:11;24;632;19;40;13;24;5;1
68;SMK NEGERI 01 PALEMBANG;10603713;SMK;Negeri;07 Mar 2026 10:47:15;83;1,348;42;84;25;42;6;1
69;SMK NEGERI 02 PALEMBANG;10603711;SMK;Negeri;09 Mar 2026 12:16:24;202;2,433;73;172;46;51;8;1
70;SMK KESEHATAN ATHALLA PUTRA PALEMBANG;69772973;SMK;Swasta;12 Mar 2026 13:49:28;29;99;6;22;4;7;3;1
71;SMK METHODIST 02 PALEMBANG;69838800;SMK;Swasta;09 Mar 2026 09:19:41;20;205;8;13;3;9;5;1
72;SMK MUTIARA AZZAM PALEMBANG;10648174;SMK;Swasta;07 Mar 2026 12:50:20;18;61;8;8;2;8;3;1
73;SMK TAMAN SISWA 01 PALEMBANG;10603684;SMK;Swasta;12 Mar 2026 10:20:14;33;210;9;21;5;10;3;1
74;SMK TAMAN SISWA 02 PALEMBANG;10603683;SMK;Swasta;06 Mar 2026 07:48:49;15;175;7;12;11;14;5;1
75;PKBM HOMESCHOOLING HAPPY KIDS;P9970553;PKBM;Swasta;02 Feb 2026 23:59:35;15;4;4;6;2;6;0;0
76;PKBM TAMAN SISWA PALEMBANG;P9997336;PKBM;Swasta;-;0;0;0;0;0;0;0;0
Total;Total;Total;Total;Total;Total;2,022;18,673;695;1,139;361;788;114;58
