Data Peserta Didik Kec. Ilir Timur I - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK AISYIYAH 01;10644580;TK;Swasta;06 Mar 2026 09:03:37;3;16;1;2;1;1;0;0
2;TK AISYIYAH 9;10644581;TK;Swasta;27 Jan 2026 18:24:46;13;30;2;2;2;5;0;0
3;TK BHAKTI ASUHAN;10644571;TK;Swasta;05 Mar 2026 09:13:00;10;35;3;3;1;3;0;0
4;TK HOSANNA;10644590;TK;Swasta;30 Jan 2026 11:54:38;20;13;2;0;1;4;0;0
5;TK INOVATIF;10644592;TK;Swasta;-;0;0;0;0;0;0;0;0
6;TK IPEKA PALEMBANG;10647158;TK;Swasta;-;20;85;4;4;1;2;0;1
7;TK IT AULADI PALEMBANG;69876017;TK;Swasta;11 Mar 2026 11:20:37;7;26;3;3;1;3;0;0
8;TK KARYA MURNI;10644574;TK;Swasta;-;16;16;1;1;1;2;0;0
9;TK MANGGALA SCHOOL;69893618;TK;Swasta;27 Jan 2026 10:59:30;13;59;4;5;2;4;0;0
10;TK METHODIST 2;69935218;TK;Swasta;04 Mar 2026 11:09:34;22;70;4;4;1;5;0;1
11;TK NUSA INDAH 3;10644582;TK;Swasta;03 Mar 2026 15:38:42;12;16;2;2;1;2;0;0
12;TK PANCA BAKTI;10644520;TK;Swasta;25 Jan 2026 08:14:57;6;19;1;4;1;2;0;0
13;TK PENGUIN HANDAYANI;69973584;TK;Swasta;03 Mar 2026 12:12:22;17;19;1;1;2;2;0;1
14;TK PUTRA I;10644586;TK;Swasta;03 Mar 2026 21:16:17;7;61;4;4;1;4;0;1
15;TK ROSI;10644584;TK;Swasta;-;20;37;2;5;1;2;0;0
16;TK SEGARAN;69876020;TK;Swasta;11 Mar 2026 10:10:27;3;18;1;2;1;1;0;0
17;TK SION;10644573;TK;Swasta;04 Mar 2026 13:29:35;12;49;3;3;1;6;0;1
18;TK ST AGATHA PALEMBANG;10644589;TK;Swasta;11 Mar 2026 12:08:45;43;34;3;5;2;5;0;1
19;TK TAMAN SISWA;10644513;TK;Swasta;10 Feb 2026 08:13:27;9;20;1;1;0;1;0;0
20;TK TELKOM 1 PALEMBANG;10644591;TK;Swasta;29 Jan 2026 07:34:27;13;25;1;1;1;3;0;0
21;TK TELKOM 2 PALEMBANG;10644583;TK;Swasta;-;11;19;2;2;1;3;0;0
22;TK WIDYA MUSI;10647181;TK;Swasta;06 Feb 2026 11:01:27;9;32;3;3;1;3;0;1
23;TK XAVERIUS 1 PALEMBANG;10644578;TK;Swasta;12 Mar 2026 13:33:37;28;55;4;4;2;4;0;1
24;TK XAVERIUS 5;10644579;TK;Swasta;09 Mar 2026 10:53:11;12;18;1;2;1;2;0;0
25;KB ANGGREK DELIMA;69876056;KB;Swasta;10 Feb 2026 09:07:37;5;46;3;4;1;3;2;0
26;KB CAHAYA MUSLIMAT NU 8;69773145;KB;Swasta;-;0;0;0;0;0;1;0;0
27;KB CAHAYA MUSLIMAT NU.1;69858063;KB;Swasta;-;0;0;0;0;0;1;0;0
28;KB DARUSSALAM;69962484;KB;Swasta;-;2;12;1;0;2;2;0;0
29;KB EKA BHAKTI;69773149;KB;Swasta;27 Jan 2026 22:08:36;2;20;2;2;1;2;0;0
