Data Guru Kec. Ilir Timur II - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;SD NEGERI 046 PALEMBANG;10603534;SD;Negeri;05 Mar 2026 08:32:07;8;235;9;13;3;6;0;1
2;SD NEGERI 047 PALEMBANG;10603604;SD;Negeri;12 Mar 2026 21:37:07;32;730;21;26;5;18;0;0
3;SD NEGERI 048 PALEMBANG;10603570;SD;Negeri;11 Mar 2026 08:31:53;65;734;24;36;5;17;0;1
4;SD NEGERI 049 PALEMBANG;10603564;SD;Negeri;05 Mar 2026 10:06:37;5;88;6;7;3;8;0;0
5;SD NEGERI 050 PALEMBANG;10603585;SD;Negeri;12 Mar 2026 11:20:20;8;565;19;21;3;20;1;1
6;SD NEGERI 051 PALEMBANG;10603579;SD;Negeri;05 Mar 2026 08:29:29;12;319;12;16;3;6;0;1
7;SD NEGERI 052 PALEMBANG;10603655;SD;Negeri;12 Mar 2026 09:37:09;19;169;6;9;2;6;0;1
8;SD NEGERI 053 PALEMBANG;10603646;SD;Negeri;13 Mar 2026 12:32:02;25;454;14;17;3;6;0;1
9;SD NEGERI 058 PALEMBANG;10603956;SD;Negeri;12 Mar 2026 12:00:25;20;588;18;26;3;11;0;0
10;SD NEGERI 062 PALEMBANG;10603632;SD;Negeri;11 Mar 2026 07:11:02;31;388;13;18;2;7;0;1
11;SD NEGERI 063 PALEMBANG;10603631;SD;Negeri;07 Mar 2026 09:08:34;26;282;11;10;3;7;0;1
12;SD NEGERI 064 PALEMBANG;10609434;SD;Negeri;12 Mar 2026 12:15:57;13;312;12;16;1;6;0;1
13;SD NEGERI 065 PALEMBANG;10603616;SD;Negeri;11 Mar 2026 06:05:57;20;248;12;17;3;9;0;1
14;SD BINA WARGA PALEMBANG;10609878;SD;Swasta;11 Feb 2026 11:00:18;20;189;8;10;2;8;0;1
15;SD KARTIKA II 01 PALEMBANG;10603904;SD;Swasta;06 Mar 2026 21:32:59;34;180;10;16;3;10;1;1
16;SD MUHAMMADIYAH 09 PALEMBANG;10603910;SD;Swasta;11 Mar 2026 20:47:28;32;289;10;15;2;6;2;2
17;SD MUHAMMADIYAH 10 PALEMBANG;10609449;SD;Swasta;05 Mar 2026 07:40:53;24;340;12;14;3;10;0;1
18;SD SINGAPORE INDONESIAN SCHOOL PALEMBANG;69867953;SD;Swasta;04 Mar 2026 13:45:35;3;172;11;9;1;11;5;2
19;SD TAMAN SISWA PENDAWA PALEMBANG;10603991;SD;Swasta;06 Mar 2026 09:51:45;45;155;6;7;1;3;0;1
20;SD TAMAN SISWA SUNGAI BUAH PALEMBANG;10603990;SD;Swasta;03 Mar 2026 10:04:13;23;227;7;9;4;8;1;1
21;SD XAVERIUS 03 PALEMBANG;10603987;SD;Swasta;04 Mar 2026 13:14:05;32;335;12;14;3;20;3;1
22;SDIT BINA ILMI LEMABANG PALEMBANG;69975431;SD;Swasta;05 Mar 2026 07:58:54;2;263;11;18;3;12;1;1
23;SMP NEGERI 08 PALEMBANG;10603774;SMP;Negeri;12 Mar 2026 14:31:54;36;995;32;56;8;34;6;1
24;SMP NEGERI 42 PALEMBANG;10603733;SMP;Negeri;06 Mar 2026 10:47:37;59;654;21;39;8;21;3;1
25;SMP JIHADIYAH PALEMBANG;10609521;SMP;Swasta;05 Mar 2026 09:44:37;14;130;6;11;3;6;2;1
26;SMP KARTIKA II-1 PALEMBANG;10609522;SMP;Swasta;11 Mar 2026 12:08:53;27;197;8;17;3;8;2;1
