Data Peserta Didik Kec. Ilir Timur III - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;SD NEGERI 054 PALEMBANG;10603656;SD;Negeri;03 Mar 2026 09:57:59;10;395;13;19;3;8;0;1
2;SD NEGERI 055 PALEMBANG;10609433;SD;Negeri;03 Mar 2026 10:43:13;22;813;27;33;7;15;0;1
3;SD NEGERI 056 PALEMBANG;10603660;SD;Negeri;12 Mar 2026 00:20:47;10;183;8;11;1;8;0;1
4;SD NEGERI 057 PALEMBANG;10603643;SD;Negeri;02 Mar 2026 08:04:59;30;673;24;35;6;24;0;1
5;SD NEGERI 059 PALEMBANG;10603630;SD;Negeri;10 Mar 2026 10:51:05;22;363;12;17;3;10;0;1
6;SD NEGERI 060 PALEMBANG;10603636;SD;Negeri;11 Mar 2026 09:28:20;23;507;18;21;5;17;0;1
7;SD NEGERI 061 PALEMBANG;10603633;SD;Negeri;03 Mar 2026 13:36:27;19;307;12;15;5;6;0;1
8;SD IGNATIUS GLOBAL SCHOOL PALEMBANG;10648822;SD;Swasta;05 Mar 2026 09:16:44;12;216;7;5;3;7;2;2
9;SD INDRIASANA PALEMBANG;10603908;SD;Swasta;07 Mar 2026 16:28:58;17;399;16;18;4;18;1;1
10;SD IT KAMILIYAH PALEMBANG;10609882;SD;Swasta;15 Feb 2026 17:30:08;18;203;10;15;4;12;1;1
11;SD IT MUTIARA AZZAM PALEMBANG;10648902;SD;Swasta;04 Mar 2026 08:51:07;29;136;8;23;5;8;1;1
12;SD KARYA DHARMA BHAKTI 01 PALEMBANG;10609884;SD;Swasta;04 Mar 2026 07:25:43;30;122;6;8;2;6;2;1
13;SD KUSUMA BANGSA PALEMBANG;69971011;SD;Swasta;09 Mar 2026 13:56:41;8;105;8;13;1;8;1;1
14;SD MAITREYAWIRA PALEMBANG;10647677;SD;Swasta;06 Mar 2026 12:44:54;54;766;29;51;8;34;2;1
15;SD MARANATHA PALEMBANG;69726548;SD;Swasta;26 Jan 2026 07:59:11;9;72;6;7;1;6;1;1
16;SD YAYASAN IBA PALEMBANG;10603948;SD;Swasta;09 Mar 2026 11:40:26;33;595;22;32;3;24;2;1
17;SMP NEGERI 04 PALEMBANG;10603760;SMP;Negeri;04 Mar 2026 13:43:32;39;962;31;48;7;31;6;1
18;SMP NEGERI 50 PALEMBANG;10603743;SMP;Negeri;13 Mar 2026 08:15:58;56;871;28;52;9;28;2;1
19;SMP ADABIYAH PALEMBANG;10609483;SMP;Swasta;06 Mar 2026 08:59:11;24;425;14;20;3;15;3;1
20;SMP AZIZIAH PLUS PALEMBANG;10609920;SMP;Swasta;24 Feb 2026 07:15:00;17;194;6;11;1;6;1;1
21;SMP BINA WARGA PALEMBANG;10609504;SMP;Swasta;10 Mar 2026 10:41:04;66;129;6;15;4;6;2;3
22;SMP IBA PALEMBANG;10609482;SMP;Swasta;12 Mar 2026 07:55:48;34;253;9;15;3;11;4;1
23;SMP IGNATIUS GLOBAL SCHOOL PALEMBANG;10648887;SMP;Swasta;10 Mar 2026 07:55:49;24;360;12;15;2;12;5;1
24;SMP INDRIASANA PALEMBANG;10609517;SMP;Swasta;07 Mar 2026 09:42:53;14;189;7;10;5;9;2;1
25;SMP KARYA ABADI PALEMBANG;10609523;SMP;Swasta;03 Mar 2026 14:03:14;27;44;3;4;1;3;1;1
26;SMP KUSUMA BANGSA PALEMBANG;10609531;SMP;Swasta;03 Mar 2026 09:20:39;7;297;12;20;3;15;7;1
27;SMP MAITREYAWIRA;10647152;SMP;Swasta;23 Feb 2026 08:45:20;27;257;10;20;4;10;3;1
28;SMP NURUL AMAL PALEMBANG;10609551;SMP;Swasta;06 Mar 2026 08:55:55;24;167;6;5;4;6;2;1
29;SMP SINGAPORE INDONESIAN SCHOOL;69983924;SMP;Swasta;27 Feb 2026 09:34:49;11;45;3;9;0;3;3;1
30;SMP YPI TUNAS BANGSA PALEMBANG;10609595;SMP;Swasta;10 Mar 2026 12:28:32;48;875;22;24;3;22;2;1
Total;Total;Total;Total;Total;Total;764;10,923;395;591;110;388;56;33
