Data Guru Kec. Jakabaring - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;SD NEGERI 079 PALEMBANG;10603489;SD;Negeri;13 Mar 2026 09:55:53;71;1,284;43;55;13;20;0;2
2;SD NEGERI 080 PALEMBANG;10603491;SD;Negeri;11 Mar 2026 08:17:32;38;337;13;16;2;6;0;1
3;SD NEGERI 081 PALEMBANG;10603502;SD;Negeri;10 Mar 2026 07:59:36;88;1,201;36;48;4;22;2;1
4;SD NEGERI 082 PALEMBANG;10603501;SD;Negeri;04 Mar 2026 19:34:28;7;262;9;12;3;6;0;0
5;SD NEGERI 083 PALEMBANG;10603500;SD;Negeri;07 Mar 2026 00:32:19;113;740;26;31;6;11;1;1
6;SD NEGERI 084 PALEMBANG;10603498;SD;Negeri;13 Mar 2026 13:06:57;18;225;8;9;3;6;0;1
7;SD NEGERI 085 PALEMBANG;10609436;SD;Negeri;06 Mar 2026 10:01:07;24;1,19;42;51;7;25;0;1
8;SD NEGERI 086 PALEMBANG;10609437;SD;Negeri;09 Mar 2026 12:20:15;31;136;6;6;3;5;0;1
9;SD NEGERI 087 PALEMBANG;10603497;SD;Negeri;10 Mar 2026 06:10:02;13;620;22;27;4;13;0;1
10;SD NEGERI 088 PALEMBANG;10609438;SD;Negeri;11 Mar 2026 14:22:07;32;1,149;40;56;8;21;0;1
11;SD NEGERI 089 PALEMBANG;10603595;SD;Negeri;12 Mar 2026 20:03:15;35;429;16;20;1;16;0;1
12;SD ALAM PALEMBANG;10647750;SD;Swasta;03 Mar 2026 08:17:27;28;72;6;8;0;6;1;1
13;SD EMPAT TUNGGAL PALEMBANG;10603925;SD;Swasta;06 Feb 2026 14:13:32;1;58;6;3;1;6;0;0
14;SD ISLAM AL ALIFAH PALEMBANG;69727833;SD;Swasta;10 Mar 2026 09:09:30;49;567;24;22;6;25;2;1
15;SD ISLAM AL-AZHAR SRIWIJAYA;69892395;SD;Swasta;09 Mar 2026 12:49:17;28;165;8;8;4;8;1;1
16;SD KEMALA BHAYANGKARI 1 PALEMBANG;10603906;SD;Swasta;13 Mar 2026 10:40:35;16;204;6;7;3;6;0;1
17;SD MAITREYAWIRA OPI;69990964;SD;Swasta;09 Mar 2026 14:45:45;0;0;0;3;1;0;0;0
18;SD METHODIST 03 PALEMBANG;10603914;SD;Swasta;03 Mar 2026 12:17:09;5;94;6;6;2;6;1;1
19;SD MUHAMMADIYAH 07 PALEMBANG;10603920;SD;Swasta;07 Mar 2026 10:23:57;4;78;6;6;1;6;1;1
20;SD PADMAJAYA PALEMBANG;10603915;SD;Swasta;12 Mar 2026 11:17:24;12;129;6;9;3;7;1;2
21;SMP NEGERI 07 PALEMBANG;10603780;SMP;Negeri;13 Mar 2026 08:35:14;50;994;33;55;9;22;1;1
22;SMP NEGERI 15 PALEMBANG;10603699;SMP;Negeri;07 Mar 2026 09:39:31;79;800;26;42;9;12;2;1
23;SMP NEGERI 31 PALEMBANG;10603766;SMP;Negeri;03 Mar 2026 12:06:15;167;911;30;49;11;30;2;1
24;SMP NEGERI 35 PALEMBANG;10603736;SMP;Negeri;06 Mar 2026 10:26:09;43;737;25;39;7;25;1;1
25;SMP NEGERI OLAH RAGA SRIWIJAYA PALEMBANG;10609554;SMP;Negeri;04 Mar 2026 08:30:08;121;85;4;15;4;4;2;1
26;SMP ALAM;69760862;SMP;Swasta;03 Mar 2026 12:06:01;8;15;3;5;2;3;1;1
27;SMP ISLAM AL-ALIFAH PALEMBANG;69970994;SMP;Swasta;05 Mar 2026 08:54:29;56;20;3;5;4;3;1;1
28;SMP ISLAM AL-AZHAR SRIWIJAYA PALEMBANG;69907937;SMP;Swasta;02 Mar 2026 09:34:43;34;86;3;10;1;5;1;1
29;SMP METHODIST 03 PALEMBANG;10609538;SMP;Swasta;13 Mar 2026 10:36:54;16;70;3;4;2;6;4;1
30;SMP NU PALEMBANG;10609549;SMP;Swasta;11 Mar 2026 13:05:59;95;911;29;32;5;24;1;1
31;SMP PADMAJAYA PALEMBANG;10609556;SMP;Swasta;05 Mar 2026 08:51:53;42;65;4;8;2;4;2;1
32;SMP PELITA PALEMBANG;10609558;SMP;Swasta;06 Mar 2026 20:56:52;36;82;3;5;3;3;1;1
33;SMP PGRI 01 PALEMBANG;10609563;SMP;Swasta;04 Mar 2026 08:11:53;25;427;14;22;7;14;2;1
Total;Total;Total;Total;Total;Total;1,385;14,143;509;694;141;376;31;32
