Data Guru Kec. Kalidoni - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;SD NEGERI 167 PALEMBANG;10609408;SD;Negeri;05 Mar 2026 14:11:45;18;331;12;16;3;14;0;1
2;SD NEGERI 168 PALEMBANG;10603826;SD;Negeri;06 Mar 2026 08:33:42;10;452;16;22;5;12;0;1
3;SD NEGERI 169 PALEMBANG;10603827;SD;Negeri;12 Mar 2026 18:44:30;33;448;14;17;3;8;0;1
4;SD NEGERI 170 PALEMBANG;10603828;SD;Negeri;09 Mar 2026 08:44:43;54;511;16;20;3;9;0;1
5;SD NEGERI 171 PALEMBANG;10604252;SD;Negeri;04 Mar 2026 13:51:44;19;378;12;17;1;6;1;1
6;SD NEGERI 172 PALEMBANG;10604251;SD;Negeri;04 Mar 2026 08:44:54;36;120;6;10;1;6;0;0
7;SD NEGERI 173 PALEMBANG;10609409;SD;Negeri;05 Mar 2026 12:07:45;4;248;10;12;2;11;0;1
8;SD NEGERI 174 PALEMBANG;10609410;SD;Negeri;06 Mar 2026 20:41:16;30;286;11;10;2;5;0;1
9;SD NEGERI 175 PALEMBANG;10604236;SD;Negeri;09 Mar 2026 10:40:44;11;211;8;12;7;8;0;1
10;SD NEGERI 176 PALEMBANG;10604319;SD;Negeri;06 Mar 2026 08:35:20;72;917;28;30;5;19;1;1
11;SD NEGERI 177 PALEMBANG;10604330;SD;Negeri;09 Mar 2026 13:51:33;61;466;15;17;3;12;0;1
12;SD NEGERI 178 PALEMBANG;10609411;SD;Negeri;05 Mar 2026 12:16:34;15;193;8;10;2;6;0;1
13;SD NEGERI 179 PALEMBANG;10609412;SD;Negeri;13 Mar 2026 08:40:26;8;302;12;14;2;16;0;2
14;SD NEGERI 180 PALEMBANG;10609413;SD;Negeri;05 Mar 2026 13:16:57;27;402;14;17;4;7;0;1
15;SD NEGERI 181 PALEMBANG;10604329;SD;Negeri;11 Mar 2026 19:11:33;20;416;15;19;3;11;0;1
16;SD NEGERI 182 PALEMBANG;10604328;SD;Negeri;09 Mar 2026 10:32:13;24;539;18;22;4;12;0;1
17;SD NEGERI 183 PALEMBANG;10609414;SD;Negeri;11 Mar 2026 10:07:28;22;367;12;15;1;9;0;0
18;SD NEGERI 184 PALEMBANG;10604327;SD;Negeri;06 Mar 2026 07:31:43;35;864;24;29;4;22;0;1
19;SD NEGERI 185 PALEMBANG;10604326;SD;Negeri;10 Mar 2026 08:43:47;12;493;17;18;5;12;0;1
