Data Guru Kec. Kemuning - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;SD NEGERI 156 PALEMBANG;10603672;SD;Negeri;11 Mar 2026 01:15:25;47;1,196;38;52;9;22;2;1
2;SD NEGERI 157 PALEMBANG;10603825;SD;Negeri;13 Mar 2026 08:19:51;26;876;28;41;8;24;1;1
3;SD NEGERI 158 PALEMBANG;10603824;SD;Negeri;11 Mar 2026 13:52:26;24;390;13;17;5;18;0;1
4;SD NEGERI 159 PALEMBANG;10603823;SD;Negeri;03 Mar 2026 15:38:31;59;359;14;21;4;19;1;1
5;SD NEGERI 160 PALEMBANG;10603822;SD;Negeri;06 Mar 2026 07:58:21;92;1;28;38;7;15;1;2
6;SD NEGERI 161 PALEMBANG;10603820;SD;Negeri;06 Mar 2026 10:08:48;12;415;15;15;3;7;0;1
7;SD NEGERI 162 PALEMBANG;10603819;SD;Negeri;03 Mar 2026 12:51:45;12;353;13;17;3;13;0;1
8;SD NEGERI 163 PALEMBANG;10603818;SD;Negeri;05 Mar 2026 07:15:39;19;593;20;26;5;17;0;1
9;SD NEGERI 164 PALEMBANG;10603817;SD;Negeri;11 Mar 2026 10:58:09;88;892;26;34;3;21;0;1
10;SD NEGERI 165 PALEMBANG;10603816;SD;Negeri;03 Mar 2026 09:15:32;20;379;12;12;3;7;0;1
11;SD NEGERI 166 PALEMBANG;10609407;SD;Negeri;12 Mar 2026 08:49:36;96;402;16;23;6;9;1;1
12;SD BAPTIS PALEMBANG;10603942;SD;Swasta;11 Mar 2026 11:56:35;29;979;34;44;5;45;2;1
13;SD DHARMA JAYA PALEMBANG;10603941;SD;Swasta;03 Mar 2026 07:55:47;18;146;6;7;1;7;1;1
14;SD ISLAM AL FURQON PALEMBANG;10644164;SD;Swasta;10 Mar 2026 13:39:43;41;785;26;40;4;26;3;1
15;SD ISLAM AL-AZHAR CAIRO PALEMBANG INDONESIA;69974761;SD;Swasta;06 Mar 2026 12:59:34;25;720;29;55;10;29;3;1
16;SD IT NURUL IMAN PALEMBANG;10603916;SD;Swasta;11 Feb 2026 13:31:46;44;249;12;14;4;12;0;1
17;SD KARTIKA II 02 PALEMBANG;10609443;SD;Swasta;01 Feb 2026 21:36:05;93;508;18;26;1;18;1;1
18;SD METHODIST 01 PALEMBANG;10603902;SD;Swasta;06 Mar 2026 14:15:33;10;380;14;14;3;14;2;1
19;SD MITRA PENABUR PALEMBANG;10647493;SD;Swasta;04 Mar 2026 10:27:31;32;162;9;13;5;10;2;1
20;SD MUHAMMADIYAH 06 PALEMBANG;10603921;SD;Swasta;13 Mar 2026 09:10:27;97;1,013;30;48;3;25;2;1
21;SD MUHAMMADIYAH 14 PALEMBANG;10603911;SD;Swasta;05 Mar 2026 08:10:15;27;889;30;40;3;30;2;1
22;SD TULUS BAKTI PALEMBANG;10603989;SD;Swasta;13 Mar 2026 07:23:01;32;99;6;8;1;6;0;0
23;SMP NEGERI 09 PALEMBANG;10603778;SMP;Negeri;06 Mar 2026 20:05:23;45;1,051;33;50;15;33;4;1
24;SMP NEGERI 10 PALEMBANG;10603687;SMP;Negeri;10 Mar 2026 10:53:14;33;1,05;31;54;19;31;3;1
25;SMP NEGERI 57 PALEMBANG;69857936;SMP;Negeri;05 Mar 2026 14:48:01;91;769;24;38;3;24;1;1
26;SMP BAPTIS PALEMBANG;10609496;SMP;Swasta;04 Mar 2026 09:49:40;11;80;3;8;2;3;2;1
27;SMP DHARMAJAYA PALEMBANG;10609509;SMP;Swasta;07 Mar 2026 11:21:48;14;27;3;3;2;6;0;1
28;SMP ISLAM AL-AZHAR CAIRO PALEMBANG INDONESIA;69965842;SMP;Swasta;13 Mar 2026 09:57:45;28;379;14;41;13;14;3;1
29;SMP KARYA IBU PALEMBANG;10609525;SMP;Swasta;05 Mar 2026 19:09:45;25;586;20;31;6;24;3;1
30;SMP METHODIST 01 PALEMBANG;10609536;SMP;Swasta;03 Mar 2026 11:25:33;17;353;13;17;6;13;3;1
31;SMP MUHAMMADIYAH 04 PALEMBANG;10609543;SMP;Swasta;22 Feb 2026 23:01:11;29;559;18;32;5;18;2;1
32;SMP MUHAMMADIYAH 10 PALEMBANG;10609540;SMP;Swasta;03 Mar 2026 18:00:16;27;64;3;6;2;4;2;1
33;SMP NURUL IMAN PALEMBANG;10609552;SMP;Swasta;06 Mar 2026 04:41:29;20;180;7;11;5;21;3;1
34;SMA NEGERI 03 PALEMBANG;10603844;SMA;Negeri;13 Mar 2026 11:19:55;111;1,235;35;62;20;35;6;1
35;SMA NEGERI 06 PALEMBANG;10603853;SMA;Negeri;12 Mar 2026 08:37:57;149;1,051;30;63;13;30;7;1
36;SMA AISYIYAH 01 PALEMBANG;10609664;SMA;Swasta;09 Mar 2026 07:19:03;189;302;10;21;10;10;3;1
37;SMA CANDRADIMUKA PALEMBANG;10609635;SMA;Swasta;11 Mar 2026 09:30:36;118;130;6;9;2;6;1;1
38;SMA KARYA IBU PALEMBANG;10609646;SMA;Swasta;28 Feb 2026 14:03:07;175;365;11;15;8;15;6;1
39;SMA METHODIST 01 PALEMBANG;10609655;SMA;Swasta;13 Mar 2026 06:50:22;568;363;14;24;8;22;6;1
40;SMA MUHAMMADIYAH 01 PALEMBANG;10604065;SMA;Swasta;15 Feb 2026 15:39:54;55;1,165;35;73;20;40;7;1
41;SMA MUHAMMADIYAH 06 PALEMBANG;10609663;SMA;Swasta;05 Mar 2026 14:20:26;73;507;16;27;6;16;3;1
42;SMA NURUL IMAN PALEMBANG;10609671;SMA;Swasta;13 Mar 2026 09:14:04;39;117;4;16;6;5;5;1
43;SMK NEGERI 04 PALEMBANG;10603710;SMK;Negeri;13 Mar 2026 10:47:20;214;1,807;52;110;18;47;4;1
44;SMK NEGERI SUMSEL PALEMBANG;10648015;SMK;Negeri;11 Mar 2026 13:48:14;86;727;21;15;8;14;6;1
45;SMK KIMIA YTK  PALEMBANG;10603725;SMK;Swasta;10 Mar 2026 11:45:52;34;105;3;6;3;3;4;2
