Data Peserta Didik Kec. Kertapati - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK NEGERI PEMBINA 03 PALEMBANG;70001380;TK;Negeri;10 Mar 2026 09:32:16;12;32;2;2;2;3;0;0
2;TK ACTIVE PALEMBANG;10644166;TK;Swasta;19 Feb 2026 10:17:13;14;70;3;3;2;5;0;0
3;TK AISYIYAH 12 PALEMBANG;10644167;TK;Swasta;07 Mar 2026 15:08:24;7;85;3;3;1;4;0;0
4;TK BAKTI SRIWIJAYA PALEMBANG;69968591;TK;Swasta;27 Jan 2026 09:42:57;11;46;3;2;4;3;0;0
5;TK ELEKTRINA PALEMBANG;10644168;TK;Swasta;04 Mar 2026 22:41:21;7;55;4;4;2;4;0;0
6;TK HANDAYANI PALEMBANG;10644169;TK;Swasta;04 Mar 2026 09:12:32;11;52;3;4;2;3;0;1
7;TK HARAPAN IBU;70038954;TK;Swasta;02 Mar 2026 09:05:04;9;18;1;1;1;2;0;0
8;TK PELANGI AGUNG PALEMBANG;69947077;TK;Swasta;08 Mar 2026 18:15:50;7;51;5;6;1;5;0;0
9;TK WIJAYA KUSUMA;70030352;TK;Swasta;09 Feb 2026 00:19:54;16;63;3;2;1;2;0;0
10;KB ABDULLAH;69965553;KB;Swasta;27 Jan 2026 16:03:16;13;56;3;2;2;1;0;0
11;KB AISYIYAH II;69773093;KB;Swasta;-;10;20;1;1;2;1;1;0
12;KB AL - MAHIRA;69970116;KB;Swasta;29 Jan 2026 12:49:13;9;24;1;3;1;2;0;0
13;KB ANAK CERDAS;69773079;KB;Swasta;27 Jan 2026 11:31:56;10;28;1;2;2;1;0;0
14;KB AR-RAHMA;69986143;KB;Swasta;26 Jan 2026 09:34:27;6;22;1;1;3;1;0;0
15;KB BUNDA;69967161;KB;Swasta;28 Feb 2026 12:45:56;3;29;2;1;2;2;0;0
16;KB CANDRA;69933020;KB;Swasta;27 Jan 2026 15:18:43;28;26;1;1;1;1;0;0
