Data Peserta Didik Kec. Plaju - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;PAUD ISLAM SALSABILA;69948225;TK;Swasta;24 Jan 2026 10:16:38;38;129;5;6;2;6;0;0
2;TK AISYIYAH 02 PALEMBANG;10644173;TK;Swasta;03 Mar 2026 09:11:48;1;48;3;3;1;3;0;0
3;TK ANANDA;10644570;TK;Swasta;-;2;15;1;2;1;1;0;0
4;TK BINAWATI;10644174;TK;Swasta;02 Mar 2026 19:35:01;22;230;10;11;1;6;0;0
5;TK MINI;10644175;TK;Swasta;18 Jan 2026 23:04:35;2;61;2;2;2;2;0;0
6;TK PATRA MANDIRI PALEMBANG;10644177;TK;Swasta;03 Mar 2026 10:53:42;10;60;4;5;3;9;0;0
7;TK PURI;10644176;TK;Swasta;07 Mar 2026 12:50:47;41;65;4;4;1;2;0;0
8;TK PWP 3;10644179;TK;Swasta;25 Jan 2026 15:43:17;5;61;3;3;1;4;0;1
9;TK XAVERIUS 8;10644181;TK;Swasta;12 Mar 2026 08:30:18;50;14;2;2;0;2;0;0
10;TK YP INDRA 1;10644183;TK;Swasta;07 Feb 2026 08:04:29;16;26;2;1;1;4;0;0
11;KB ABIYYU;69932220;KB;Swasta;21 Jan 2026 17:06:35;32;13;2;0;2;1;0;0
12;KB AINNUR;69773105;KB;Swasta;07 Mar 2026 08:18:58;20;85;4;5;1;4;0;0
13;KB AL MARUF;69773111;KB;Swasta;28 Jan 2026 20:05:24;16;66;5;4;1;3;0;0
14;KB AN-NUURU;69773109;KB;Swasta;21 Jan 2026 17:32:36;4;16;1;1;2;2;0;0
15;KB BINA KARTINI;69773107;KB;Swasta;21 Feb 2026 15:09:42;2;46;2;1;1;2;0;0
16;KB BINA NUGRAHA;69876034;KB;Swasta;-;0;0;0;0;0;1;0;0
17;KB BOUGENVILLE;69876065;KB;Swasta;-;0;0;0;0;0;1;0;0
18;KB ISLAM AL-AFIQ;69858051;KB;Swasta;-;9;39;3;3;1;2;0;0
19;KB MAWAR;69773108;KB;Swasta;22 Jan 2026 20:23:24;8;16;1;1;1;2;0;0
20;KB MEKAR SARI;69773110;KB;Swasta;-;0;0;0;0;0;1;0;0
21;KB MELATI PUTIH;69773113;KB;Swasta;-;0;0;0;0;0;1;0;0
22;KB PUSPA;69773114;KB;Swasta;21 Jan 2026 17:54:03;20;23;2;1;1;1;0;0
23;KB TARUNA MANDIRI SRIWIJAYA;69970993;KB;Swasta;04 Feb 2026 14:30:35;8;74;4;4;2;4;0;0
24;KB UMMI RODIAH;69773112;KB;Swasta;09 Mar 2026 12:58:54;5;32;2;3;1;3;0;1
25;SPS AL BAYYINAH;69773262;SPS;Swasta;06 Mar 2026 10:19:18;10;25;4;2;1;4;0;0
26;SPS AR-ROHIM;69773263;SPS;Swasta;21 Jan 2026 19:11:09;1;21;3;3;3;4;0;0
27;SD NEGERI 222 PALEMBANG;10609424;SD;Negeri;12 Mar 2026 14:03:41;71;479;17;22;3;27;0;0
28;SD NEGERI 223 PALEMBANG;10609426;SD;Negeri;07 Mar 2026 11:16:33;27;319;12;15;3;5;0;1
29;SD NEGERI 224 PALEMBANG;10604292;SD;Negeri;13 Mar 2026 12:26:10;50;821;27;35;3;14;0;1
30;SD NEGERI 225 PALEMBANG;10604303;SD;Negeri;06 Mar 2026 11:56:35;18;508;18;25;3;16;1;2
31;SD NEGERI 226 PALEMBANG;10609428;SD;Negeri;13 Mar 2026 06:16:49;30;906;30;35;9;19;0;1
32;SD NEGERI 227 PALEMBANG;10609429;SD;Negeri;03 Mar 2026 11:30:35;56;333;12;14;3;5;0;1
33;SD NEGERI 228 PALEMBANG;10609430;SD;Negeri;12 Mar 2026 13:28:53;17;278;12;15;2;5;0;1
34;SD NEGERI 229 PALEMBANG;10609431;SD;Negeri;04 Mar 2026 10:21:26;39;472;17;17;1;7;0;0
35;SD NEGERI 230 PALEMBANG;10604305;SD;Negeri;12 Mar 2026 08:24:46;16;293;11;13;3;5;0;1
36;SD NEGERI 231 PALEMBANG;10609432;SD;Negeri;12 Mar 2026 07:43:14;30;443;17;21;4;12;0;1
37;SD NEGERI 232 PALEMBANG;10604315;SD;Negeri;05 Mar 2026 11:15:22;15;422;17;22;5;10;0;1
38;SD NEGERI 233 PALEMBANG;10604314;SD;Negeri;11 Mar 2026 19:05:40;19;291;11;13;1;7;0;1
39;SD NEGERI 234 PALEMBANG;10604313;SD;Negeri;06 Mar 2026 10:59:54;32;700;26;35;3;12;1;1
40;SD NEGERI 235 PALEMBANG;10604312;SD;Negeri;02 Mar 2026 11:26:18;24;563;20;19;4;8;0;1
41;SD NEGERI 236 PALEMBANG;10604310;SD;Negeri;06 Mar 2026 04:15:29;10;540;19;23;3;10;0;1
42;SD IT AZIZAH PALEMBANG;69947360;SD;Swasta;13 Mar 2026 15:02:37;57;257;11;17;4;11;1;1
43;SD IT SALSABILA;69948548;SD;Swasta;25 Feb 2026 09:43:32;69;390;17;28;2;18;2;2
44;SD MUHAMMADIYAH 03 PALEMBANG;10603923;SD;Swasta;03 Mar 2026 08:51:33;23;455;18;22;3;12;0;0
45;SD PATRA MANDIRI 01 PALEMBANG;10609470;SD;Swasta;04 Mar 2026 07:05:33;50;197;9;13;3;11;2;1
46;SD PATRA MANDIRI 02 PALEMBANG;10609471;SD;Swasta;04 Mar 2026 07:25:18;23;215;10;14;5;13;2;1
47;SD PATRA MANDIRI 03 PALEMBANG;10609472;SD;Swasta;-;11;27;3;4;3;6;2;1
48;SD PEMBERANTAS PALEMBANG;10609887;SD;Swasta;29 Jan 2026 12:35:24;8;112;6;5;2;3;0;0
49;SD TAMAN SISWA 01 SUNGAI GERONG PALEMBANG;10609892;SD;Swasta;07 Mar 2026 09:24:31;38;403;16;19;1;14;2;1
50;SD XAVERIUS 08 PALEMBANG;10609893;SD;Swasta;06 Mar 2026 10:40:49;19;72;6;7;4;6;1;1
51;SD YAYASAN REMILING MUSI;10603913;SD;Swasta;-;21;139;6;8;1;4;1;1
