Data Peserta Didik Kec. Sako - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK ABRIZAM ANUGERAH;70030359;TK;Swasta;03 Mar 2026 20:59:08;9;27;3;3;3;3;0;0
2;TK AISYIYAH 22;70041800;TK;Swasta;05 Mar 2026 23:19:26;35;82;3;3;1;3;0;0
3;TK AL AQOBAH II;70038953;TK;Swasta;07 Mar 2026 17:58:32;24;42;3;2;2;3;0;0
4;TK AL-AQOBAH ARRABIU;10644328;TK;Swasta;10 Mar 2026 09:10:37;9;69;4;3;1;5;0;0
5;TK ALMUQODDIM;10644332;TK;Swasta;03 Mar 2026 08:42:42;5;30;3;3;1;3;0;0
6;TK ANANDA;69773027;TK;Swasta;16 Jan 2026 10:30:25;2;13;1;2;0;1;0;0
7;TK ANISA KARYA;69773024;TK;Swasta;04 Mar 2026 22:30:20;10;33;3;2;1;3;0;0
8;TK ANNISA;10644325;TK;Swasta;03 Mar 2026 03:57:24;24;36;3;2;2;3;0;0
9;TK BINA CITRA SEJATI II;69876045;TK;Swasta;19 Jan 2026 13:18:03;4;40;2;1;2;3;0;0
10;TK BINA KAWAN;10644307;TK;Swasta;03 Mar 2026 11:54:17;12;46;3;4;2;3;0;0
11;TK BUDI SYUKUR SAKO PALEMBANG;69876028;TK;Swasta;21 Jan 2026 07:08:10;5;32;2;1;1;2;0;0
12;TK CAHAYA HATI;70030204;TK;Swasta;31 Jan 2026 18:04:45;11;83;3;2;2;2;0;0
13;TK CERIA;69982233;TK;Swasta;-;2;4;1;0;2;1;0;0
14;TK DOA ANANDDA;69960204;TK;Swasta;03 Mar 2026 12:34:46;12;31;2;3;0;2;0;0
15;TK DOA IBU;10644313;TK;Swasta;04 Mar 2026 04:08:37;4;19;1;3;1;2;0;0
16;TK ESSABA PALEMBANG;10647153;TK;Swasta;21 Jan 2026 07:33:20;6;16;1;1;2;2;0;1
17;TK FARIS ATHALLAH;69960944;TK;Swasta;06 Mar 2026 01:46:08;22;40;3;3;2;3;0;0
18;TK GENERASI CERDAS;69891376;TK;Swasta;01 Mar 2026 13:31:08;8;49;5;5;2;6;0;0
19;TK HARAPAN BANGSA 5;10644306;TK;Swasta;21 Jan 2026 19:29:34;13;30;2;2;2;3;0;0
20;TK HARAPAN MARDHOTILLAH;69901207;TK;Swasta;23 Jan 2026 08:31:22;8;19;2;2;1;3;0;0
21;TK HARIS;10647870;TK;Swasta;05 Mar 2026 11:11:38;7;29;2;1;1;2;0;1
22;TK HIJRIYAH III;10644324;TK;Swasta;23 Jan 2026 10:43:56;8;20;2;2;1;3;0;0
