Data Peserta Didik Kec. Sako - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;SD NEGERI 103 PALEMBANG;10603515;SD;Negeri;07 Mar 2026 08:15:14;13;314;11;14;3;5;0;1
2;SD NEGERI 104 PALEMBANG;10603514;SD;Negeri;12 Mar 2026 08:01:00;38;815;26;36;6;32;0;1
3;SD NEGERI 105 PALEMBANG;10603969;SD;Negeri;05 Mar 2026 07:04:38;20;656;21;25;7;9;0;1
4;SD NEGERI 106 PALEMBANG;10603513;SD;Negeri;12 Mar 2026 08:59:43;15;961;27;30;4;13;0;1
5;SD NEGERI 107 PALEMBANG;10603953;SD;Negeri;13 Mar 2026 06:49:51;42;631;21;26;2;11;0;1
6;SD NEGERI 108 PALEMBANG;10603809;SD;Negeri;13 Mar 2026 09:21:20;24;506;15;18;2;7;0;1
7;SD NEGERI 109 PALEMBANG;10603512;SD;Negeri;13 Mar 2026 10:16:31;24;1,307;39;52;8;30;0;2
8;SD NEGERI 110 PALEMBANG;10604275;SD;Negeri;06 Mar 2026 13:06:24;9;675;22;27;4;10;0;1
9;SD NEGERI 111 PALEMBANG;10603511;SD;Negeri;10 Mar 2026 06:39:51;6;425;13;22;4;12;1;1
10;SD NEGERI 112 PALEMBANG;10603508;SD;Negeri;12 Mar 2026 12:31:39;80;444;14;20;2;11;0;1
11;SD NEGERI 113 PALEMBANG;10603808;SD;Negeri;07 Mar 2026 13:00:39;32;1,327;34;49;9;19;0;2
12;SD HARIS PALEMBANG;69867938;SD;Swasta;04 Mar 2026 08:09:10;18;97;6;5;0;6;1;1
13;SD ISLAM AL-AZHAR 45 PALEMBANG;69964428;SD;Swasta;09 Mar 2026 15:27:30;40;244;9;6;2;11;2;1
14;SD IT DARUL FADHLI;69989329;SD;Swasta;07 Mar 2026 12:38:52;10;20;3;2;3;3;0;0
15;SD IT NURUL JANNAH;69990059;SD;Swasta;10 Mar 2026 11:17:56;0;0;0;4;1;0;0;0
16;SD MANDIRI PALEMBANG;10645378;SD;Swasta;12 Mar 2026 11:27:38;22;124;6;11;0;6;2;1
17;SD MATARAM PALEMBANG;10609445;SD;Swasta;11 Mar 2026 16:46:37;23;215;6;7;3;5;0;1
18;SD ULIL ALBAB PALEMBANG;10647483;SD;Swasta;04 Mar 2026 08:31:24;10;250;12;16;4;14;1;1
19;SDIT AULADI SAKO PALEMBANG;69967555;SD;Swasta;16 Feb 2026 19:26:44;13;172;6;6;4;6;1;1
20;SDIT TARBAWI PALEMBANG;69961806;SD;Swasta;06 Mar 2026 12:22:30;3;208;9;10;5;11;0;1
21;SMP NEGERI 14 PALEMBANG;10603756;SMP;Negeri;11 Mar 2026 07:27:53;45;929;30;55;14;30;1;1
22;SMP NEGERI 27 PALEMBANG;10603673;SMP;Negeri;11 Mar 2026 17:07:08;138;768;25;45;9;25;1;1
23;SMP NEGERI 41 PALEMBANG;10603734;SMP;Negeri;12 Mar 2026 08:38:35;62;964;32;54;13;20;1;1
24;SMP NEGERI 53 PALEMBANG;10603751;SMP;Negeri;13 Mar 2026 12:34:33;77;774;25;46;10;25;4;1
25;SMP BINA TAMA PALEMBANG;10609503;SMP;Swasta;27 Feb 2026 15:53:36;43;348;12;23;7;12;2;1
26;SMP ISLAM AL-AZHAR 33 PALEMBANG;69964429;SMP;Swasta;05 Mar 2026 22:29:19;41;83;4;10;3;4;2;1
27;SMP IT KHAZANAH KEBAJIKAN;69954001;SMP;Swasta;03 Feb 2026 20:02:36;31;79;4;10;2;4;0;1
28;SMP IT ULIL ALBAB PALEMBANG;69961489;SMP;Swasta;28 Jan 2026 21:18:40;21;127;5;8;1;5;1;1
29;SMP KARYA SAKTI PALEMBANG;10609527;SMP;Swasta;12 Mar 2026 08:32:02;74;35;3;6;3;3;2;1
30;SMP KARYA UTAMA PALEMBANG;10609529;SMP;Swasta;-;0;0;0;0;0;3;1;1
31;SMP MANDIRI PALEMBANG;10609534;SMP;Swasta;10 Mar 2026 23:09:06;30;270;9;16;1;10;2;1
32;SMP SETIA NEGARA PALEMBANG;10609581;SMP;Swasta;24 Feb 2026 14:47:55;58;324;10;19;3;10;2;1
33;SMA NEGERI 14 PALEMBANG;10603862;SMA;Negeri;11 Mar 2026 06:59:11;23;879;25;53;14;22;4;1
34;SMA NEGERI 16 PALEMBANG;10603860;SMA;Negeri;13 Mar 2026 11:16:44;60;876;25;45;3;24;3;1
35;SMA IT KHAZANAH KEBAJIKAN PALEMBANG;69965480;SMA;Swasta;11 Mar 2026 01:28:33;48;48;3;6;1;3;1;1
36;SMA KARYA SAKTI PALEMBANG;10609649;SMA;Swasta;-;36;18;3;4;3;3;1;1
37;SMA MANDIRI PALEMBANG;10609653;SMA;Swasta;03 Mar 2026 12:24:05;27;75;3;4;2;4;1;1
38;SMK HARAPAN BANGSA PALEMBANG;10609754;SMK;Swasta;19 Jan 2026 10:44:54;13;103;5;5;1;5;1;1
39;SMK KARYA ANDALAS PALEMBANG;10603726;SMK;Swasta;28 Feb 2026 08:21:24;128;252;8;18;5;8;1;1
40;SMK KESEHATAN RIZKI PATYA PALEMBANG;69938492;SMK;Swasta;05 Mar 2026 22:39:16;10;83;4;4;2;7;1;1
41;SMK MANDIRI PALEMBANG;69772970;SMK;Swasta;03 Mar 2026 08:01:53;24;335;13;11;1;13;1;1
42;SMK TARUNA SRIWIJAYA PALEMBANG;10609731;SMK;Swasta;-;0;0;0;0;0;3;1;1
43;SLB B YPAC PALEMBANG;10603995;SLB;Swasta;03 Mar 2026 10:32:41;9;64;12;18;1;12;0;1
