Data Peserta Didik Kec. Seberang Ulu I - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK AISYIYAH 03 PALEMBANG;10644342;TK;Swasta;23 Jan 2026 14:34:03;9;31;3;5;1;5;0;0
2;TK AISYIYAH 7;10644392;TK;Swasta;-;0;0;0;0;0;1;0;0
3;TK AL-IKHLAS;10644340;TK;Swasta;04 Mar 2026 10:30:19;10;77;6;6;1;6;0;1
4;TK AZKARA ZAHRA;69958534;TK;Swasta;03 Mar 2026 13:21:03;5;20;2;2;1;2;0;1
5;TK HANDAYANI II;69950484;TK;Swasta;04 Mar 2026 08:14:56;11;31;2;2;2;4;0;0
6;TK HARAPAN IBU;10644395;TK;Swasta;-;0;0;0;0;0;1;0;0
7;TK HIJRIYAH II;10644396;TK;Swasta;03 Feb 2026 21:24:37;12;44;3;3;5;3;0;1
8;TK METHODIST 3;10647172;TK;Swasta;04 Mar 2026 09:14:26;4;6;1;0;1;4;0;0
9;TK. AR-RACHMA;69858021;TK;Swasta;21 Jan 2026 10:22:54;4;85;6;6;1;6;0;0
10;KB AISYAH SP;69773061;KB;Swasta;-;2;7;1;3;0;2;0;0
11;KB AL- HADI;69773069;KB;Swasta;25 Jan 2026 21:40:38;4;54;2;2;1;2;0;0
12;KB AL-KAUTSAR;70008733;KB;Swasta;05 Mar 2026 10:16:40;0;0;0;0;0;0;0;0
13;KB BAROKAH;69773063;KB;Swasta;28 Jan 2026 15:06:04;1;34;2;1;2;2;0;0
14;KB FATHIAH;69773072;KB;Swasta;16 Jan 2026 11:35:01;26;78;4;3;1;4;0;0
15;KB HANDAYANI;69773062;KB;Swasta;03 Feb 2026 19:31:08;22;35;3;2;1;3;0;0
16;KB HARAPAN BARU;69773071;KB;Swasta;03 Feb 2026 14:32:52;6;42;2;2;1;2;0;0
17;KB MU AZZHAM;69876036;KB;Swasta;-;5;16;2;1;2;2;0;0
18;KB MUSHAB BIN UMAIR;69858050;KB;Swasta;06 Mar 2026 13:29:48;5;37;3;2;2;3;0;1
19;KB NURUL FURQON;69773064;KB;Swasta;30 Jan 2026 18:30:17;5;46;3;5;2;5;0;0
20;KB PULAU;69773073;KB;Swasta;11 Feb 2026 08:05:02;5;31;2;3;2;2;0;0
21;KB RISTEK;69773068;KB;Swasta;20 Jan 2026 12:26:57;11;84;3;3;2;4;0;0
22;KB SMART CHILDREN;69909071;KB;Swasta;29 Jan 2026 16:30:59;14;21;2;2;1;3;0;0
23;KB TERAS;69773070;KB;Swasta;-;25;48;3;2;2;3;0;2
24;KB TIFFANY AZZAHRAH;69972696;KB;Swasta;28 Jan 2026 14:35:50;7;34;2;0;1;2;0;0
25;KB. CAHAYA ANANDA;69858049;KB;Swasta;27 Jan 2026 08:37:27;2;46;3;3;2;4;0;1
26;SPS AR- RIDHO;69773254;SPS;Swasta;-;0;0;0;0;0;4;0;0
27;SD NEGERI 066 PALEMBANG;10603503;SD;Negeri;06 Mar 2026 10:49:48;33;235;12;17;3;12;0;1
28;SD NEGERI 067 PALEMBANG;10603488;SD;Negeri;03 Mar 2026 09:16:21;39;327;13;16;3;10;0;1
29;SD NEGERI 068 PALEMBANG;10603546;SD;Negeri;11 Mar 2026 11:55:52;47;452;18;22;5;20;0;1
30;SD NEGERI 069 PALEMBANG;10603954;SD;Negeri;13 Mar 2026 11:11:14;18;284;12;10;3;6;0;1
31;SD NEGERI 070 PALEMBANG;10603487;SD;Negeri;06 Mar 2026 11:05:22;33;418;14;19;4;5;0;0
32;SD NEGERI 071 PALEMBANG;10603558;SD;Negeri;02 Mar 2026 10:08:18;70;238;8;11;1;6;0;0
33;SD NEGERI 072 PALEMBANG;10603485;SD;Negeri;04 Mar 2026 05:39:12;129;795;26;34;6;11;0;1
34;SD NEGERI 073 PALEMBANG;10603965;SD;Negeri;13 Mar 2026 16:05:59;56;193;7;9;2;7;0;0
35;SD NEGERI 074 PALEMBANG;10609435;SD;Negeri;13 Mar 2026 08:32:49;69;936;30;39;4;16;0;1
36;SD NEGERI 075 PALEMBANG;10603483;SD;Negeri;13 Mar 2026 16:18:16;79;507;17;21;3;7;0;1
37;SD NEGERI 076 PALEMBANG;10603481;SD;Negeri;24 Feb 2026 07:47:51;18;383;13;17;2;11;0;1
38;SD NEGERI 077 PALEMBANG;10603480;SD;Negeri;13 Mar 2026 07:38:26;17;235;8;11;1;6;0;1
