Data Peserta Didik Kec. Seberang Ulu I - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK AISYIYAH 03 PALEMBANG;10644342;TK;Swasta;23 Jan 2026 14:34:03;1;52;3;4;1;5;0;0
2;TK AL-IKHLAS;10644340;TK;Swasta;04 Mar 2026 10:30:19;10;81;5;5;2;6;0;1
3;TK AZKARA ZAHRA;69958534;TK;Swasta;03 Mar 2026 13:21:03;8;22;2;2;1;2;0;1
4;TK FATHIAH;70030311;TK;Swasta;27 Feb 2026 00:15:13;23;59;4;6;1;4;0;0
5;TK HANDAYANI II;69950484;TK;Swasta;04 Mar 2026 08:14:56;8;36;2;2;2;4;0;0
6;TK HIJRIYAH II;10644396;TK;Swasta;03 Feb 2026 21:24:37;4;74;3;3;3;3;0;1
7;TK METHODIST 3;10647172;TK;Swasta;04 Mar 2026 09:14:26;9;6;1;1;1;2;0;0
8;TK. AR-RACHMA;69858021;TK;Swasta;21 Jan 2026 10:22:54;7;70;5;5;1;6;0;0
9;KB AL- HADI;69773069;KB;Swasta;25 Jan 2026 21:40:38;7;56;3;2;1;2;0;0
10;KB AL-KAUTSAR;70008733;KB;Swasta;05 Mar 2026 10:16:40;14;45;2;1;1;2;0;0
11;KB BAROKAH;69773063;KB;Swasta;28 Jan 2026 15:06:04;13;83;3;3;3;3;0;0
12;KB FATHIAH;69773072;KB;Swasta;16 Jan 2026 11:35:01;13;20;3;3;2;4;0;0
13;KB HANDAYANI;69773062;KB;Swasta;03 Feb 2026 19:31:08;8;45;3;3;0;3;0;0
14;KB HARAPAN BARU;69773071;KB;Swasta;03 Feb 2026 14:32:52;13;32;2;2;1;2;0;0
15;KB MU AZZHAM;69876036;KB;Swasta;-;0;0;0;1;1;0;0;0
16;KB MUSHAB BIN UMAIR;69858050;KB;Swasta;06 Mar 2026 13:29:48;17;28;2;3;2;1;0;1
17;KB NURUL FURQON;69773064;KB;Swasta;30 Jan 2026 18:30:17;16;67;3;3;2;6;0;0
18;KB PULAU;69773073;KB;Swasta;11 Feb 2026 08:05:02;5;38;2;1;3;2;0;0
19;KB RISTEK;69773068;KB;Swasta;20 Jan 2026 12:26:57;5;125;10;6;2;4;0;0
20;KB SMART CHILDREN;69909071;KB;Swasta;29 Jan 2026 16:30:59;14;40;4;1;1;4;0;0
21;KB TERAS;69773070;KB;Swasta;-;8;27;2;2;2;3;0;2
22;KB TIFFANY AZZAHRAH;69972696;KB;Swasta;28 Jan 2026 14:35:50;10;39;2;0;1;2;0;0
23;KB. CAHAYA ANANDA;69858049;KB;Swasta;27 Jan 2026 08:37:27;7;64;2;1;2;4;0;1
24;SD NEGERI 066 PALEMBANG;10603503;SD;Negeri;06 Mar 2026 10:49:48;23;191;10;14;2;11;1;1
25;SD NEGERI 067 PALEMBANG;10603488;SD;Negeri;03 Mar 2026 09:16:21;34;324;14;17;5;10;0;1
26;SD NEGERI 068 PALEMBANG;10603546;SD;Negeri;11 Mar 2026 11:55:52;87;400;18;26;5;11;0;0
27;SD NEGERI 069 PALEMBANG;10603954;SD;Negeri;13 Mar 2026 11:11:14;44;294;13;16;4;6;0;1
28;SD NEGERI 070 PALEMBANG;10603487;SD;Negeri;06 Mar 2026 11:05:22;36;379;13;16;3;6;0;1
29;SD NEGERI 071 PALEMBANG;10603558;SD;Negeri;02 Mar 2026 10:08:18;50;267;10;13;3;6;0;1
30;SD NEGERI 072 PALEMBANG;10603485;SD;Negeri;04 Mar 2026 05:39:12;113;740;25;33;6;15;1;1
31;SD NEGERI 073 PALEMBANG;10603965;SD;Negeri;13 Mar 2026 16:05:59;1;188;8;9;1;6;0;0
32;SD NEGERI 074 PALEMBANG;10609435;SD;Negeri;13 Mar 2026 08:32:49;38;818;27;35;4;16;0;1
33;SD NEGERI 075 PALEMBANG;10603483;SD;Negeri;13 Mar 2026 16:18:16;57;608;20;24;5;7;0;1
34;SD NEGERI 076 PALEMBANG;10603481;SD;Negeri;24 Feb 2026 07:47:51;41;315;13;17;0;11;0;1
35;SD NEGERI 077 PALEMBANG;10603480;SD;Negeri;13 Mar 2026 07:38:26;44;265;10;10;1;6;0;1
36;SD NEGERI 078 PALEMBANG;10603479;SD;Negeri;21 Feb 2026 22:58:58;128;731;28;37;2;17;1;1
37;SD IT MUSHAB BIN UMAIR;69892397;SD;Swasta;09 Mar 2026 09:17:48;36;98;7;11;4;7;0;1
38;SD MUHAMMADIYAH 02 PALEMBANG;10603912;SD;Swasta;11 Mar 2026 09:40:25;53;407;16;21;5;15;1;1
39;SMP NEGERI 44 PALEMBANG;10603732;SMP;Negeri;06 Mar 2026 22:34:44;64;759;21;41;8;20;1;1
40;SMP NEGERI 48 PALEMBANG;10603783;SMP;Negeri;07 Mar 2026 14:40:28;116;879;27;44;8;27;2;1
41;SMP NEGERI 61 PALEMBANG;70010574;SMP;Negeri;03 Mar 2026 20:12:12;132;463;14;21;1;15;0;0
42;SMP GAJAH MADA 03 PALEMBANG;10609512;SMP;Swasta;25 Feb 2026 12:11:38;48;53;3;4;2;6;2;1
43;SMP ISLAMY PALEMBANG;10609520;SMP;Swasta;04 Mar 2026 23:10:03;7;24;3;2;2;3;2;1
44;SMP MUHAMMADIYAH 05 PALEMBANG;10609544;SMP;Swasta;10 Feb 2026 11:06:49;39;105;4;5;6;8;2;1
45;SMPIT AULADI JAKABARING;70042330;SMP;Swasta;13 Mar 2026 11:03:23;15;56;3;2;2;3;1;1
46;SMA NEGERI 19 PALEMBANG;10603856;SMA;Negeri;05 Mar 2026 15:54:11;87;1,365;38;86;24;36;4;1
47;SMA NEGERI OLAHRAGA SRIWIJAYA PALEMBANG;10609921;SMA;Negeri;04 Mar 2026 08:39:30;77;250;9;19;5;9;2;1
48;SMAN SUMATERA SELATAN;10648016;SMA;Negeri;05 Mar 2026 08:31:47;55;333;11;34;64;18;6;2
49;SMA ALAM PALEMBANG;69943823;SMA;Swasta;12 Mar 2026 12:05:24;21;17;3;11;3;3;7;1
50;SMA BSI PALEMBANG;10610049;SMA;Swasta;06 Mar 2026 13:18:19;98;114;5;10;3;7;3;1
