Data Peserta Didik Kec. Seberang Ulu II - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK NEGERI PEMBINA 04 PALEMBANG;70001382;TK;Negeri;10 Mar 2026 09:22:10;29;62;3;3;2;4;0;1
2;TK AISYIYAH 11;10644503;TK;Swasta;02 Mar 2026 21:40:20;11;69;5;5;1;3;0;0
3;TK ANAK SOLEHA;70030458;TK;Swasta;15 Jan 2026 12:36:26;8;22;2;2;1;2;0;0
4;TK AZHAR;69773010;TK;Swasta;-;0;0;0;0;0;0;0;0
5;TK AZHARYAH;10644507;TK;Swasta;21 Feb 2026 21:16:28;13;20;2;1;1;2;0;0
6;TK BINA VITA;10644505;TK;Swasta;09 Feb 2026 16:59:11;15;54;4;4;2;4;0;0
7;TK CHIQA SMART;69958868;TK;Swasta;12 Mar 2026 06:38:50;20;58;2;2;1;3;0;0
8;TK GOLDEN KIDS SENTOSA;69970450;TK;Swasta;03 Mar 2026 22:19:21;12;96;6;6;2;4;0;0
9;TK HASANAH;70046616;TK;Swasta;-;0;0;0;0;0;0;0;0
10;TK ISLAM NURJANNAH;10647189;TK;Swasta;04 Mar 2026 23:07:34;12;19;1;1;2;2;0;0
11;TK IT ABI UMMI;70038288;TK;Swasta;-;0;0;0;0;0;0;0;0
12;TK IT AL-HIKMAH;69876018;TK;Swasta;16 Jan 2026 16:03:01;6;41;4;4;1;4;0;0
13;TK IT AULADI SU II;69876024;TK;Swasta;04 Mar 2026 13:25:24;18;70;5;10;2;5;0;1
14;TK IT FATHIYAH;70030224;TK;Swasta;02 Mar 2026 22:59:47;22;52;3;3;2;3;0;0
15;TK KARTIKA VIII - 12 PALEMBANG;10644504;TK;Swasta;03 Mar 2026 11:10:52;16;23;2;2;1;4;0;0
16;TK NUR - IMAN;69773099;TK;Swasta;02 Mar 2026 21:46:34;5;40;2;1;1;3;0;0
17;TK PARAS JAYA;10644509;TK;Swasta;02 Mar 2026 21:53:05;7;15;1;1;1;2;0;0
18;TK SAKURA KIDS PALEMBANG;10648037;TK;Swasta;18 Jan 2026 22:51:02;10;20;2;1;1;2;0;1
19;TK SYAKIRA;69958528;TK;Swasta;21 Jan 2026 11:47:36;15;33;2;1;2;3;0;0
20;TK TUNAS JAYA;10647180;TK;Swasta;20 Feb 2026 09:50:43;10;18;2;4;2;2;0;0
21;TK WIDYA PARAMITA;10647182;TK;Swasta;-;0;0;0;0;0;0;0;0
22;TK XAVERIUS 7;10644502;TK;Swasta;04 Mar 2026 08:56:39;7;7;2;1;1;2;0;1
23;TK YASPA;10644510;TK;Swasta;29 Jan 2026 12:24:14;1;64;4;4;1;5;0;0
24;KB AL HUDA;69972693;KB;Swasta;29 Jan 2026 20:33:55;8;32;2;1;3;2;0;0
25;KB ALIFAH;69905571;KB;Swasta;22 Jan 2026 14:37:15;8;35;2;1;1;2;0;0
26;KB ANAK SOLEHA;69964551;KB;Swasta;-;0;0;0;0;0;0;0;0
27;KB ANGGREK SENTOSA;69773095;KB;Swasta;21 Jan 2026 13:29:08;5;36;2;2;2;1;0;0
28;KB AZZAHROH MUSLIMAT NU 12;69947296;KB;Swasta;-;7;41;2;2;2;1;0;0
29;KB CHIQA SMART;69876009;KB;Swasta;21 Jan 2026 21:54:33;4;32;1;1;2;4;0;0
30;KB FADILLAH;69876062;KB;Swasta;29 Jan 2026 21:16:11;12;60;3;3;2;3;0;0
31;KB HARAPAN BANGSA;69773094;KB;Swasta;-;0;0;0;1;1;0;0;0
32;KB ISLAM TERPADU FATHIYYAH;69932340;KB;Swasta;02 Mar 2026 23:14:28;17;24;1;1;2;1;0;0
33;KB JASMINE UMMI;69947291;KB;Swasta;21 Jan 2026 07:51:16;7;38;3;4;1;4;0;0
34;KB SALSABILA;69773104;KB;Swasta;23 Jan 2026 22:32:09;13;66;2;1;2;2;0;0
35;KB SINAR HARAPAN;69773103;KB;Swasta;21 Jan 2026 13:21:33;6;47;2;2;3;2;0;1
