Data Guru Kec. Sematang Borang - Dapodikdasmen;;;;;;;;;;;;;
No;Nama Sekolah;NPSN;BP;Status;Last Sync;Jml Sync;PD;Rombel;Guru;Pegawai;R. Kelas;R. Lab;R. Perpus
1;TK NEGERI PEMBINA 07 PALEMBANG;70001379;TK;Negeri;03 Mar 2026 13:18:50;23;140;7;8;4;5;0;0
2;TK AL AHSAN INSANI PALEMBANG;69989641;TK;Swasta;-;0;0;0;2;1;0;0;0
3;TK AL-HIDAYAH PALEMBANG;69892914;TK;Swasta;03 Mar 2026 15:01:00;14;53;3;4;1;4;0;0
4;TK AN - NUR PALEMBANG;10647986;TK;Swasta;16 Jan 2026 13:09:22;8;53;4;3;1;4;0;0
5;TK BINTANG KEMBAR PALEMBANG;70003272;TK;Swasta;05 Mar 2026 09:29:22;22;34;2;2;3;2;0;0
6;TK FATHURRAHMAN PALEMBANG;69960491;TK;Swasta;04 Mar 2026 20:09:26;11;55;3;4;1;4;0;0
7;TK FATIMAH 2 PALEMBANG;10644317;TK;Swasta;24 Feb 2026 22:13:00;7;18;1;2;2;1;0;0
8;TK KASIH IBU PALEMBANG;69964235;TK;Swasta;26 Feb 2026 10:49:03;4;22;1;1;1;1;0;0
9;TK MAMA SHAFIRDHA PALEMBANG;69858030;TK;Swasta;20 Jan 2026 08:04:33;6;40;3;2;1;4;0;0
10;TK MUTIARA HATI;70030907;TK;Swasta;06 Mar 2026 21:36:08;16;36;3;3;2;3;0;0
11;TK NURHIDAYAH PALEMBANG;69964230;TK;Swasta;21 Jan 2026 20:09:38;5;76;3;5;2;4;0;1
12;TK PARADUTA KIDS ACADEMY;70030904;TK;Swasta;03 Feb 2026 22:39:29;7;2;2;3;2;3;0;0
13;TK PUSPASARI PALEMBANG;10644336;TK;Swasta;21 Jan 2026 20:20:48;9;26;2;1;2;2;0;1
14;TK TUNAS ILMU;70038951;TK;Swasta;-;0;0;0;0;0;0;0;0
15;TK TUNAS RIMBA PALEMBANG;10644318;TK;Swasta;19 Jan 2026 14:31:55;5;19;2;1;1;2;0;0
16;TK XAVERIUS 9 PALEMBANG;10644309;TK;Swasta;05 Mar 2026 07:32:22;19;79;4;4;3;4;0;0
17;KB AL-HIDAYAH;69858070;KB;Swasta;-;3;19;1;0;1;1;0;0
18;KB AMALIA MUKMIN;70009415;KB;Swasta;23 Feb 2026 13:13:54;11;11;2;2;1;2;0;0
19;KB FATHURRAHMAN SHIDIQ;69858072;KB;Swasta;-;9;29;1;3;0;1;0;1
20;KB MEKAR SARI;69981343;KB;Swasta;23 Jan 2026 13:30:21;13;40;3;2;3;3;0;0
21;KB MENTARI;69960169;KB;Swasta;03 Mar 2026 22:35:54;5;52;2;1;1;2;0;0
22;KB MUTIARA HATI;69876057;KB;Swasta;16 Jan 2026 22:59:11;7;28;2;2;1;3;0;0
23;KB NURUL ZAHRA;69858073;KB;Swasta;04 Feb 2026 12:20:09;7;38;3;3;2;3;0;0
24;KB PELITA HATI;69960170;KB;Swasta;04 Mar 2026 14:31:41;13;56;3;3;2;4;0;0
25;SPS ADAWIYAH;69876038;SPS;Swasta;-;2;48;2;1;1;2;0;1
26;SPS AL-FALAH;69773278;SPS;Swasta;26 Jan 2026 14:47:21;4;22;1;1;1;3;0;0
27;SPS IT AL-AMIN;70041638;SPS;Swasta;23 Jan 2026 15:46:57;13;29;2;1;2;2;0;0
28;SPS MUTIARA IBU;69773279;SPS;Swasta;02 Feb 2026 18:08:04;6;35;2;2;1;1;0;0
29;SPS NADIA NAFISYA;70041634;SPS;Swasta;-;12;14;1;1;4;2;0;0
30;SPS NURUL TAQWA;69773280;SPS;Swasta;06 Mar 2026 05:44:06;5;84;5;4;1;6;0;0
31;SD NEGERI 245 PALEMBANG;10603510;SD;Negeri;12 Mar 2026 13:03:48;42;735;23;30;3;12;0;1
32;SD NEGERI 246 PALEMBANG;10603509;SD;Negeri;07 Mar 2026 19:12:38;55;731;23;30;4;14;1;1
33;SD NEGERI 247 PALEMBANG;10609399;SD;Negeri;07 Mar 2026 07:46:38;41;766;26;30;5;13;0;1
34;SD NEGERI 248 PALEMBANG;10603506;SD;Negeri;13 Mar 2026 08:39:46;29;848;27;34;5;10;0;1
35;SD ISLAM TERPADU AULADI SEMATANG BORANG;70043107;SD;Swasta;06 Mar 2026 21:50:53;0;0;0;0;0;0;0;0
36;SD KHOIRU UMMAH PALEMBANG;10648164;SD;Swasta;03 Mar 2026 07:35:34;14;87;6;8;1;6;0;1
37;SD QAD AFLAHA ISLAMIC SCHOOL;70050880;SD;Swasta;-;0;0;0;0;0;0;0;0
38;SD XAVERIUS 09 PALEMBANG;10609469;SD;Swasta;11 Mar 2026 13:52:14;55;545;18;24;9;18;1;1
39;SMP NEGERI 23 PALEMBANG;10603691;SMP;Negeri;03 Mar 2026 10:59:19;94;784;23;42;8;22;1;1
40;SMP NEGERI 60 PALEMBANG;69978352;SMP;Negeri;07 Mar 2026 16:39:53;51;685;21;30;6;11;1;1
41;SMP XAVERIUS 7;10609605;SMP;Swasta;07 Mar 2026 20:01:37;85;322;12;17;7;12;2;1
42;SMPIT AULADI SEMATANG BORANG;70042415;SMP;Swasta;06 Mar 2026 13:53:32;19;39;3;5;3;3;1;0
43;SMK XAVERIUS PALEMBANG;10603677;SMK;Swasta;06 Mar 2026 15:40:44;24;354;13;26;9;18;3;1
44;PKBM ADAWIYAH;P2966323;PKBM;Swasta;03 Mar 2026 12:41:15;3;179;8;4;1;8;2;1
45;PKBM LUKMANUL HAKIM;P9996688;PKBM;Swasta;12 Mar 2026 11:32:13;25;128;9;4;1;3;0;0
46;PKBM MUTIARA LYVIAS SCHOOL;P9998325;PKBM;Swasta;-;10;13;2;3;2;1;0;0
47;PKBM TUNAS ILMU;P9998821;PKBM;Swasta;-;0;0;0;0;0;0;0;0
Total;Total;Total;Total;Total;Total;813;7,374;284;358;112;229;12;15
