"No";"Kecamatan";"Penduduk";"Guru";"Siswa";"Rombel";"Rasio (S/G)"
"1";"Alang-Alang Lebar";"110.085";"372";"7963";"278";"21.41"
"2";"Bukit Kecil";"38.704";"267";"4989";"193";"18.69"
"3";"Gandus";"78.722";"284";"6133";"225";"21.60"
"4";"Ilir Barat I";"144.355";"700";"13803";"531";"19.72"
"5";"Ilir Barat II";"68.026";"159";"4129";"149";"25.97"
"6";"Ilir Timur I";"66.372";"334";"6056";"247";"18.13"
"7";"Ilir Timur II";"85.724";"354";"6882";"269";"19.44"
"8";"Ilir Timur III";"73.236";"331";"5704";"223";"17.23"
"9";"Jakabaring";"92.246";"408";"7777";"319";"19.06"
"10";"Kalidoni";"128.463";"614";"13598";"510";"22.15"
"11";"Kemuning";"80.934";"624";"11634";"421";"18.64"
"12";"Kertapati";"94.157";"449";"9248";"366";"20.60"
"13";"Plaju";"96.561";"488";"9955";"389";"20.40"
"14";"Sako";"118.213";"417";"9808";"319";"23.52"
"15";"Seberang Ulu I";"93.013";"299";"6193";"230";"20.71"
"16";"Seberang Ulu II";"101.445";"289";"5523";"217";"19.11"
"17";"Sematang Borang";"62.538";"129";"3434";"110";"26.62"
"18";"Sukarami";"196.752";"656";"18770";"580";"28.61"
