Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel
Alang-Alang Lebar,SD BINA POTENSI PALEMBANG,2019-2020,98537,Swasta,44,9,6
Alang-Alang Lebar,SD IGNATIUS GLOBAL SCHOOL CITRAGRAND CITY,2019-2020,98537,Swasta,105,9,6
Alang-Alang Lebar,SD ISLAM FATIMAH PALEMBANG,2019-2020,98537,Swasta,539,31,20
Alang-Alang Lebar,SD ISLAM KHALIFAH ANNIZAM PALEMBANG,2019-2020,98537,Swasta,362,14,20
Alang-Alang Lebar,SD IT FATHONA PALEMBANG,2019-2020,98537,Swasta,268,18,10
Alang-Alang Lebar,SD KARYA DHARMA BHAKTI 2 PALEMBANG,2019-2020,98537,Swasta,299,10,13
Alang-Alang Lebar,SD NEGERI 237 PALEMBANG,2019-2020,98537,Negeri,102,7,6
Alang-Alang Lebar,SD NEGERI 238 PALEMBANG,2019-2020,98537,Negeri,588,24,19
Alang-Alang Lebar,SD NEGERI 239 PALEMBANG,2019-2020,98537,Negeri,226,17,10
Alang-Alang Lebar,SD NEGERI 240 PALEMBANG,2019-2020,98537,Negeri,538,25,19
Alang-Alang Lebar,SD NEGERI 241 PALEMBANG,2019-2020,98537,Negeri,908,33,26
Alang-Alang Lebar,SD NEGERI 242 PALEMBANG,2019-2020,98537,Negeri,665,18,19
Alang-Alang Lebar,SD NEGERI 243 PALEMBANG,2019-2020,98537,Negeri,1371,34,37
Alang-Alang Lebar,SD NEGERI 244 PALEMBANG,2019-2020,98537,Negeri,1056,34,27
Alang-Alang Lebar,SD PALM KIDS PALEMBANG,2019-2020,98537,Swasta,294,17,14
Alang-Alang Lebar,SD PLUS INDO GLOBAL MANDIRI PALEMBANG,2019-2020,98537,Swasta,481,37,23
Alang-Alang Lebar,SD SAINS ALUMNIKA PALEMBANG,2019-2020,98537,Swasta,48,2,2
Alang-Alang Lebar,SD BINA POTENSI PALEMBANG,2020-2021,105201,Swasta,55,11,6
Alang-Alang Lebar,SD IGNATIUS GLOBAL SCHOOL CITRAGRAND CITY,2020-2021,105201,Swasta,126,8,6
Alang-Alang Lebar,SD ISLAM FATIMAH PALEMBANG,2020-2021,105201,Swasta,550,33,20
Alang-Alang Lebar,SD ISLAM KHALIFAH ANNIZAM PALEMBANG,2020-2021,105201,Swasta,393,21,18
Alang-Alang Lebar,SD IT FATHONA PALEMBANG,2020-2021,105201,Swasta,285,12,11
Alang-Alang Lebar,SD KARYA DHARMA BHAKTI 2 PALEMBANG,2020-2021,105201,Swasta,320,13,13
Alang-Alang Lebar,SD NEGERI 237 PALEMBANG,2020-2021,105201,Negeri,93,7,6
Alang-Alang Lebar,SD NEGERI 238 PALEMBANG,2020-2021,105201,Negeri,587,21,19
Alang-Alang Lebar,SD NEGERI 239 PALEMBANG,2020-2021,105201,Negeri,233,14,10
Alang-Alang Lebar,SD NEGERI 240 PALEMBANG,2020-2021,105201,Negeri,510,23,18
Alang-Alang Lebar,SD NEGERI 241 PALEMBANG,2020-2021,105201,Negeri,890,33,27
Alang-Alang Lebar,SD NEGERI 242 PALEMBANG,2020-2021,105201,Negeri,668,17,19
Alang-Alang Lebar,SD NEGERI 243 PALEMBANG,2020-2021,105201,Negeri,1293,34,37
Alang-Alang Lebar,SD NEGERI 244 PALEMBANG,2020-2021,105201,Negeri,1071,33,28
Alang-Alang Lebar,SD NEGERI 249 PALEMBANG,2020-2021,105201,Negeri,23,1,1
Alang-Alang Lebar,SD PALM KIDS PALEMBANG,2020-2021,105201,Swasta,269,14,14
