Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
alang-alang lebar,SD BINA POTENSI PALEMBANG,2019-2020,99,Swasta,44,9,6,17
alang-alang lebar,SD IGNATIUS GLOBAL SCHOOL CITRAGRAND CITY,2019-2020,99,Swasta,105,9,6,17
alang-alang lebar,SD ISLAM FATIMAH PALEMBANG,2019-2020,99,Swasta,539,31,20,17
alang-alang lebar,SD ISLAM KHALIFAH ANNIZAM PALEMBANG,2019-2020,99,Swasta,362,14,20,17
alang-alang lebar,SD IT FATHONA PALEMBANG,2019-2020,99,Swasta,268,18,10,17
alang-alang lebar,SD KARYA DHARMA BHAKTI 2 PALEMBANG,2019-2020,99,Swasta,299,10,13,17
alang-alang lebar,SD NEGERI 237 PALEMBANG,2019-2020,99,Negeri,102,7,6,17
alang-alang lebar,SD NEGERI 238 PALEMBANG,2019-2020,99,Negeri,588,24,19,17
alang-alang lebar,SD NEGERI 239 PALEMBANG,2019-2020,99,Negeri,226,17,10,17
alang-alang lebar,SD NEGERI 240 PALEMBANG,2019-2020,99,Negeri,538,25,19,17
alang-alang lebar,SD NEGERI 241 PALEMBANG,2019-2020,99,Negeri,908,33,26,17
alang-alang lebar,SD NEGERI 242 PALEMBANG,2019-2020,99,Negeri,665,18,19,17
alang-alang lebar,SD NEGERI 243 PALEMBANG,2019-2020,99,Negeri,1371,34,37,17
alang-alang lebar,SD NEGERI 244 PALEMBANG,2019-2020,99,Negeri,1056,34,27,17
alang-alang lebar,SD PALM KIDS PALEMBANG,2019-2020,99,Swasta,294,17,14,17
alang-alang lebar,SD PLUS INDO GLOBAL MANDIRI PALEMBANG,2019-2020,99,Swasta,481,37,23,17
alang-alang lebar,SD SAINS ALUMNIKA PALEMBANG,2019-2020,99,Swasta,48,2,2,17
alang-alang lebar,SD BINA POTENSI PALEMBANG,2020-2021,105,Swasta,55,11,6,18
alang-alang lebar,SD IGNATIUS GLOBAL SCHOOL CITRAGRAND CITY,2020-2021,105,Swasta,126,8,6,18
alang-alang lebar,SD ISLAM FATIMAH PALEMBANG,2020-2021,105,Swasta,550,33,20,18
alang-alang lebar,SD ISLAM KHALIFAH ANNIZAM PALEMBANG,2020-2021,105,Swasta,393,21,18,18
alang-alang lebar,SD IT FATHONA PALEMBANG,2020-2021,105,Swasta,285,12,11,18
alang-alang lebar,SD KARYA DHARMA BHAKTI 2 PALEMBANG,2020-2021,105,Swasta,320,13,13,18
alang-alang lebar,SD NEGERI 237 PALEMBANG,2020-2021,105,Negeri,93,7,6,18
alang-alang lebar,SD NEGERI 238 PALEMBANG,2020-2021,105,Negeri,587,21,19,18
alang-alang lebar,SD NEGERI 239 PALEMBANG,2020-2021,105,Negeri,233,14,10,18
alang-alang lebar,SD NEGERI 240 PALEMBANG,2020-2021,105,Negeri,510,23,18,18
alang-alang lebar,SD NEGERI 241 PALEMBANG,2020-2021,105,Negeri,890,33,27,18
alang-alang lebar,SD NEGERI 242 PALEMBANG,2020-2021,105,Negeri,668,17,19,18
alang-alang lebar,SD NEGERI 243 PALEMBANG,2020-2021,105,Negeri,1293,34,37,18
