Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
bukit kecil,SD ISLAM MAHAD DARUSSALAM,2019-2020,50,Swasta,165,11,11,12
bukit kecil,SD IT HARAPAN MULIA PALEMBANG,2019-2020,50,Swasta,715,43,26,12
bukit kecil,SD KARTIKA II 3 PALEMBANG,2019-2020,50,Swasta,384,19,17,12
bukit kecil,SD MUHAMMADIYAH 01 PALEMBANG,2019-2020,50,Swasta,629,22,20,12
bukit kecil,SD NEGERI 136 PALEMBANG,2019-2020,50,Negeri,750,36,26,12
bukit kecil,SD NEGERI 137 PALEMBANG,2019-2020,50,Negeri,253,18,12,12
bukit kecil,SD NEGERI 138 PALEMBANG,2019-2020,50,Negeri,583,28,22,12
bukit kecil,SD NEGERI 139 PALEMBANG,2019-2020,50,Negeri,436,22,17,12
bukit kecil,SD NEGERI 140 PALEMBANG,2019-2020,50,Negeri,301,18,14,12
bukit kecil,SD NEGERI 141 PALEMBANG,2019-2020,50,Negeri,656,30,24,12
bukit kecil,SD SENTOSA PALEMBANG,2019-2020,50,Swasta,73,7,6,12
bukit kecil,SD XAVERIUS 04 PALEMBANG,2019-2020,50,Swasta,496,23,18,12
bukit kecil,SD ISLAM MAHAD DARUSSALAM,2020-2021,39,Swasta,200,12,12,12
bukit kecil,SD IT HARAPAN MULIA PALEMBANG,2020-2021,39,Swasta,704,42,26,12
bukit kecil,SD KARTIKA II 3 PALEMBANG,2020-2021,39,Swasta,353,19,14,12
bukit kecil,SD MUHAMMADIYAH 01 PALEMBANG,2020-2021,39,Swasta,642,26,21,12
bukit kecil,SD NEGERI 136 PALEMBANG,2020-2021,39,Negeri,722,31,24,12
bukit kecil,SD NEGERI 137 PALEMBANG,2020-2021,39,Negeri,215,17,10,12
bukit kecil,SD NEGERI 138 PALEMBANG,2020-2021,39,Negeri,564,26,21,12
bukit kecil,SD NEGERI 139 PALEMBANG,2020-2021,39,Negeri,429,22,14,12
bukit kecil,SD NEGERI 140 PALEMBANG,2020-2021,39,Negeri,257,18,12,12
bukit kecil,SD NEGERI 141 PALEMBANG,2020-2021,39,Negeri,653,27,21,12
bukit kecil,SD SENTOSA PALEMBANG,2020-2021,39,Swasta,9,6,6,12
bukit kecil,SD XAVERIUS 04 PALEMBANG,2020-2021,39,Swasta,472,25,18,12
bukit kecil,SD ISLAM MAHAD DARUSSALAM,2021-2022,39,Swasta,165,9,8,12
bukit kecil,SD IT HARAPAN MULIA PALEMBANG,2021-2022,39,Swasta,681,44,26,12
bukit kecil,SD IT ROYAL ISLAMIC SCHOOL,2021-2022,39,Swasta,63,5,3,12
bukit kecil,SD KARTIKA II 3 PALEMBANG,2021-2022,39,Swasta,322,19,15,12
bukit kecil,SD MUHAMMADIYAH 01 PALEMBANG,2021-2022,39,Swasta,640,23,21,12
bukit kecil,SD NEGERI 136 PALEMBANG,2021-2022,39,Negeri,685,34,24,12
bukit kecil,SD NEGERI 137 PALEMBANG,2021-2022,39,Negeri,178,19,9,12
bukit kecil,SD NEGERI 138 PALEMBANG,2021-2022,39,Negeri,545,27,21,12
bukit kecil,SD NEGERI 139 PALEMBANG,2021-2022,39,Negeri,404,21,16,12
bukit kecil,SD NEGERI 140 PALEMBANG,2021-2022,39,Negeri,247,15,12,12
bukit kecil,SD NEGERI 141 PALEMBANG,2021-2022,39,Negeri,656,30,23,12
bukit kecil,SD XAVERIUS 04 PALEMBANG,2021-2022,39,Swasta,457,22,18,12
bukit kecil,SD ISLAM MAHAD DARUSSALAM,2022-2023,39,Swasta,149,9,7,12
bukit kecil,SD IT HARAPAN MULIA PALEMBANG,2022-2023,39,Swasta,688,42,25,12
bukit kecil,SD IT ROYAL ISLAMIC SCHOOL,2022-2023,39,Swasta,102,12,7,12
bukit kecil,SD KARTIKA II 3 PALEMBANG,2022-2023,39,Swasta,305,16,12,12
bukit kecil,SD MUHAMMADIYAH 01 PALEMBANG,2022-2023,39,Swasta,654,25,21,12
bukit kecil,SD NEGERI 136 PALEMBANG,2022-2023,39,Negeri,667,34,24,12
bukit kecil,SD NEGERI 137 PALEMBANG,2022-2023,39,Negeri,157,17,8,12
bukit kecil,SD NEGERI 138 PALEMBANG,2022-2023,39,Negeri,544,28,21,12
bukit kecil,SD NEGERI 139 PALEMBANG,2022-2023,39,Negeri,399,19,16,12
bukit kecil,SD NEGERI 140 PALEMBANG,2022-2023,39,Negeri,246,14,12,12
bukit kecil,SD NEGERI 141 PALEMBANG,2022-2023,39,Negeri,642,29,22,12
bukit kecil,SD XAVERIUS 04 PALEMBANG,2022-2023,39,Swasta,436,22,18,12
bukit kecil,SD ISLAM MAHAD DARUSSALAM,2023-2024,38,Swasta,129,8,8,12
bukit kecil,SD IT HARAPAN MULIA PALEMBANG,2023-2024,38,Swasta,723,47,25,12
bukit kecil,SD IT ROYAL ISLAMIC SCHOOL,2023-2024,38,Swasta,150,12,7,12
bukit kecil,SD KARTIKA II 3 PALEMBANG,2023-2024,38,Swasta,290,14,12,12
bukit kecil,SD MUHAMMADIYAH 01 PALEMBANG,2023-2024,38,Swasta,675,27,22,12
bukit kecil,SD NEGERI 136 PALEMBANG,2023-2024,38,Negeri,660,32,24,12
bukit kecil,SD NEGERI 137 PALEMBANG,2023-2024,38,Negeri,132,13,7,12
bukit kecil,SD NEGERI 138 PALEMBANG,2023-2024,38,Negeri,503,29,20,12
bukit kecil,SD NEGERI 139 PALEMBANG,2023-2024,38,Negeri,417,21,17,12
bukit kecil,SD NEGERI 140 PALEMBANG,2023-2024,38,Negeri,242,14,12,12
bukit kecil,SD NEGERI 141 PALEMBANG,2023-2024,38,Negeri,648,27,22,12
