Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
gandus,SD MUHAMMADIYAH 12 PALEMBANG,2019-2020,66,Swasta,317,16,11,16
gandus,SD NEGERI 142 PALEMBANG,2019-2020,66,Negeri,314,15,12,16
gandus,SD NEGERI 143 PALEMBANG,2019-2020,66,Negeri,872,28,24,16
gandus,SD NEGERI 144 PALEMBANG,2019-2020,66,Negeri,813,28,24,16
gandus,SD NEGERI 145 PALEMBANG,2019-2020,66,Negeri,146,9,6,16
gandus,SD NEGERI 146 PALEMBANG,2019-2020,66,Negeri,405,21,15,16
gandus,SD NEGERI 147 PALEMBANG,2019-2020,66,Negeri,311,15,11,16
gandus,SD NEGERI 148 PALEMBANG,2019-2020,66,Negeri,416,18,15,16
gandus,SD NEGERI 149 PALEMBANG,2019-2020,66,Negeri,730,29,24,16
gandus,SD NEGERI 150 PALEMBANG,2019-2020,66,Negeri,478,21,15,16
gandus,SD NEGERI 151 PALEMBANG,2019-2020,66,Negeri,249,12,11,16
gandus,SD NEGERI 152 PALEMBANG,2019-2020,66,Negeri,73,8,6,16
gandus,SD NEGERI 153 PALEMBANG,2019-2020,66,Negeri,64,8,6,16
gandus,SD NEGERI 154 PALEMBANG,2019-2020,66,Negeri,103,9,6,16
gandus,SD NEGERI 155 PALEMBANG,2019-2020,66,Negeri,166,10,10,16
gandus,SD TUNAS TELADAN PALEMBANG,2019-2020,66,Swasta,567,22,19,16
gandus,SD ISLAM TERPADU AL HIDAYAH,2020-2021,74,Swasta,0,1,0,17
gandus,SD MUHAMMADIYAH 12 PALEMBANG,2020-2021,74,Swasta,304,14,10,17
gandus,SD NEGERI 142 PALEMBANG,2020-2021,74,Negeri,322,15,12,17
gandus,SD NEGERI 143 PALEMBANG,2020-2021,74,Negeri,813,28,24,17
gandus,SD NEGERI 144 PALEMBANG,2020-2021,74,Negeri,786,27,24,17
gandus,SD NEGERI 145 PALEMBANG,2020-2021,74,Negeri,147,9,6,17
gandus,SD NEGERI 146 PALEMBANG,2020-2021,74,Negeri,415,15,13,17
gandus,SD NEGERI 147 PALEMBANG,2020-2021,74,Negeri,339,15,11,17
gandus,SD NEGERI 148 PALEMBANG,2020-2021,74,Negeri,461,20,16,17
gandus,SD NEGERI 149 PALEMBANG,2020-2021,74,Negeri,718,28,24,17
gandus,SD NEGERI 150 PALEMBANG,2020-2021,74,Negeri,468,20,15,17
gandus,SD NEGERI 151 PALEMBANG,2020-2021,74,Negeri,267,11,9,17
gandus,SD NEGERI 152 PALEMBANG,2020-2021,74,Negeri,72,8,6,17
gandus,SD NEGERI 153 PALEMBANG,2020-2021,74,Negeri,71,8,6,17
gandus,SD NEGERI 154 PALEMBANG,2020-2021,74,Negeri,95,9,6,17
gandus,SD NEGERI 155 PALEMBANG,2020-2021,74,Negeri,190,10,10,17
gandus,SD TUNAS TELADAN PALEMBANG,2020-2021,74,Swasta,602,23,21,17
gandus,SD ISLAM TERPADU AL HIDAYAH,2021-2022,75,Swasta,38,4,2,17
gandus,SD MUHAMMADIYAH 12 PALEMBANG,2021-2022,75,Swasta,286,12,9,17
gandus,SD NEGERI 142 PALEMBANG,2021-2022,75,Negeri,291,16,12,17
gandus,SD NEGERI 143 PALEMBANG,2021-2022,75,Negeri,764,30,24,17
gandus,SD NEGERI 144 PALEMBANG,2021-2022,75,Negeri,754,29,24,17
gandus,SD NEGERI 145 PALEMBANG,2021-2022,75,Negeri,142,11,6,17
gandus,SD NEGERI 146 PALEMBANG,2021-2022,75,Negeri,371,19,13,17
gandus,SD NEGERI 147 PALEMBANG,2021-2022,75,Negeri,351,17,12,17
gandus,SD NEGERI 148 PALEMBANG,2021-2022,75,Negeri,492,22,17,17
gandus,SD NEGERI 149 PALEMBANG,2021-2022,75,Negeri,718,31,24,17
gandus,SD NEGERI 150 PALEMBANG,2021-2022,75,Negeri,463,20,15,17
gandus,SD NEGERI 151 PALEMBANG,2021-2022,75,Negeri,268,14,11,17
gandus,SD NEGERI 152 PALEMBANG,2021-2022,75,Negeri,67,10,6,17
gandus,SD NEGERI 153 PALEMBANG,2021-2022,75,Negeri,74,8,6,17
gandus,SD NEGERI 154 PALEMBANG,2021-2022,75,Negeri,90,10,6,17
gandus,SD NEGERI 155 PALEMBANG,2021-2022,75,Negeri,204,13,10,17
gandus,SD TUNAS TELADAN PALEMBANG,2021-2022,75,Swasta,587,23,20,17
gandus,SD ISLAM TERPADU AL HIDAYAH,2022-2023,79,Swasta,54,4,3,17
gandus,SD MUHAMMADIYAH 12 PALEMBANG,2022-2023,79,Swasta,296,13,10,17
gandus,SD NEGERI 142 PALEMBANG,2022-2023,79,Negeri,305,16,13,17
gandus,SD NEGERI 143 PALEMBANG,2022-2023,79,Negeri,755,28,24,17
gandus,SD NEGERI 144 PALEMBANG,2022-2023,79,Negeri,754,26,25,17
gandus,SD NEGERI 145 PALEMBANG,2022-2023,79,Negeri,142,11,6,17
gandus,SD NEGERI 146 PALEMBANG,2022-2023,79,Negeri,372,18,13,17
gandus,SD NEGERI 147 PALEMBANG,2022-2023,79,Negeri,350,18,12,17
gandus,SD NEGERI 148 PALEMBANG,2022-2023,79,Negeri,549,22,19,17
gandus,SD NEGERI 149 PALEMBANG,2022-2023,79,Negeri,721,26,24,17
gandus,SD NEGERI 150 PALEMBANG,2022-2023,79,Negeri,455,19,15,17
gandus,SD NEGERI 151 PALEMBANG,2022-2023,79,Negeri,259,12,11,17
gandus,SD NEGERI 152 PALEMBANG,2022-2023,79,Negeri,72,11,6,17
gandus,SD NEGERI 153 PALEMBANG,2022-2023,79,Negeri,78,8,6,17
gandus,SD NEGERI 154 PALEMBANG,2022-2023,79,Negeri,101,11,6,17
gandus,SD NEGERI 155 PALEMBANG,2022-2023,79,Negeri,230,14,10,17
gandus,SD TUNAS TELADAN PALEMBANG,2022-2023,79,Swasta,640,27,22,17
gandus,SD ISLAM SOPIAH,2023-2024,81,Swasta,49,3,2,18
gandus,SD ISLAM TERPADU AL HIDAYAH,2023-2024,81,Swasta,81,10,4,18
gandus,SD MUHAMMADIYAH 12 PALEMBANG,2023-2024,81,Swasta,284,14,11,18
gandus,SD NEGERI 142 PALEMBANG,2023-2024,81,Negeri,286,15,12,18
gandus,SD NEGERI 143 PALEMBANG,2023-2024,81,Negeri,729,29,24,18
gandus,SD NEGERI 144 PALEMBANG,2023-2024,81,Negeri,752,30,24,18
gandus,SD NEGERI 145 PALEMBANG,2023-2024,81,Negeri,146,9,7,18
gandus,SD NEGERI 146 PALEMBANG,2023-2024,81,Negeri,377,17,14,18
gandus,SD NEGERI 147 PALEMBANG,2023-2024,81,Negeri,359,16,12,18
gandus,SD NEGERI 148 PALEMBANG,2023-2024,81,Negeri,573,27,22,18
gandus,SD NEGERI 149 PALEMBANG,2023-2024,81,Negeri,721,27,24,18
gandus,SD NEGERI 150 PALEMBANG,2023-2024,81,Negeri,444,18,15,18
gandus,SD NEGERI 151 PALEMBANG,2023-2024,81,Negeri,242,12,10,18
gandus,SD NEGERI 152 PALEMBANG,2023-2024,81,Negeri,68,10,6,18
gandus,SD NEGERI 153 PALEMBANG,2023-2024,81,Negeri,72,8,6,18
gandus,SD NEGERI 154 PALEMBANG,2023-2024,81,Negeri,111,8,6,18
gandus,SD NEGERI 155 PALEMBANG,2023-2024,81,Negeri,250,14,11,18
gandus,SD TUNAS TELADAN PALEMBANG,2023-2024,81,Swasta,693,31,25,18
gandus,SD ISLAM SOPIAH,2024-2025,84,Swasta,94,6,4,18
gandus,SD ISLAM TERPADU AL HIDAYAH,2024-2025,84,Swasta,106,12,5,18
gandus,SD MUHAMMADIYAH 12 PALEMBANG,2024-2025,84,Swasta,269,14,11,18
gandus,SD NEGERI 142 PALEMBANG,2024-2025,84,Negeri,300,16,12,18
gandus,SD NEGERI 143 PALEMBANG,2024-2025,84,Negeri,720,32,24,18
gandus,SD NEGERI 144 PALEMBANG,2024-2025,84,Negeri,737,33,24,18
gandus,SD NEGERI 145 PALEMBANG,2024-2025,84,Negeri,151,9,7,18
gandus,SD NEGERI 146 PALEMBANG,2024-2025,84,Negeri,321,16,14,18
gandus,SD NEGERI 147 PALEMBANG,2024-2025,84,Negeri,346,16,12,18
gandus,SD NEGERI 148 PALEMBANG,2024-2025,84,Negeri,619,29,23,18
gandus,SD NEGERI 149 PALEMBANG,2024-2025,84,Negeri,738,28,24,18
gandus,SD NEGERI 150 PALEMBANG,2024-2025,84,Negeri,457,22,16,18
gandus,SD NEGERI 151 PALEMBANG,2024-2025,84,Negeri,249,13,11,18
gandus,SD NEGERI 152 PALEMBANG,2024-2025,84,Negeri,69,10,6,18
gandus,SD NEGERI 153 PALEMBANG,2024-2025,84,Negeri,69,10,6,18
gandus,SD NEGERI 154 PALEMBANG,2024-2025,84,Negeri,114,8,6,18
gandus,SD NEGERI 155 PALEMBANG,2024-2025,84,Negeri,276,15,13,18
gandus,SD TUNAS TELADAN PALEMBANG,2024-2025,84,Swasta,720,32,26,18
