Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
ilir barat I,SD ADVENT II PALEMBANG,2019-2020,142,Swasta,138,6,6,38
ilir barat I,SD ALAM INDONESIA,2019-2020,142,Swasta,106,10,6,38
ilir barat I,SD HARAPAN MANDIRI PALEMBANG,2019-2020,142,Swasta,120,7,6,38
ilir barat I,SD HIGHSCOPE INDONESIA,2019-2020,142,Swasta,0,1,0,38
ilir barat I,SD ISLAM AZ-ZAHRAH PALEMBANG,2019-2020,142,Swasta,788,44,31,38
ilir barat I,SD ISLAM TERPADU BINA ILMI PALEMBANG,2019-2020,142,Swasta,839,61,33,38
ilir barat I,SD IT AULADI PAKJO PALEMBANG,2019-2020,142,Swasta,222,15,12,38
ilir barat I,SD IT IZZUDDIN PALEMBANG,2019-2020,142,Swasta,600,35,24,38
ilir barat I,SD NEGERI 001 PALEMBANG,2019-2020,142,Negeri,656,31,24,38
ilir barat I,SD NEGERI 002 PALEMBANG,2019-2020,142,Negeri,685,37,24,38
ilir barat I,SD NEGERI 003 PALEMBANG,2019-2020,142,Negeri,120,8,6,38
ilir barat I,SD NEGERI 004 PALEMBANG,2019-2020,142,Negeri,530,18,18,38
ilir barat I,SD NEGERI 005 PALEMBANG,2019-2020,142,Negeri,281,16,12,38
ilir barat I,SD NEGERI 006 PALEMBANG,2019-2020,142,Negeri,445,17,16,38
ilir barat I,SD NEGERI 007 PALEMBANG,2019-2020,142,Negeri,194,9,7,38
ilir barat I,SD NEGERI 008 PALEMBANG,2019-2020,142,Negeri,159,7,6,38
ilir barat I,SD NEGERI 009 PALEMBANG,2019-2020,142,Negeri,275,15,12,38
ilir barat I,SD NEGERI 010 PALEMBANG,2019-2020,142,Negeri,116,9,6,38
ilir barat I,SD NEGERI 011 PALEMBANG,2019-2020,142,Negeri,485,22,17,38
ilir barat I,SD NEGERI 012 PALEMBANG,2019-2020,142,Negeri,461,20,16,38
ilir barat I,SD NEGERI 013 PALEMBANG,2019-2020,142,Negeri,623,24,19,38
ilir barat I,SD NEGERI 014 PALEMBANG,2019-2020,142,Negeri,343,12,12,38
ilir barat I,SD NEGERI 015 PALEMBANG,2019-2020,142,Negeri,315,14,11,38
ilir barat I,SD NEGERI 016 PALEMBANG,2019-2020,142,Negeri,314,16,12,38
ilir barat I,SD NEGERI 017 PALEMBANG,2019-2020,142,Negeri,463,26,18,38
ilir barat I,SD NEGERI 018 PALEMBANG,2019-2020,142,Negeri,186,12,8,38
ilir barat I,SD NEGERI 019 PALEMBANG,2019-2020,142,Negeri,310,12,12,38
ilir barat I,SD NEGERI 020 PALEMBANG,2019-2020,142,Negeri,94,8,6,38
ilir barat I,SD NEGERI 021 PALEMBANG,2019-2020,142,Negeri,539,27,19,38
ilir barat I,SD NEGERI 022 PALEMBANG,2019-2020,142,Negeri,227,14,9,38
ilir barat I,SD NEGERI 023 PALEMBANG,2019-2020,142,Negeri,608,28,22,38
ilir barat I,SD NEGERI 024 PALEMBANG,2019-2020,142,Negeri,545,13,15,38
