Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
ilir barat II,SD ADVENT I PALEMBANG,2019-2020,73,Swasta,77,2,6,10
ilir barat II,SD NEGERI 030 PALEMBANG,2019-2020,73,Negeri,688,27,23,10
ilir barat II,SD NEGERI 031 PALEMBANG,2019-2020,73,Negeri,313,15,12,10
ilir barat II,SD NEGERI 032 PALEMBANG,2019-2020,73,Negeri,311,12,12,10
ilir barat II,SD NEGERI 033 PALEMBANG,2019-2020,73,Negeri,916,34,30,10
ilir barat II,SD NEGERI 034 PALEMBANG,2019-2020,73,Negeri,402,17,13,10
ilir barat II,SD NEGERI 035 PALEMBANG,2019-2020,73,Negeri,1031,44,35,10
ilir barat II,SD NEGERI 036 PALEMBANG,2019-2020,73,Negeri,114,10,6,10
ilir barat II,SD NEGERI 037 PALEMBANG,2019-2020,73,Negeri,154,7,6,10
ilir barat II,SD NEGERI 038 PALEMBANG,2019-2020,73,Negeri,353,16,13,10
ilir barat II,SD ADVENT I PALEMBANG,2020-2021,68,Swasta,67,1,6,10
ilir barat II,SD NEGERI 030 PALEMBANG,2020-2021,68,Negeri,642,24,20,10
ilir barat II,SD NEGERI 031 PALEMBANG,2020-2021,68,Negeri,291,13,12,10
ilir barat II,SD NEGERI 032 PALEMBANG,2020-2021,68,Negeri,297,11,12,10
ilir barat II,SD NEGERI 033 PALEMBANG,2020-2021,68,Negeri,916,30,29,10
ilir barat II,SD NEGERI 034 PALEMBANG,2020-2021,68,Negeri,393,17,13,10
ilir barat II,SD NEGERI 035 PALEMBANG,2020-2021,68,Negeri,960,43,33,10
ilir barat II,SD NEGERI 036 PALEMBANG,2020-2021,68,Negeri,112,7,6,10
ilir barat II,SD NEGERI 037 PALEMBANG,2020-2021,68,Negeri,170,9,7,10
ilir barat II,SD NEGERI 038 PALEMBANG,2020-2021,68,Negeri,359,17,13,10
ilir barat II,SD ADVENT I PALEMBANG,2021-2022,68,Swasta,51,2,6,10
ilir barat II,SD NEGERI 030 PALEMBANG,2021-2022,68,Negeri,630,21,21,10
ilir barat II,SD NEGERI 031 PALEMBANG,2021-2022,68,Negeri,269,14,12,10
ilir barat II,SD NEGERI 032 PALEMBANG,2021-2022,68,Negeri,284,10,12,10
ilir barat II,SD NEGERI 033 PALEMBANG,2021-2022,68,Negeri,865,33,29,10
ilir barat II,SD NEGERI 034 PALEMBANG,2021-2022,68,Negeri,381,20,13,10
