Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
ilir timur I,SD HOSANNA PALEMBANG,2019-2020,79,Swasta,78,3,6,18
ilir timur I,SD IPEKA PALEMBANG,2019-2020,79,Swasta,378,24,14,18
ilir timur I,SD MANGGALA,2019-2020,79,Swasta,91,8,6,18
ilir timur I,SD METHODIST 02 PALEMBANG,2019-2020,79,Swasta,268,14,10,18
ilir timur I,SD MUHAMMADIYAH 05 PALEMBANG,2019-2020,79,Swasta,234,10,8,18
ilir timur I,SD NEGERI 039 PALEMBANG,2019-2020,79,Negeri,769,35,28,18
ilir timur I,SD NEGERI 040 PALEMBANG,2019-2020,79,Negeri,707,36,25,18
ilir timur I,SD NEGERI 041 PALEMBANG,2019-2020,79,Negeri,695,28,24,18
ilir timur I,SD NEGERI 042 PALEMBANG,2019-2020,79,Negeri,403,18,15,18
ilir timur I,SD NEGERI 043 PALEMBANG,2019-2020,79,Negeri,271,13,10,18
ilir timur I,SD NEGERI 044 PALEMBANG,2019-2020,79,Negeri,539,31,21,18
ilir timur I,SD NEGERI 045 PALEMBANG,2019-2020,79,Negeri,222,10,8,18
ilir timur I,SD ST AGATHA PALEMBANG,2019-2020,79,Swasta,195,17,12,18
ilir timur I,SD SUMSEL JAYA PALEMBANG,2019-2020,79,Swasta,94,6,6,18
ilir timur I,SD TAMAN SISWA PALEMBANG,2019-2020,79,Swasta,111,10,6,18
ilir timur I,SD XAVERIUS 01 PALEMBANG,2019-2020,79,Swasta,789,34,25,18
ilir timur I,SD XAVERIUS 02 PALEMBANG,2019-2020,79,Swasta,747,34,23,18
ilir timur I,SD XAVERIUS 05 PALEMBANG,2019-2020,79,Swasta,180,11,8,18
ilir timur I,SD HOSANNA PALEMBANG,2020-2021,66,Swasta,88,8,6,18
ilir timur I,SD IPEKA PALEMBANG,2020-2021,66,Swasta,386,23,14,18
ilir timur I,SD MANGGALA,2020-2021,66,Swasta,119,8,7,18
ilir timur I,SD METHODIST 02 PALEMBANG,2020-2021,66,Swasta,292,15,11,18
ilir timur I,SD MUHAMMADIYAH 05 PALEMBANG,2020-2021,66,Swasta,217,10,9,18
ilir timur I,SD NEGERI 039 PALEMBANG,2020-2021,66,Negeri,727,38,26,18
ilir timur I,SD NEGERI 040 PALEMBANG,2020-2021,66,Negeri,643,32,23,18
ilir timur I,SD NEGERI 041 PALEMBANG,2020-2021,66,Negeri,679,28,24,18
ilir timur I,SD NEGERI 042 PALEMBANG,2020-2021,66,Negeri,377,19,14,18
ilir timur I,SD NEGERI 043 PALEMBANG,2020-2021,66,Negeri,269,13,11,18
