Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
ilir timur II,SD BINA WARGA PALEMBANG,2019-2020,96,Swasta,189,10,8,22
ilir timur II,SD KARTIKA II 01 PALEMBANG,2019-2020,96,Swasta,180,16,10,22
ilir timur II,SD MUHAMMADIYAH 09 PALEMBANG,2019-2020,96,Swasta,289,15,10,22
ilir timur II,SD MUHAMMADIYAH 10 PALEMBANG,2019-2020,96,Swasta,340,14,12,22
ilir timur II,SD NEGERI 046 PALEMBANG,2019-2020,96,Negeri,235,13,9,22
ilir timur II,SD NEGERI 047 PALEMBANG,2019-2020,96,Negeri,730,26,21,22
ilir timur II,SD NEGERI 048 PALEMBANG,2019-2020,96,Negeri,734,36,24,22
ilir timur II,SD NEGERI 049 PALEMBANG,2019-2020,96,Negeri,88,7,6,22
ilir timur II,SD NEGERI 050 PALEMBANG,2019-2020,96,Negeri,565,21,19,22
ilir timur II,SD NEGERI 051 PALEMBANG,2019-2020,96,Negeri,319,16,12,22
ilir timur II,SD NEGERI 052 PALEMBANG,2019-2020,96,Negeri,169,9,6,22
ilir timur II,SD NEGERI 053 PALEMBANG,2019-2020,96,Negeri,454,17,14,22
ilir timur II,SD NEGERI 058 PALEMBANG,2019-2020,96,Negeri,588,26,18,22
ilir timur II,SD NEGERI 062 PALEMBANG,2019-2020,96,Negeri,388,18,13,22
ilir timur II,SD NEGERI 063 PALEMBANG,2019-2020,96,Negeri,282,10,11,22
ilir timur II,SD NEGERI 064 PALEMBANG,2019-2020,96,Negeri,312,16,12,22
ilir timur II,SD NEGERI 065 PALEMBANG,2019-2020,96,Negeri,248,17,12,22
ilir timur II,SD SINGAPORE INDONESIAN SCHOOL PALEMBANG,2019-2020,96,Swasta,172,9,11,22
ilir timur II,SD TAMAN SISWA PENDAWA PALEMBANG,2019-2020,96,Swasta,155,7,6,22
ilir timur II,SD TAMAN SISWA SUNGAI BUAH PALEMBANG,2019-2020,96,Swasta,227,9,7,22
ilir timur II,SD XAVERIUS 03 PALEMBANG,2019-2020,96,Swasta,335,14,12,22
ilir timur II,SDIT BINA ILMI LEMABANG PALEMBANG,2019-2020,96,Swasta,263,18,11,22
ilir timur II,SD BINA WARGA PALEMBANG,2020-2021,85,Swasta,230,13,11,22
ilir timur II,SD IT BINA ILMI LEMABANG PALEMBANG,2020-2021,85,Swasta,474,28,20,22
ilir timur II,SD IT FATHONA LEMABANG,2020-2021,85,Swasta,155,7,7,22
ilir timur II,SD KARTIKA II 01 PALEMBANG,2020-2021,85,Swasta,100,11,6,22
ilir timur II,SD MUHAMMADIYAH 09 PALEMBANG,2020-2021,85,Swasta,299,19,14,22
ilir timur II,SD MUHAMMADIYAH 10 PALEMBANG,2020-2021,85,Swasta,225,15,12,22
ilir timur II,SD NEGERI 046 PALEMBANG,2020-2021,85,Negeri,179,11,8,22
ilir timur II,SD NEGERI 047 PALEMBANG,2020-2021,85,Negeri,634,29,24,22
ilir timur II,SD NEGERI 048 PALEMBANG,2020-2021,85,Negeri,534,32,22,22
ilir timur II,SD NEGERI 049 PALEMBANG,2020-2021,85,Negeri,22,6,4,22
ilir timur II,SD NEGERI 050 PALEMBANG,2020-2021,85,Negeri,591,27,22,22
ilir timur II,SD NEGERI 051 PALEMBANG,2020-2021,85,Negeri,223,12,11,22
ilir timur II,SD NEGERI 052 PALEMBANG,2020-2021,85,Negeri,135,9,6,22
ilir timur II,SD NEGERI 053 PALEMBANG,2020-2021,85,Negeri,455,20,16,22
ilir timur II,SD NEGERI 058 PALEMBANG,2020-2021,85,Negeri,422,17,16,22
ilir timur II,SD NEGERI 062 PALEMBANG,2020-2021,85,Negeri,342,18,14,22
ilir timur II,SD NEGERI 063 PALEMBANG,2020-2021,85,Negeri,239,16,12,22
ilir timur II,SD NEGERI 064 PALEMBANG,2020-2021,85,Negeri,276,15,12,22
ilir timur II,SD NEGERI 065 PALEMBANG,2020-2021,85,Negeri,213,14,10,22
ilir timur II,SD TAMAN SISWA PENDAWA PALEMBANG,2020-2021,85,Swasta,78,5,6,22
ilir timur II,SD TAMAN SISWA SUNGAI BUAH PALEMBANG,2020-2021,85,Swasta,127,9,6,22
ilir timur II,SD XAVERIUS 03 PALEMBANG,2020-2021,85,Swasta,244,14,12,22
ilir timur II,SD BINA WARGA PALEMBANG,2021-2022,85,Swasta,204,11,9,23
ilir timur II,SD IT FATHONA LEMABANG,2021-2022,85,Swasta,71,3,5,23
ilir timur II,SD KARTIKA II 01 PALEMBANG,2021-2022,85,Swasta,139,14,8,23
ilir timur II,SD MUHAMMADIYAH 09 PALEMBANG,2021-2022,85,Swasta,280,17,12,23
ilir timur II,SD MUHAMMADIYAH 10 PALEMBANG,2021-2022,85,Swasta,293,15,12,23
ilir timur II,SD NEGERI 046 PALEMBANG,2021-2022,85,Negeri,212,13,9,23
ilir timur II,SD NEGERI 047 PALEMBANG,2021-2022,85,Negeri,707,22,21,23
ilir timur II,SD NEGERI 048 PALEMBANG,2021-2022,85,Negeri,634,27,22,23
ilir timur II,SD NEGERI 049 PALEMBANG,2021-2022,85,Negeri,136,10,6,23
ilir timur II,SD NEGERI 050 PALEMBANG,2021-2022,85,Negeri,610,19,21,23
ilir timur II,SD NEGERI 051 PALEMBANG,2021-2022,85,Negeri,251,15,11,23
ilir timur II,SD NEGERI 052 PALEMBANG,2021-2022,85,Negeri,151,7,6,23
ilir timur II,SD NEGERI 053 PALEMBANG,2021-2022,85,Negeri,447,17,14,23
ilir timur II,SD NEGERI 058 PALEMBANG,2021-2022,85,Negeri,502,22,18,23
ilir timur II,SD NEGERI 062 PALEMBANG,2021-2022,85,Negeri,380,19,15,23
ilir timur II,SD NEGERI 063 PALEMBANG,2021-2022,85,Negeri,274,14,12,23
ilir timur II,SD NEGERI 064 PALEMBANG,2021-2022,85,Negeri,319,15,12,23
