Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
ilir timur III,SD IGNATIUS GLOBAL SCHOOL PALEMBANG,2019-2020,86,Swasta,216,5,7,16
ilir timur III,SD INDRIASANA PALEMBANG,2019-2020,86,Swasta,399,18,16,16
ilir timur III,SD IT KAMILIYAH PALEMBANG,2019-2020,86,Swasta,203,15,10,16
ilir timur III,SD IT MUTIARA AZZAM PALEMBANG,2019-2020,86,Swasta,136,23,8,16
ilir timur III,SD KARYA DHARMA BHAKTI 01 PALEMBANG,2019-2020,86,Swasta,122,8,6,16
ilir timur III,SD KUSUMA BANGSA PALEMBANG,2019-2020,86,Swasta,105,13,8,16
ilir timur III,SD MAITREYAWIRA PALEMBANG,2019-2020,86,Swasta,766,51,29,16
ilir timur III,SD MARANATHA PALEMBANG,2019-2020,86,Swasta,72,7,6,16
ilir timur III,SD NEGERI 054 PALEMBANG,2019-2020,86,Negeri,395,19,13,16
ilir timur III,SD NEGERI 055 PALEMBANG,2019-2020,86,Negeri,813,33,27,16
ilir timur III,SD NEGERI 056 PALEMBANG,2019-2020,86,Negeri,183,11,8,16
ilir timur III,SD NEGERI 057 PALEMBANG,2019-2020,86,Negeri,673,35,24,16
ilir timur III,SD NEGERI 059 PALEMBANG,2019-2020,86,Negeri,363,17,12,16
ilir timur III,SD NEGERI 060 PALEMBANG,2019-2020,86,Negeri,507,21,18,16
ilir timur III,SD NEGERI 061 PALEMBANG,2019-2020,86,Negeri,307,15,12,16
ilir timur III,SD YAYASAN IBA PALEMBANG,2019-2020,86,Swasta,595,32,22,16
ilir timur III,SD IGNATIUS GLOBAL SCHOOL PALEMBANG,2020-2021,73,Swasta,266,14,9,16
ilir timur III,SD INDRIASANA PALEMBANG,2020-2021,73,Swasta,367,23,15,16
ilir timur III,SD IT KAMILIYAH PALEMBANG,2020-2021,73,Swasta,204,19,11,16
ilir timur III,SD IT MUTIARA AZZAM PALEMBANG,2020-2021,73,Swasta,151,23,8,16
