Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
jakabaring,SD ALAM PALEMBANG,2019-2020,93,Swasta,72,8,6,20
jakabaring,SD EMPAT TUNGGAL PALEMBANG,2019-2020,93,Swasta,58,3,6,20
jakabaring,SD ISLAM AL ALIFAH PALEMBANG,2019-2020,93,Swasta,567,22,24,20
jakabaring,SD ISLAM AL-AZHAR SRIWIJAYA,2019-2020,93,Swasta,165,8,8,20
jakabaring,SD KEMALA BHAYANGKARI 1 PALEMBANG,2019-2020,93,Swasta,204,7,6,20
jakabaring,SD MAITREYAWIRA OPI,2019-2020,93,Swasta,0,3,0,20
jakabaring,SD METHODIST 03 PALEMBANG,2019-2020,93,Swasta,94,6,6,20
jakabaring,SD MUHAMMADIYAH 07 PALEMBANG,2019-2020,93,Swasta,78,6,6,20
jakabaring,SD NEGERI 079 PALEMBANG,2019-2020,93,Negeri,1284,55,43,20
jakabaring,SD NEGERI 080 PALEMBANG,2019-2020,93,Negeri,337,16,13,20
jakabaring,SD NEGERI 081 PALEMBANG,2019-2020,93,Negeri,1201,48,36,20
jakabaring,SD NEGERI 082 PALEMBANG,2019-2020,93,Negeri,262,12,9,20
jakabaring,SD NEGERI 083 PALEMBANG,2019-2020,93,Negeri,740,31,26,20
jakabaring,SD NEGERI 084 PALEMBANG,2019-2020,93,Negeri,225,9,8,20
jakabaring,SD NEGERI 085 PALEMBANG,2019-2020,93,Negeri,119,51,42,20
jakabaring,SD NEGERI 086 PALEMBANG,2019-2020,93,Negeri,136,6,6,20
jakabaring,SD NEGERI 087 PALEMBANG,2019-2020,93,Negeri,620,27,22,20
jakabaring,SD NEGERI 088 PALEMBANG,2019-2020,93,Negeri,1149,56,40,20
jakabaring,SD NEGERI 089 PALEMBANG,2019-2020,93,Negeri,429,20,16,20
jakabaring,SD PADMAJAYA PALEMBANG,2019-2020,93,Swasta,129,9,6,20
jakabaring,SD ALAM PALEMBANG,2020-2021,90,Swasta,81,11,6,20
jakabaring,SD EMPAT TUNGGAL PALEMBANG,2020-2021,90,Swasta,43,6,5,20
jakabaring,SD ISLAM AL ALIFAH PALEMBANG,2020-2021,90,Swasta,603,26,25,20
jakabaring,SD ISLAM AL-AZHAR SRIWIJAYA,2020-2021,90,Swasta,178,9,9,20
jakabaring,SD KEMALA BHAYANGKARI 1 PALEMBANG,2020-2021,90,Swasta,200,7,6,20
jakabaring,SD MAITREYAWIRA OPI,2020-2021,90,Swasta,60,7,5,20
jakabaring,SD METHODIST 03 PALEMBANG,2020-2021,90,Swasta,93,8,6,20
jakabaring,SD MUHAMMADIYAH 07 PALEMBANG,2020-2021,90,Swasta,72,6,6,20
jakabaring,SD NEGERI 079 PALEMBANG,2020-2021,90,Negeri,125,53,43,20
jakabaring,SD NEGERI 080 PALEMBANG,2020-2021,90,Negeri,343,14,12,20
jakabaring,SD NEGERI 081 PALEMBANG,2020-2021,90,Negeri,1123,46,35,20
jakabaring,SD NEGERI 082 PALEMBANG,2020-2021,90,Negeri,279,12,10,20
jakabaring,SD NEGERI 083 PALEMBANG,2020-2021,90,Negeri,761,30,26,20
jakabaring,SD NEGERI 084 PALEMBANG,2020-2021,90,Negeri,222,9,8,20
jakabaring,SD NEGERI 085 PALEMBANG,2020-2021,90,Negeri,1195,52,41,20
jakabaring,SD NEGERI 086 PALEMBANG,2020-2021,90,Negeri,143,7,6,20
jakabaring,SD NEGERI 087 PALEMBANG,2020-2021,90,Negeri,622,27,21,20
jakabaring,SD NEGERI 088 PALEMBANG,2020-2021,90,Negeri,1083,51,39,20
jakabaring,SD NEGERI 089 PALEMBANG,2020-2021,90,Negeri,449,22,16,20
jakabaring,SD PADMAJAYA PALEMBANG,2020-2021,90,Swasta,127,11,6,20
jakabaring,SD ALAM PALEMBANG,2021-2022,91,Swasta,105,12,6,20
