Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
kalidoni,SD ISLAM DARUSSALAM,2019-2020,113,Swasta,529,19,18,37
kalidoni,SD IT AR RIDHO PALEMBANG,2019-2020,113,Swasta,215,19,11,37
kalidoni,SD IT PERMATA HATI,2019-2020,113,Swasta,141,12,8,37
kalidoni,SD IT PRIMA INSANI,2019-2020,113,Swasta,102,9,5,37
kalidoni,SD MUHAMMADIYAH 04 PALEMBANG,2019-2020,113,Swasta,288,13,11,37
kalidoni,SD MY SCHOOL PALEMBANG,2019-2020,113,Swasta,92,4,6,37
kalidoni,SD NEGERI 167 PALEMBANG,2019-2020,113,Negeri,331,16,12,37
kalidoni,SD NEGERI 168 PALEMBANG,2019-2020,113,Negeri,452,22,16,37
kalidoni,SD NEGERI 169 PALEMBANG,2019-2020,113,Negeri,448,17,14,37
kalidoni,SD NEGERI 170 PALEMBANG,2019-2020,113,Negeri,511,20,16,37
kalidoni,SD NEGERI 171 PALEMBANG,2019-2020,113,Negeri,378,17,12,37
kalidoni,SD NEGERI 172 PALEMBANG,2019-2020,113,Negeri,120,10,6,37
kalidoni,SD NEGERI 173 PALEMBANG,2019-2020,113,Negeri,248,12,10,37
kalidoni,SD NEGERI 174 PALEMBANG,2019-2020,113,Negeri,286,10,11,37
kalidoni,SD NEGERI 175 PALEMBANG,2019-2020,113,Negeri,211,12,8,37
kalidoni,SD NEGERI 176 PALEMBANG,2019-2020,113,Negeri,917,30,28,37
kalidoni,SD NEGERI 177 PALEMBANG,2019-2020,113,Negeri,466,17,15,37
kalidoni,SD NEGERI 178 PALEMBANG,2019-2020,113,Negeri,193,10,8,37
kalidoni,SD NEGERI 179 PALEMBANG,2019-2020,113,Negeri,302,14,12,37
kalidoni,SD NEGERI 180 PALEMBANG,2019-2020,113,Negeri,402,17,14,37
kalidoni,SD NEGERI 181 PALEMBANG,2019-2020,113,Negeri,416,19,15,37
kalidoni,SD NEGERI 182 PALEMBANG,2019-2020,113,Negeri,539,22,18,37
kalidoni,SD NEGERI 183 PALEMBANG,2019-2020,113,Negeri,367,15,12,37
kalidoni,SD NEGERI 184 PALEMBANG,2019-2020,113,Negeri,864,29,24,37
kalidoni,SD NEGERI 185 PALEMBANG,2019-2020,113,Negeri,493,18,17,37
kalidoni,SD NEGERI 186 PALEMBANG,2019-2020,113,Negeri,523,17,16,37
kalidoni,SD NEGERI 187 PALEMBANG,2019-2020,113,Negeri,569,21,17,37
kalidoni,SD NEGERI 188 PALEMBANG,2019-2020,113,Negeri,252,11,9,37
kalidoni,SD NEGERI 189 PALEMBANG,2019-2020,113,Negeri,370,15,13,37
kalidoni,SD NEGERI 190 PALEMBANG,2019-2020,113,Negeri,571,23,19,37
kalidoni,SD NEGERI 191 PALEMBANG,2019-2020,113,Negeri,198,10,7,37
kalidoni,SD NEGERI 192 PALEMBANG,2019-2020,113,Negeri,108,9,6,37
kalidoni,SD NEGERI 193 PALEMBANG,2019-2020,113,Negeri,139,10,6,37
kalidoni,SD NEGERI 194 PALEMBANG,2019-2020,113,Negeri,64,7,6,37
kalidoni,SD PARAMOUNT PALEMBANG,2019-2020,113,Swasta,354,23,18,37
kalidoni,SD PLUS DITAWIJAYA PALEMBANG,2019-2020,113,Swasta,142,9,7,37
kalidoni,SD PUSRI PALEMBANG,2019-2020,113,Swasta,681,32,28,37
kalidoni,SD ISLAM DARUSSALAM,2020-2021,122,Swasta,545,19,18,38
kalidoni,SD ISLAM FAZA,2020-2021,122,Swasta,173,4,8,38
kalidoni,SD IT AR RIDHO PALEMBANG,2020-2021,122,Swasta,190,19,10,38
kalidoni,SD IT PERMATA HATI,2020-2021,122,Swasta,141,12,7,38
kalidoni,SD IT PRIMA INSANI,2020-2021,122,Swasta,117,7,6,38
kalidoni,SD MUHAMMADIYAH 04 PALEMBANG,2020-2021,122,Swasta,269,12,11,38
kalidoni,SD MY SCHOOL PALEMBANG,2020-2021,122,Swasta,65,8,6,38
kalidoni,SD NEGERI 167 PALEMBANG,2020-2021,122,Negeri,307,13,12,38
kalidoni,SD NEGERI 168 PALEMBANG,2020-2021,122,Negeri,447,20,16,38
kalidoni,SD NEGERI 169 PALEMBANG,2020-2021,122,Negeri,466,14,14,38
