Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
kemuning,SD BAPTIS PALEMBANG,2019-2020,94,Swasta,979,44,34,22
kemuning,SD DHARMA JAYA PALEMBANG,2019-2020,94,Swasta,146,7,6,22
kemuning,SD ISLAM AL FURQON PALEMBANG,2019-2020,94,Swasta,785,40,26,22
kemuning,SD ISLAM AL-AZHAR CAIRO PALEMBANG INDONESIA,2019-2020,94,Swasta,720,55,29,22
kemuning,SD IT NURUL IMAN PALEMBANG,2019-2020,94,Swasta,249,14,12,22
kemuning,SD KARTIKA II 02 PALEMBANG,2019-2020,94,Swasta,508,26,18,22
kemuning,SD METHODIST 01 PALEMBANG,2019-2020,94,Swasta,380,14,14,22
kemuning,SD MITRA PENABUR PALEMBANG,2019-2020,94,Swasta,162,13,9,22
kemuning,SD MUHAMMADIYAH 06 PALEMBANG,2019-2020,94,Swasta,1013,48,30,22
kemuning,SD MUHAMMADIYAH 14 PALEMBANG,2019-2020,94,Swasta,889,40,30,22
kemuning,SD NEGERI 156 PALEMBANG,2019-2020,94,Negeri,1196,52,38,22
kemuning,SD NEGERI 157 PALEMBANG,2019-2020,94,Negeri,876,41,28,22
kemuning,SD NEGERI 158 PALEMBANG,2019-2020,94,Negeri,390,17,13,22
kemuning,SD NEGERI 159 PALEMBANG,2019-2020,94,Negeri,359,21,14,22
kemuning,SD NEGERI 160 PALEMBANG,2019-2020,94,Negeri,1,38,28,22
kemuning,SD NEGERI 161 PALEMBANG,2019-2020,94,Negeri,415,15,15,22
kemuning,SD NEGERI 162 PALEMBANG,2019-2020,94,Negeri,353,17,13,22
kemuning,SD NEGERI 163 PALEMBANG,2019-2020,94,Negeri,593,26,20,22
kemuning,SD NEGERI 164 PALEMBANG,2019-2020,94,Negeri,892,34,26,22
kemuning,SD NEGERI 165 PALEMBANG,2019-2020,94,Negeri,379,12,12,22
kemuning,SD NEGERI 166 PALEMBANG,2019-2020,94,Negeri,402,23,16,22
kemuning,SD TULUS BAKTI PALEMBANG,2019-2020,94,Swasta,99,8,6,22
kemuning,SD BAPTIS PALEMBANG,2020-2021,81,Swasta,874,48,31,23
kemuning,SD DHARMA JAYA PALEMBANG,2020-2021,81,Swasta,120,8,6,23
kemuning,SD ISLAM AL FURQON PALEMBANG,2020-2021,81,Swasta,810,54,27,23
kemuning,SD ISLAM AL-AZHAR CAIRO PALEMBANG INDONESIA,2020-2021,81,Swasta,758,71,30,23
kemuning,SD IT NURUL IMAN PALEMBANG,2020-2021,81,Swasta,241,9,12,23
kemuning,SD KARTIKA II 02 PALEMBANG,2020-2021,81,Swasta,465,27,17,23
kemuning,SD METHODIST 01 PALEMBANG,2020-2021,81,Swasta,405,15,16,23
kemuning,SD MITRA PENABUR PALEMBANG,2020-2021,81,Swasta,172,15,9,23
kemuning,SD MUHAMMADIYAH 06 PALEMBANG,2020-2021,81,Swasta,949,47,30,23
kemuning,SD MUHAMMADIYAH 14 PALEMBANG,2020-2021,81,Swasta,941,43,30,23
kemuning,SD NEGERI 156 PALEMBANG,2020-2021,81,Negeri,1145,46,34,23
kemuning,SD NEGERI 157 PALEMBANG,2020-2021,81,Negeri,864,34,27,23
kemuning,SD NEGERI 158 PALEMBANG,2020-2021,81,Negeri,381,17,13,23
kemuning,SD NEGERI 159 PALEMBANG,2020-2021,81,Negeri,331,18,13,23
kemuning,SD NEGERI 160 PALEMBANG,2020-2021,81,Negeri,1024,37,28,23
kemuning,SD NEGERI 161 PALEMBANG,2020-2021,81,Negeri,412,13,15,23
kemuning,SD NEGERI 162 PALEMBANG,2020-2021,81,Negeri,358,15,12,23
kemuning,SD NEGERI 163 PALEMBANG,2020-2021,81,Negeri,562,26,19,23
kemuning,SD NEGERI 164 PALEMBANG,2020-2021,81,Negeri,896,32,26,23
