Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
kertapati,SD ISLAM TERPADU ZAIN AL MUTTAQIN,2019-2020,92,Swasta,0,0,0,34
kertapati,SD MUHAMMADIYAH 08 PALEMBANG,2019-2020,92,Swasta,128,10,6,34
kertapati,SD MUHAMMADIYAH 11 PALEMBANG,2019-2020,92,Swasta,159,6,6,34
kertapati,SD MUHAMMADIYAH 13 PALEMBANG,2019-2020,92,Swasta,164,6,6,34
kertapati,SD MUHAMMADIYAH 15 PALEMBANG,2019-2020,92,Swasta,148,5,6,34
kertapati,SD NEGERI 195 PALEMBANG,2019-2020,92,Negeri,998,43,32,34
kertapati,SD NEGERI 196 PALEMBANG,2019-2020,92,Negeri,363,16,14,34
kertapati,SD NEGERI 197 PALEMBANG,2019-2020,92,Negeri,181,11,6,34
kertapati,SD NEGERI 198 PALEMBANG,2019-2020,92,Negeri,572,24,18,34
kertapati,SD NEGERI 199 PALEMBANG,2019-2020,92,Negeri,166,8,6,34
kertapati,SD NEGERI 200 PALEMBANG,2019-2020,92,Negeri,332,15,12,34
kertapati,SD NEGERI 201 PALEMBANG,2019-2020,92,Negeri,195,9,8,34
kertapati,SD NEGERI 202 PALEMBANG,2019-2020,92,Negeri,404,16,12,34
kertapati,SD NEGERI 203 PALEMBANG,2019-2020,92,Negeri,118,8,6,34
kertapati,SD NEGERI 204 PALEMBANG,2019-2020,92,Negeri,572,22,17,34
kertapati,SD NEGERI 205 PALEMBANG,2019-2020,92,Negeri,798,40,31,34
kertapati,SD NEGERI 206 PALEMBANG,2019-2020,92,Negeri,325,12,12,34
kertapati,SD NEGERI 207 PALEMBANG,2019-2020,92,Negeri,293,17,12,34
kertapati,SD NEGERI 208 PALEMBANG,2019-2020,92,Negeri,242,16,11,34
kertapati,SD NEGERI 209 PALEMBANG,2019-2020,92,Negeri,279,13,12,34
kertapati,SD NEGERI 210 PALEMBANG,2019-2020,92,Negeri,338,15,13,34
kertapati,SD NEGERI 211 PALEMBANG,2019-2020,92,Negeri,300,16,12,34
kertapati,SD NEGERI 212 PALEMBANG,2019-2020,92,Negeri,282,14,12,34
kertapati,SD NEGERI 213 PALEMBANG,2019-2020,92,Negeri,133,9,6,34
kertapati,SD NEGERI 214 PALEMBANG,2019-2020,92,Negeri,169,10,7,34
kertapati,SD NEGERI 215 PALEMBANG,2019-2020,92,Negeri,164,9,6,34
kertapati,SD NEGERI 216 PALEMBANG,2019-2020,92,Negeri,360,16,12,34
kertapati,SD NEGERI 217 PALEMBANG,2019-2020,92,Negeri,232,10,8,34
kertapati,SD NEGERI 218 PALEMBANG,2019-2020,92,Negeri,99,9,6,34
kertapati,SD NEGERI 219 PALEMBANG,2019-2020,92,Negeri,191,9,7,34
kertapati,SD NEGERI 220 PALEMBANG,2019-2020,92,Negeri,184,12,8,34
kertapati,SD NEGERI 221 PALEMBANG,2019-2020,92,Negeri,274,16,11,34
kertapati,SD PUJA HANDAYANI PALEMBANG,2019-2020,92,Swasta,197,7,9,34
kertapati,SD YWKA PALEMBANG,2019-2020,92,Swasta,181,8,6,34
kertapati,SD ISLAM TERPADU ZAIN AL MUTTAQIN,2020-2021,92,Swasta,91,3,4,34
kertapati,SD MUHAMMADIYAH 08 PALEMBANG,2020-2021,92,Swasta,117,8,6,34
kertapati,SD MUHAMMADIYAH 11 PALEMBANG,2020-2021,92,Swasta,159,6,6,34
kertapati,SD MUHAMMADIYAH 13 PALEMBANG,2020-2021,92,Swasta,171,6,7,34
kertapati,SD MUHAMMADIYAH 15 PALEMBANG,2020-2021,92,Swasta,152,3,6,34
kertapati,SD NEGERI 195 PALEMBANG,2020-2021,92,Negeri,924,36,26,34
kertapati,SD NEGERI 196 PALEMBANG,2020-2021,92,Negeri,353,15,13,34
kertapati,SD NEGERI 197 PALEMBANG,2020-2021,92,Negeri,186,11,6,34
kertapati,SD NEGERI 198 PALEMBANG,2020-2021,92,Negeri,556,23,18,34
kertapati,SD NEGERI 199 PALEMBANG,2020-2021,92,Negeri,182,7,7,34
kertapati,SD NEGERI 200 PALEMBANG,2020-2021,92,Negeri,337,15,12,34
kertapati,SD NEGERI 201 PALEMBANG,2020-2021,92,Negeri,202,9,9,34
kertapati,SD NEGERI 202 PALEMBANG,2020-2021,92,Negeri,361,14,12,34
kertapati,SD NEGERI 203 PALEMBANG,2020-2021,92,Negeri,123,8,6,34
kertapati,SD NEGERI 204 PALEMBANG,2020-2021,92,Negeri,598,22,18,34
kertapati,SD NEGERI 205 PALEMBANG,2020-2021,92,Negeri,858,40,32,34
kertapati,SD NEGERI 206 PALEMBANG,2020-2021,92,Negeri,325,11,12,34
kertapati,SD NEGERI 207 PALEMBANG,2020-2021,92,Negeri,319,18,13,34
kertapati,SD NEGERI 208 PALEMBANG,2020-2021,92,Negeri,252,14,12,34
kertapati,SD NEGERI 209 PALEMBANG,2020-2021,92,Negeri,266,13,12,34
kertapati,SD NEGERI 210 PALEMBANG,2020-2021,92,Negeri,353,14,13,34
kertapati,SD NEGERI 211 PALEMBANG,2020-2021,92,Negeri,291,14,12,34
kertapati,SD NEGERI 212 PALEMBANG,2020-2021,92,Negeri,289,13,12,34
kertapati,SD NEGERI 213 PALEMBANG,2020-2021,92,Negeri,131,7,6,34
kertapati,SD NEGERI 214 PALEMBANG,2020-2021,92,Negeri,166,10,7,34
kertapati,SD NEGERI 215 PALEMBANG,2020-2021,92,Negeri,155,9,6,34
