Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
plaju,SD IT AZIZAH PALEMBANG,2019-2020,91,Swasta,191,13,9,27
plaju,SD IT SALSABILA,2019-2020,91,Swasta,260,17,13,27
plaju,SD MUHAMMADIYAH 03 PALEMBANG,2019-2020,91,Swasta,454,18,17,27
plaju,SD NEGERI 222 PALEMBANG,2019-2020,91,Negeri,567,25,18,27
plaju,SD NEGERI 223 PALEMBANG,2019-2020,91,Negeri,304,13,11,27
plaju,SD NEGERI 224 PALEMBANG,2019-2020,91,Negeri,874,38,30,27
plaju,SD NEGERI 225 PALEMBANG,2019-2020,91,Negeri,524,24,18,27
plaju,SD NEGERI 226 PALEMBANG,2019-2020,91,Negeri,921,34,31,27
plaju,SD NEGERI 227 PALEMBANG,2019-2020,91,Negeri,314,16,12,27
plaju,SD NEGERI 228 PALEMBANG,2019-2020,91,Negeri,252,16,11,27
plaju,SD NEGERI 229 PALEMBANG,2019-2020,91,Negeri,435,17,15,27
plaju,SD NEGERI 230 PALEMBANG,2019-2020,91,Negeri,272,12,10,27
plaju,SD NEGERI 231 PALEMBANG,2019-2020,91,Negeri,455,17,16,27
plaju,SD NEGERI 232 PALEMBANG,2019-2020,91,Negeri,468,23,20,27
plaju,SD NEGERI 233 PALEMBANG,2019-2020,91,Negeri,271,10,9,27
plaju,SD NEGERI 234 PALEMBANG,2019-2020,91,Negeri,781,33,26,27
plaju,SD NEGERI 235 PALEMBANG,2019-2020,91,Negeri,496,19,18,27
plaju,SD NEGERI 236 PALEMBANG,2019-2020,91,Negeri,542,18,18,27
plaju,SD PATRA MANDIRI 01 PALEMBANG,2019-2020,91,Swasta,210,11,10,27
plaju,SD PATRA MANDIRI 02 PALEMBANG,2019-2020,91,Swasta,291,17,12,27
plaju,SD PATRA MANDIRI 03 PALEMBANG,2019-2020,91,Swasta,61,6,5,27
plaju,SD PEMBERANTAS PALEMBANG,2019-2020,91,Swasta,108,6,6,27
plaju,SD TAMAN SISWA 01 SUNGAI GERONG PALEMBANG,2019-2020,91,Swasta,401,20,15,27
plaju,SD XAVERIUS 08 PALEMBANG,2019-2020,91,Swasta,80,9,6,27
plaju,SD YAYASAN REMILING MUSI,2019-2020,91,Swasta,147,7,7,27
plaju,SD YP HARAPAN PALEMBANG,2019-2020,91,Swasta,87,8,6,27
plaju,SD YP INDRA PALEMBANG,2019-2020,91,Swasta,169,10,8,27
plaju,SD IT AZIZAH PALEMBANG,2020-2021,93,Swasta,227,17,10,27
plaju,SD IT SALSABILA,2020-2021,93,Swasta,329,23,15,27
plaju,SD MUHAMMADIYAH 03 PALEMBANG,2020-2021,93,Swasta,440,18,17,27
plaju,SD NEGERI 222 PALEMBANG,2020-2021,93,Negeri,488,23,17,27
plaju,SD NEGERI 223 PALEMBANG,2020-2021,93,Negeri,318,13,12,27
plaju,SD NEGERI 224 PALEMBANG,2020-2021,93,Negeri,845,36,27,27
plaju,SD NEGERI 225 PALEMBANG,2020-2021,93,Negeri,524,22,18,27
plaju,SD NEGERI 226 PALEMBANG,2020-2021,93,Negeri,940,33,32,27
plaju,SD NEGERI 227 PALEMBANG,2020-2021,93,Negeri,330,16,12,27
plaju,SD NEGERI 228 PALEMBANG,2020-2021,93,Negeri,266,15,11,27
plaju,SD NEGERI 229 PALEMBANG,2020-2021,93,Negeri,456,16,16,27
plaju,SD NEGERI 230 PALEMBANG,2020-2021,93,Negeri,277,12,10,27
plaju,SD NEGERI 231 PALEMBANG,2020-2021,93,Negeri,447,18,17,27
plaju,SD NEGERI 232 PALEMBANG,2020-2021,93,Negeri,457,23,18,27
plaju,SD NEGERI 233 PALEMBANG,2020-2021,93,Negeri,280,9,10,27
plaju,SD NEGERI 234 PALEMBANG,2020-2021,93,Negeri,716,32,25,27
plaju,SD NEGERI 235 PALEMBANG,2020-2021,93,Negeri,544,19,19,27
plaju,SD NEGERI 236 PALEMBANG,2020-2021,93,Negeri,528,18,17,27
plaju,SD PATRA MANDIRI 01 PALEMBANG,2020-2021,93,Swasta,212,10,9,27
plaju,SD PATRA MANDIRI 02 PALEMBANG,2020-2021,93,Swasta,256,15,11,27
plaju,SD PATRA MANDIRI 03 PALEMBANG,2020-2021,93,Swasta,44,6,4,27
plaju,SD PEMBERANTAS PALEMBANG,2020-2021,93,Swasta,112,7,6,27
plaju,SD TAMAN SISWA 01 SUNGAI GERONG PALEMBANG,2020-2021,93,Swasta,392,20,15,27
plaju,SD XAVERIUS 08 PALEMBANG,2020-2021,93,Swasta,79,7,6,27
plaju,SD YAYASAN REMILING MUSI,2020-2021,93,Swasta,148,7,6,27
plaju,SD YP HARAPAN PALEMBANG,2020-2021,93,Swasta,81,6,6,27
plaju,SD YP INDRA PALEMBANG,2020-2021,93,Swasta,187,8,9,27
plaju,SD IT AZIZAH PALEMBANG,2021-2022,94,Swasta,257,17,11,27
plaju,SD IT SALSABILA,2021-2022,94,Swasta,390,28,17,27
plaju,SD MUHAMMADIYAH 03 PALEMBANG,2021-2022,94,Swasta,455,22,18,27
plaju,SD NEGERI 222 PALEMBANG,2021-2022,94,Negeri,479,22,17,27
plaju,SD NEGERI 223 PALEMBANG,2021-2022,94,Negeri,319,15,12,27
plaju,SD NEGERI 224 PALEMBANG,2021-2022,94,Negeri,821,35,27,27
plaju,SD NEGERI 225 PALEMBANG,2021-2022,94,Negeri,508,25,18,27
plaju,SD NEGERI 226 PALEMBANG,2021-2022,94,Negeri,906,35,30,27
plaju,SD NEGERI 227 PALEMBANG,2021-2022,94,Negeri,333,14,12,27
plaju,SD NEGERI 228 PALEMBANG,2021-2022,94,Negeri,278,15,12,27
plaju,SD NEGERI 229 PALEMBANG,2021-2022,94,Negeri,472,17,17,27
plaju,SD NEGERI 230 PALEMBANG,2021-2022,94,Negeri,293,13,11,27
plaju,SD NEGERI 231 PALEMBANG,2021-2022,94,Negeri,443,21,17,27
plaju,SD NEGERI 232 PALEMBANG,2021-2022,94,Negeri,422,22,17,27
plaju,SD NEGERI 233 PALEMBANG,2021-2022,94,Negeri,291,13,11,27
plaju,SD NEGERI 234 PALEMBANG,2021-2022,94,Negeri,700,35,26,27
plaju,SD NEGERI 235 PALEMBANG,2021-2022,94,Negeri,563,19,20,27
plaju,SD NEGERI 236 PALEMBANG,2021-2022,94,Negeri,540,23,19,27
plaju,SD PATRA MANDIRI 01 PALEMBANG,2021-2022,94,Swasta,197,13,9,27
plaju,SD PATRA MANDIRI 02 PALEMBANG,2021-2022,94,Swasta,215,14,10,27
plaju,SD PATRA MANDIRI 03 PALEMBANG,2021-2022,94,Swasta,27,4,3,27
plaju,SD PEMBERANTAS PALEMBANG,2021-2022,94,Swasta,112,5,6,27
plaju,SD TAMAN SISWA 01 SUNGAI GERONG PALEMBANG,2021-2022,94,Swasta,403,19,16,27
plaju,SD XAVERIUS 08 PALEMBANG,2021-2022,94,Swasta,72,7,6,27
plaju,SD YAYASAN REMILING MUSI,2021-2022,94,Swasta,139,8,6,27
plaju,SD YP HARAPAN PALEMBANG,2021-2022,94,Swasta,75,5,6,27
plaju,SD YP INDRA PALEMBANG,2021-2022,94,Swasta,199,8,9,27
plaju,SD BINTANG FAJAR,2022-2023,97,Swasta,0,0,0,28
plaju,SD IT AZIZAH PALEMBANG,2022-2023,97,Swasta,283,23,12,28
plaju,SD IT SALSABILA,2022-2023,97,Swasta,476,30,19,28
plaju,SD MUHAMMADIYAH 03 PALEMBANG,2022-2023,97,Swasta,435,23,18,28
plaju,SD NEGERI 222 PALEMBANG,2022-2023,97,Negeri,446,20,16,28
plaju,SD NEGERI 223 PALEMBANG,2022-2023,97,Negeri,321,17,12,28
plaju,SD NEGERI 224 PALEMBANG,2022-2023,97,Negeri,806,35,28,28
plaju,SD NEGERI 225 PALEMBANG,2022-2023,97,Negeri,528,26,19,28
plaju,SD NEGERI 226 PALEMBANG,2022-2023,97,Negeri,903,32,30,28
plaju,SD NEGERI 227 PALEMBANG,2022-2023,97,Negeri,337,16,12,28
plaju,SD NEGERI 228 PALEMBANG,2022-2023,97,Negeri,308,16,14,28
plaju,SD NEGERI 229 PALEMBANG,2022-2023,97,Negeri,501,13,17,28
plaju,SD NEGERI 230 PALEMBANG,2022-2023,97,Negeri,295,15,11,28
plaju,SD NEGERI 231 PALEMBANG,2022-2023,97,Negeri,430,20,17,28
plaju,SD NEGERI 232 PALEMBANG,2022-2023,97,Negeri,449,23,18,28
plaju,SD NEGERI 233 PALEMBANG,2022-2023,97,Negeri,309,13,12,28
plaju,SD NEGERI 234 PALEMBANG,2022-2023,97,Negeri,707,34,26,28
plaju,SD NEGERI 235 PALEMBANG,2022-2023,97,Negeri,552,21,20,28
plaju,SD NEGERI 236 PALEMBANG,2022-2023,97,Negeri,491,23,19,28
plaju,SD PATRA MANDIRI 01 PALEMBANG,2022-2023,97,Swasta,185,13,9,28
plaju,SD PATRA MANDIRI 02 PALEMBANG,2022-2023,97,Swasta,196,14,9,28
plaju,SD PATRA MANDIRI 03 PALEMBANG,2022-2023,97,Swasta,14,2,2,28
plaju,SD PEMBERANTAS PALEMBANG,2022-2023,97,Swasta,103,3,6,28
plaju,SD TAMAN SISWA 01 SUNGAI GERONG PALEMBANG,2022-2023,97,Swasta,378,19,15,28
plaju,SD XAVERIUS 08 PALEMBANG,2022-2023,97,Swasta,77,7,6,28
plaju,SD YAYASAN REMILING MUSI,2022-2023,97,Swasta,123,9,6,28
plaju,SD YP HARAPAN PALEMBANG,2022-2023,97,Swasta,74,6,6,28
plaju,SD YP INDRA PALEMBANG,2022-2023,97,Swasta,228,15,10,28
plaju,SD BINTANG FAJAR,2023-2024,98,Swasta,62,9,5,27
plaju,SD IT AZIZAH PALEMBANG,2023-2024,98,Swasta,309,19,13,27
plaju,SD IT SALSABILA,2023-2024,98,Swasta,519,27,20,27
plaju,SD MUHAMMADIYAH 03 PALEMBANG,2023-2024,98,Swasta,413,22,17,27
plaju,SD NEGERI 222 PALEMBANG,2023-2024,98,Negeri,427,25,16,27
plaju,SD NEGERI 223 PALEMBANG,2023-2024,98,Negeri,332,15,12,27
plaju,SD NEGERI 224 PALEMBANG,2023-2024,98,Negeri,816,37,28,27
plaju,SD NEGERI 225 PALEMBANG,2023-2024,98,Negeri,554,26,19,27
plaju,SD NEGERI 226 PALEMBANG,2023-2024,98,Negeri,880,36,29,27
plaju,SD NEGERI 227 PALEMBANG,2023-2024,98,Negeri,314,14,12,27
plaju,SD NEGERI 228 PALEMBANG,2023-2024,98,Negeri,335,16,14,27
plaju,SD NEGERI 229 PALEMBANG,2023-2024,98,Negeri,558,23,19,27
plaju,SD NEGERI 230 PALEMBANG,2023-2024,98,Negeri,294,13,11,27
plaju,SD NEGERI 231 PALEMBANG,2023-2024,98,Negeri,428,21,17,27
plaju,SD NEGERI 232 PALEMBANG,2023-2024,98,Negeri,451,23,18,27
plaju,SD NEGERI 233 PALEMBANG,2023-2024,98,Negeri,305,12,12,27
plaju,SD NEGERI 234 PALEMBANG,2023-2024,98,Negeri,687,33,25,27
plaju,SD NEGERI 235 PALEMBANG,2023-2024,98,Negeri,578,26,20,27
plaju,SD NEGERI 236 PALEMBANG,2023-2024,98,Negeri,508,23,19,27
plaju,SD PATRA MANDIRI 01 PALEMBANG,2023-2024,98,Swasta,171,14,9,27
plaju,SD PATRA MANDIRI 02 PALEMBANG,2023-2024,98,Swasta,187,13,8,27
plaju,SD PEMBERANTAS PALEMBANG,2023-2024,98,Swasta,92,3,6,27
plaju,SD TAMAN SISWA 01 SUNGAI GERONG PALEMBANG,2023-2024,98,Swasta,345,20,14,27
plaju,SD XAVERIUS 08 PALEMBANG,2023-2024,98,Swasta,72,6,6,27
plaju,SD YAYASAN REMILING MUSI,2023-2024,98,Swasta,100,8,6,27
plaju,SD YP HARAPAN PALEMBANG,2023-2024,98,Swasta,72,5,6,27
plaju,SD YP INDRA PALEMBANG,2023-2024,98,Swasta,240,14,10,27
plaju,SD BINTANG FAJAR,2024-2025,100,Swasta,77,9,6,26
plaju,SD IT AZIZAH PALEMBANG,2024-2025,100,Swasta,314,22,14,26
plaju,SD IT SALSABILA,2024-2025,100,Swasta,559,24,21,26
plaju,SD MUHAMMADIYAH 03 PALEMBANG,2024-2025,100,Swasta,423,21,17,26
plaju,SD NEGERI 222 PALEMBANG,2024-2025,100,Negeri,422,26,16,26
plaju,SD NEGERI 223 PALEMBANG,2024-2025,100,Negeri,339,15,12,26
plaju,SD NEGERI 224 PALEMBANG,2024-2025,100,Negeri,781,37,27,26
plaju,SD NEGERI 225 PALEMBANG,2024-2025,100,Negeri,573,25,20,26
plaju,SD NEGERI 226 PALEMBANG,2024-2025,100,Negeri,856,37,29,26
plaju,SD NEGERI 227 PALEMBANG,2024-2025,100,Negeri,316,17,12,26
plaju,SD NEGERI 228 PALEMBANG,2024-2025,100,Negeri,366,20,16,26
