Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
sako,SD HARIS PALEMBANG,2019-2020,93,Swasta,97,5,6,20
sako,SD ISLAM AL-AZHAR 45 PALEMBANG,2019-2020,93,Swasta,244,6,9,20
sako,SD IT DARUL FADHLI,2019-2020,93,Swasta,20,2,3,20
sako,SD IT NURUL JANNAH,2019-2020,93,Swasta,0,4,0,20
sako,SD MANDIRI PALEMBANG,2019-2020,93,Swasta,124,11,6,20
sako,SD MATARAM PALEMBANG,2019-2020,93,Swasta,215,7,6,20
sako,SD NEGERI 103 PALEMBANG,2019-2020,93,Negeri,314,14,11,20
sako,SD NEGERI 104 PALEMBANG,2019-2020,93,Negeri,815,36,26,20
sako,SD NEGERI 105 PALEMBANG,2019-2020,93,Negeri,656,25,21,20
sako,SD NEGERI 106 PALEMBANG,2019-2020,93,Negeri,961,30,27,20
sako,SD NEGERI 107 PALEMBANG,2019-2020,93,Negeri,631,26,21,20
sako,SD NEGERI 108 PALEMBANG,2019-2020,93,Negeri,506,18,15,20
sako,SD NEGERI 109 PALEMBANG,2019-2020,93,Negeri,1307,52,39,20
sako,SD NEGERI 110 PALEMBANG,2019-2020,93,Negeri,675,27,22,20
sako,SD NEGERI 111 PALEMBANG,2019-2020,93,Negeri,425,22,13,20
sako,SD NEGERI 112 PALEMBANG,2019-2020,93,Negeri,444,20,14,20
sako,SD NEGERI 113 PALEMBANG,2019-2020,93,Negeri,1327,49,34,20
sako,SD ULIL ALBAB PALEMBANG,2019-2020,93,Swasta,250,16,12,20
sako,SDIT AULADI SAKO PALEMBANG,2019-2020,93,Swasta,172,6,6,20
sako,SDIT TARBAWI PALEMBANG,2019-2020,93,Swasta,208,10,9,20
sako,SD HARIS PALEMBANG,2020-2021,110,Swasta,88,6,6,20
sako,SD ISLAM AL-AZHAR 45 PALEMBANG,2020-2021,110,Swasta,350,21,14,20
sako,SD IT DARUL FADHLI,2020-2021,110,Swasta,38,2,4,20
sako,SD IT NURUL JANNAH,2020-2021,110,Swasta,93,4,5,20
sako,SD MANDIRI PALEMBANG,2020-2021,110,Swasta,123,11,6,20
sako,SD MATARAM PALEMBANG,2020-2021,110,Swasta,233,6,6,20
sako,SD NEGERI 103 PALEMBANG,2020-2021,110,Negeri,355,14,13,20
sako,SD NEGERI 104 PALEMBANG,2020-2021,110,Negeri,890,32,28,20
sako,SD NEGERI 105 PALEMBANG,2020-2021,110,Negeri,605,30,18,20
sako,SD NEGERI 106 PALEMBANG,2020-2021,110,Negeri,944,32,27,20
sako,SD NEGERI 107 PALEMBANG,2020-2021,110,Negeri,684,28,22,20
sako,SD NEGERI 108 PALEMBANG,2020-2021,110,Negeri,477,15,13,20
sako,SD NEGERI 109 PALEMBANG,2020-2021,110,Negeri,1206,53,34,20
sako,SD NEGERI 110 PALEMBANG,2020-2021,110,Negeri,668,24,19,20
sako,SD NEGERI 111 PALEMBANG,2020-2021,110,Negeri,497,18,15,20
sako,SD NEGERI 112 PALEMBANG,2020-2021,110,Negeri,437,18,12,20
sako,SD NEGERI 113 PALEMBANG,2020-2021,110,Negeri,1271,42,35,20
sako,SD ULIL ALBAB PALEMBANG,2020-2021,110,Swasta,244,16,11,20
sako,SDIT AULADI SAKO PALEMBANG,2020-2021,110,Swasta,203,20,6,20
sako,SDIT TARBAWI PALEMBANG,2020-2021,110,Swasta,258,10,10,20
sako,SD HARIS PALEMBANG,2021-2022,113,Swasta,93,3,6,20
sako,SD ISLAM AL-AZHAR 45 PALEMBANG,2021-2022,113,Swasta,416,32,17,20
sako,SD IT DARUL FADHLI,2021-2022,113,Swasta,65,7,5,20
sako,SD IT NURUL JANNAH,2021-2022,113,Swasta,121,7,6,20
sako,SD MANDIRI PALEMBANG,2021-2022,113,Swasta,114,12,6,20
sako,SD MATARAM PALEMBANG,2021-2022,113,Swasta,226,6,6,20
sako,SD NEGERI 103 PALEMBANG,2021-2022,113,Negeri,409,15,13,20
sako,SD NEGERI 104 PALEMBANG,2021-2022,113,Negeri,887,28,28,20
sako,SD NEGERI 105 PALEMBANG,2021-2022,113,Negeri,674,25,20,20
sako,SD NEGERI 106 PALEMBANG,2021-2022,113,Negeri,892,33,26,20
sako,SD NEGERI 107 PALEMBANG,2021-2022,113,Negeri,696,24,22,20
sako,SD NEGERI 108 PALEMBANG,2021-2022,113,Negeri,440,19,13,20
sako,SD NEGERI 109 PALEMBANG,2021-2022,113,Negeri,1096,45,32,20
sako,SD NEGERI 110 PALEMBANG,2021-2022,113,Negeri,624,25,20,20
sako,SD NEGERI 111 PALEMBANG,2021-2022,113,Negeri,503,16,15,20
sako,SD NEGERI 112 PALEMBANG,2021-2022,113,Negeri,477,17,14,20
sako,SD NEGERI 113 PALEMBANG,2021-2022,113,Negeri,1223,44,34,20
sako,SD ULIL ALBAB PALEMBANG,2021-2022,113,Swasta,208,16,10,20
sako,SDIT AULADI SAKO PALEMBANG,2021-2022,113,Swasta,225,16,11,20
sako,SDIT TARBAWI PALEMBANG,2021-2022,113,Swasta,285,20,11,20
sako,SD HARIS PALEMBANG,2022-2023,118,Swasta,100,3,6,20
sako,SD ISLAM AL-AZHAR 45 PALEMBANG,2022-2023,118,Swasta,520,31,20,20
sako,SD IT AULADI SAKO PALEMBANG,2022-2023,118,Swasta,239,15,12,20
sako,SD IT DARUL FADHLI,2022-2023,118,Swasta,85,10,6,20
sako,SD IT NURUL JANNAH,2022-2023,118,Swasta,137,8,6,20
sako,SD IT TARBAWI PALEMBANG,2022-2023,118,Swasta,299,22,11,20
sako,SD MANDIRI PALEMBANG,2022-2023,118,Swasta,105,13,6,20
sako,SD MATARAM PALEMBANG,2022-2023,118,Swasta,230,7,6,20
sako,SD NEGERI 103 PALEMBANG,2022-2023,118,Negeri,430,15,13,20
sako,SD NEGERI 104 PALEMBANG,2022-2023,118,Negeri,875,29,27,20
sako,SD NEGERI 105 PALEMBANG,2022-2023,118,Negeri,679,25,20,20
sako,SD NEGERI 106 PALEMBANG,2022-2023,118,Negeri,913,33,26,20
sako,SD NEGERI 107 PALEMBANG,2022-2023,118,Negeri,754,24,22,20
sako,SD NEGERI 108 PALEMBANG,2022-2023,118,Negeri,429,18,13,20
sako,SD NEGERI 109 PALEMBANG,2022-2023,118,Negeri,1019,44,31,20
sako,SD NEGERI 110 PALEMBANG,2022-2023,118,Negeri,591,25,19,20
sako,SD NEGERI 111 PALEMBANG,2022-2023,118,Negeri,504,19,15,20
sako,SD NEGERI 112 PALEMBANG,2022-2023,118,Negeri,486,16,15,20
sako,SD NEGERI 113 PALEMBANG,2022-2023,118,Negeri,1183,44,35,20
sako,SD ULIL ALBAB PALEMBANG,2022-2023,118,Swasta,230,16,10,20
sako,SD HARIS PALEMBANG,2023-2024,116,Swasta,93,3,6,22
sako,SD ISLAM AL-AZHAR 45 PALEMBANG,2023-2024,116,Swasta,610,37,22,22
sako,SD ISLAM YAA BUNAYYA,2023-2024,116,Swasta,0,0,0,22
sako,SD IT AULADI SAKO PALEMBANG,2023-2024,116,Swasta,248,19,12,22
sako,SD IT DARUL FADHLI,2023-2024,116,Swasta,96,9,6,22
sako,SD IT INSAN MADANI SRIWIJAYA,2023-2024,116,Swasta,37,2,3,22
sako,SD IT NURUL JANNAH,2023-2024,116,Swasta,163,7,6,22
sako,SD IT TARBAWI PALEMBANG,2023-2024,116,Swasta,339,26,12,22
sako,SD MANDIRI PALEMBANG,2023-2024,116,Swasta,93,12,6,22
sako,SD MATARAM PALEMBANG,2023-2024,116,Swasta,225,7,6,22
sako,SD NEGERI 103 PALEMBANG,2023-2024,116,Negeri,455,17,14,22
sako,SD NEGERI 104 PALEMBANG,2023-2024,116,Negeri,886,35,27,22
sako,SD NEGERI 105 PALEMBANG,2023-2024,116,Negeri,711,27,21,22
sako,SD NEGERI 106 PALEMBANG,2023-2024,116,Negeri,891,37,26,22
sako,SD NEGERI 107 PALEMBANG,2023-2024,116,Negeri,836,31,25,22
sako,SD NEGERI 108 PALEMBANG,2023-2024,116,Negeri,408,16,13,22
sako,SD NEGERI 109 PALEMBANG,2023-2024,116,Negeri,1015,42,31,22
sako,SD NEGERI 110 PALEMBANG,2023-2024,116,Negeri,584,26,19,22
sako,SD NEGERI 111 PALEMBANG,2023-2024,116,Negeri,520,23,17,22
sako,SD NEGERI 112 PALEMBANG,2023-2024,116,Negeri,509,21,18,22
sako,SD NEGERI 113 PALEMBANG,2023-2024,116,Negeri,1187,45,35,22
sako,SD ULIL ALBAB PALEMBANG,2023-2024,116,Swasta,204,6,9,22
sako,SD HARIS PALEMBANG,2024-2025,118,Swasta,89,4,6,22
sako,SD ISLAM AL-AZHAR 45 PALEMBANG,2024-2025,118,Swasta,640,39,23,22
sako,SD ISLAM YAA BUNAYYA,2024-2025,118,Swasta,0,8,0,22
sako,SD IT AULADI SAKO PALEMBANG,2024-2025,118,Swasta,254,18,12,22
sako,SD IT DARUL FADHLI,2024-2025,118,Swasta,119,10,6,22
sako,SD IT INSAN MADANI SRIWIJAYA,2024-2025,118,Swasta,74,5,5,22
sako,SD IT NURUL JANNAH,2024-2025,118,Swasta,155,8,6,22
sako,SD IT TARBAWI PALEMBANG,2024-2025,118,Swasta,323,23,12,22
sako,SD MANDIRI PALEMBANG,2024-2025,118,Swasta,82,10,6,22
sako,SD MATARAM PALEMBANG,2024-2025,118,Swasta,242,9,10,22
