Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
seberang ulu I,SD IT MUSHAB BIN UMAIR,2019-2020,94,Swasta,67,11,6,16
seberang ulu I,SD MUHAMMADIYAH 02 PALEMBANG,2019-2020,94,Swasta,525,20,20,16
seberang ulu I,SD NEGERI 066 PALEMBANG,2019-2020,94,Negeri,248,18,12,16
seberang ulu I,SD NEGERI 067 PALEMBANG,2019-2020,94,Negeri,340,13,12,16
seberang ulu I,SD NEGERI 068 PALEMBANG,2019-2020,94,Negeri,520,25,18,16
seberang ulu I,SD NEGERI 069 PALEMBANG,2019-2020,94,Negeri,291,12,12,16
seberang ulu I,SD NEGERI 070 PALEMBANG,2019-2020,94,Negeri,428,20,14,16
seberang ulu I,SD NEGERI 071 PALEMBANG,2019-2020,94,Negeri,237,11,8,16
seberang ulu I,SD NEGERI 072 PALEMBANG,2019-2020,94,Negeri,843,37,27,16
seberang ulu I,SD NEGERI 073 PALEMBANG,2019-2020,94,Negeri,185,9,7,16
seberang ulu I,SD NEGERI 074 PALEMBANG,2019-2020,94,Negeri,1026,42,30,16
seberang ulu I,SD NEGERI 075 PALEMBANG,2019-2020,94,Negeri,520,20,17,16
seberang ulu I,SD NEGERI 076 PALEMBANG,2019-2020,94,Negeri,391,17,13,16
seberang ulu I,SD NEGERI 077 PALEMBANG,2019-2020,94,Negeri,287,12,10,16
seberang ulu I,SD NEGERI 078 PALEMBANG,2019-2020,94,Negeri,958,41,33,16
seberang ulu I,SD YP NURFAUZAN PALEMBANG,2019-2020,94,Swasta,139,4,6,16
seberang ulu I,SD IT MUSHAB BIN UMAIR,2020-2021,91,Swasta,67,10,6,16
seberang ulu I,SD MUHAMMADIYAH 02 PALEMBANG,2020-2021,91,Swasta,508,20,20,16
seberang ulu I,SD NEGERI 066 PALEMBANG,2020-2021,91,Negeri,240,17,12,16
seberang ulu I,SD NEGERI 067 PALEMBANG,2020-2021,91,Negeri,323,15,12,16
seberang ulu I,SD NEGERI 068 PALEMBANG,2020-2021,91,Negeri,495,25,18,16
