Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
seberang ulu II,SD ISLAM TERPADU AULADI PALEMBANG,2019-2020,107,Swasta,463,22,20,18
seberang ulu II,SD MUHAMMADIYAH 16 PALEMBANG,2019-2020,107,Swasta,297,15,12,18
seberang ulu II,SD MUHAMMADIYAH 17 PALEMBANG,2019-2020,107,Swasta,161,8,6,18
seberang ulu II,SD NEGERI 090 PALEMBANG,2019-2020,107,Negeri,407,17,14,18
seberang ulu II,SD NEGERI 091 PALEMBANG,2019-2020,107,Negeri,481,22,18,18
seberang ulu II,SD NEGERI 092 PALEMBANG,2019-2020,107,Negeri,293,14,12,18
seberang ulu II,SD NEGERI 093 PALEMBANG,2019-2020,107,Negeri,584,25,18,18
seberang ulu II,SD NEGERI 094 PALEMBANG,2019-2020,107,Negeri,256,12,11,18
seberang ulu II,SD NEGERI 095 PALEMBANG,2019-2020,107,Negeri,412,19,14,18
seberang ulu II,SD NEGERI 096 PALEMBANG,2019-2020,107,Negeri,180,13,8,18
seberang ulu II,SD NEGERI 097 PALEMBANG,2019-2020,107,Negeri,139,8,6,18
seberang ulu II,SD NEGERI 098 PALEMBANG,2019-2020,107,Negeri,443,19,15,18
seberang ulu II,SD NEGERI 099 PALEMBANG,2019-2020,107,Negeri,419,23,16,18
seberang ulu II,SD NEGERI 100 PALEMBANG,2019-2020,107,Negeri,246,12,10,18
seberang ulu II,SD NEGERI 101 PALEMBANG,2019-2020,107,Negeri,331,13,12,18
seberang ulu II,SD NEGERI 102 PALEMBANG,2019-2020,107,Negeri,341,15,13,18
seberang ulu II,SD XAVERIUS 07 PALEMBANG,2019-2020,107,Swasta,80,8,6,18
seberang ulu II,SDI BAITUR RAHMAH,2019-2020,107,Swasta,0,7,0,18
seberang ulu II,SD ISLAM TERPADU AULADI PALEMBANG,2020-2021,100,Swasta,481,36,21,18
seberang ulu II,SD MUHAMMADIYAH 16 PALEMBANG,2020-2021,100,Swasta,292,14,11,18
seberang ulu II,SD MUHAMMADIYAH 17 PALEMBANG,2020-2021,100,Swasta,155,8,6,18
seberang ulu II,SD NEGERI 090 PALEMBANG,2020-2021,100,Negeri,395,16,13,18
seberang ulu II,SD NEGERI 091 PALEMBANG,2020-2021,100,Negeri,463,20,18,18
seberang ulu II,SD NEGERI 092 PALEMBANG,2020-2021,100,Negeri,287,15,12,18
seberang ulu II,SD NEGERI 093 PALEMBANG,2020-2021,100,Negeri,561,23,18,18
seberang ulu II,SD NEGERI 094 PALEMBANG,2020-2021,100,Negeri,258,15,11,18
seberang ulu II,SD NEGERI 095 PALEMBANG,2020-2021,100,Negeri,408,14,14,18
seberang ulu II,SD NEGERI 096 PALEMBANG,2020-2021,100,Negeri,182,12,8,18
seberang ulu II,SD NEGERI 097 PALEMBANG,2020-2021,100,Negeri,143,8,6,18
seberang ulu II,SD NEGERI 098 PALEMBANG,2020-2021,100,Negeri,470,19,16,18
seberang ulu II,SD NEGERI 099 PALEMBANG,2020-2021,100,Negeri,400,19,14,18
seberang ulu II,SD NEGERI 100 PALEMBANG,2020-2021,100,Negeri,292,11,11,18
seberang ulu II,SD NEGERI 101 PALEMBANG,2020-2021,100,Negeri,330,10,12,18
seberang ulu II,SD NEGERI 102 PALEMBANG,2020-2021,100,Negeri,332,15,12,18
seberang ulu II,SD XAVERIUS 07 PALEMBANG,2020-2021,100,Swasta,77,8,6,18
seberang ulu II,SDI BAITUR RAHMAH,2020-2021,100,Swasta,173,10,9,18
seberang ulu II,SD ISLAM TERPADU AULADI PALEMBANG,2021-2022,100,Swasta,491,31,22,18
seberang ulu II,SD MUHAMMADIYAH 16 PALEMBANG,2021-2022,100,Swasta,288,16,11,18
seberang ulu II,SD MUHAMMADIYAH 17 PALEMBANG,2021-2022,100,Swasta,153,9,6,18
seberang ulu II,SD NEGERI 090 PALEMBANG,2021-2022,100,Negeri,423,17,15,18
