Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
sematang borang,SD KHOIRU UMMAH PALEMBANG,2019-2020,36,Swasta,86,6,6,6
sematang borang,SD NEGERI 245 PALEMBANG,2019-2020,36,Negeri,785,24,21,6
sematang borang,SD NEGERI 246 PALEMBANG,2019-2020,36,Negeri,655,27,18,6
sematang borang,SD NEGERI 247 PALEMBANG,2019-2020,36,Negeri,680,31,22,6
sematang borang,SD NEGERI 248 PALEMBANG,2019-2020,36,Negeri,429,12,15,6
sematang borang,SD XAVERIUS 09 PALEMBANG,2019-2020,36,Swasta,554,22,18,6
sematang borang,SD KHOIRU UMMAH PALEMBANG,2020-2021,54,Swasta,107,5,6,6
sematang borang,SD NEGERI 245 PALEMBANG,2020-2021,54,Negeri,788,25,21,6
sematang borang,SD NEGERI 246 PALEMBANG,2020-2021,54,Negeri,684,26,19,6
sematang borang,SD NEGERI 247 PALEMBANG,2020-2021,54,Negeri,687,27,22,6
sematang borang,SD NEGERI 248 PALEMBANG,2020-2021,54,Negeri,519,10,17,6
sematang borang,SD XAVERIUS 09 PALEMBANG,2020-2021,54,Swasta,549,25,18,6
sematang borang,SD KHOIRU UMMAH PALEMBANG,2021-2022,57,Swasta,108,4,6,6
sematang borang,SD NEGERI 245 PALEMBANG,2021-2022,57,Negeri,767,28,21,6
sematang borang,SD NEGERI 246 PALEMBANG,2021-2022,57,Negeri,635,27,20,6
sematang borang,SD NEGERI 247 PALEMBANG,2021-2022,57,Negeri,719,28,22,6
sematang borang,SD NEGERI 248 PALEMBANG,2021-2022,57,Negeri,584,12,19,6
sematang borang,SD XAVERIUS 09 PALEMBANG,2021-2022,57,Swasta,533,28,18,6
sematang borang,SD KHOIRU UMMAH PALEMBANG,2022-2023,63,Swasta,90,8,6,6
sematang borang,SD NEGERI 245 PALEMBANG,2022-2023,63,Negeri,762,28,22,6
sematang borang,SD NEGERI 246 PALEMBANG,2022-2023,63,Negeri,669,26,21,6
sematang borang,SD NEGERI 247 PALEMBANG,2022-2023,63,Negeri,739,28,22,6
sematang borang,SD NEGERI 248 PALEMBANG,2022-2023,63,Negeri,640,14,21,6
sematang borang,SD XAVERIUS 09 PALEMBANG,2022-2023,63,Swasta,534,25,18,6
sematang borang,SD ISLAM TERPADU AULADI SEMATANG BORANG,2023-2024,67,Swasta,0,0,0,7
sematang borang,SD KHOIRU UMMAH PALEMBANG,2023-2024,67,Swasta,92,8,6,7
sematang borang,SD NEGERI 245 PALEMBANG,2023-2024,67,Negeri,758,33,22,7
sematang borang,SD NEGERI 246 PALEMBANG,2023-2024,67,Negeri,711,25,22,7
sematang borang,SD NEGERI 247 PALEMBANG,2023-2024,67,Negeri,739,28,23,7
sematang borang,SD NEGERI 248 PALEMBANG,2023-2024,67,Negeri,801,25,25,7
sematang borang,SD XAVERIUS 09 PALEMBANG,2023-2024,67,Swasta,533,23,18,7
sematang borang,SD ISLAM TERPADU AULADI SEMATANG BORANG,2024-2025,71,Swasta,0,0,0,8
sematang borang,SD KHOIRU UMMAH PALEMBANG,2024-2025,71,Swasta,87,8,6,8
sematang borang,SD NEGERI 245 PALEMBANG,2024-2025,71,Negeri,735,30,23,8
sematang borang,SD NEGERI 246 PALEMBANG,2024-2025,71,Negeri,731,30,23,8
sematang borang,SD NEGERI 247 PALEMBANG,2024-2025,71,Negeri,766,30,26,8
sematang borang,SD NEGERI 248 PALEMBANG,2024-2025,71,Negeri,848,34,27,8
sematang borang,SD QAD AFLAHA ISLAMIC SCHOOL,2024-2025,71,Swasta,0,0,0,8
sematang borang,SD XAVERIUS 09 PALEMBANG,2024-2025,71,Swasta,545,24,18,8
