Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel,Jumlah Sekolah
sukarami,SD BINA BANGSA PALEMBANG,2019-2020,158,Swasta,114,11,6,27
sukarami,SD ISLAM CENDIKIA FAIHA,2019-2020,158,Swasta,258,17,10,27
sukarami,SD IT ALHANAN PALEMBANG,2019-2020,158,Swasta,147,5,6,27
sukarami,SD MUHAMMADIYAH 18 PALEMBANG,2019-2020,158,Swasta,492,20,19,27
sukarami,SD NEGERI 114 PALEMBANG,2019-2020,158,Negeri,797,33,25,27
sukarami,SD NEGERI 115 PALEMBANG,2019-2020,158,Negeri,862,32,27,27
sukarami,SD NEGERI 116 PALEMBANG,2019-2020,158,Negeri,676,24,20,27
sukarami,SD NEGERI 117 PALEMBANG,2019-2020,158,Negeri,932,29,28,27
sukarami,SD NEGERI 118 PALEMBANG,2019-2020,158,Negeri,660,24,20,27
sukarami,SD NEGERI 119 PALEMBANG,2019-2020,158,Negeri,727,27,23,27
sukarami,SD NEGERI 120 PALEMBANG,2019-2020,158,Negeri,667,25,21,27
sukarami,SD NEGERI 121 PALEMBANG,2019-2020,158,Negeri,447,16,15,27
sukarami,SD NEGERI 122 PALEMBANG,2019-2020,158,Negeri,520,19,17,27
sukarami,SD NEGERI 123 PALEMBANG,2019-2020,158,Negeri,685,16,19,27
sukarami,SD NEGERI 124 PALEMBANG,2019-2020,158,Negeri,663,23,20,27
sukarami,SD NEGERI 125 PALEMBANG,2019-2020,158,Negeri,416,16,14,27
sukarami,SD NEGERI 126 PALEMBANG,2019-2020,158,Negeri,687,24,20,27
sukarami,SD NEGERI 127 PALEMBANG,2019-2020,158,Negeri,859,30,26,27
sukarami,SD NEGERI 128 PALEMBANG,2019-2020,158,Negeri,433,15,12,27
sukarami,SD NEGERI 129 PALEMBANG,2019-2020,158,Negeri,1269,46,35,27
sukarami,SD NEGERI 130 PALEMBANG,2019-2020,158,Negeri,969,38,28,27
sukarami,SD NEGERI 131 PALEMBANG,2019-2020,158,Negeri,1052,31,31,27
sukarami,SD NEGERI 132 PALEMBANG,2019-2020,158,Negeri,960,32,30,27
sukarami,SD NEGERI 133 PALEMBANG,2019-2020,158,Negeri,733,21,21,27
sukarami,SD NEGERI 134 PALEMBANG,2019-2020,158,Negeri,1151,33,32,27
sukarami,SD NEGERI 135 PALEMBANG,2019-2020,158,Negeri,1207,48,38,27
sukarami,SDIT INSAN MANDIRI CENDEKIA PALEMBANG,2019-2020,158,Swasta,108,7,5,27
sukarami,SD BINA BANGSA PALEMBANG,2020-2021,184,Swasta,86,6,6,27
